mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
294	294	294	294a	2345/2	4.0	-1	2/2	1	0						295
295	295	295	295a	2353/2	4.0	-1	2/2	1	0						296
296	296	296	296a	2361/2	4.0	-1	2/2	1	0				line		297
297	297	297	297a	2369/2	4.0	-1	2/2	1	0						298
298	298	298	298a	2377/2	4.0	-1	2/2	1	0						299
299	299	299	299a	2385/2	4.0	-1	2/2	1	0						300
300	300	300	300a	2393/2	4.0	-1	2/2	1	0						301
301	301	301	301a	2401/2	4.0	-1	2/2	1	0						302
302	302	302	302a	2409/2	4.0	-1	2/2	1	0						303
303	303	303	303a	2417/2	4.0	-1	2/2	1	0						304
304	304	304	304a	2425/2	4.0	-1	2/2	1	0						305
305	305	305	305a	2433/2	4.0	-1	2/2	1	0						306
306	306	306	306a	2441/2	4.0	-1	2/2	1	0				line		307
307	307	307	307a	2449/2	4.0	-1	2/2	1	0						308
308	308	308	308a	2457/2	4.0	-1	2/2	1	0						309
309	309	309	309a	2465/2	4.0	-1	2/2	1	0						310
310	310	310	310a	2473/2	4.0	-1	2/2	1	0						311
311	311	311	311a	2481/2	4.0	-1	2/2	1	0						312
312	312	312	312a	2489/2	4.0	-1	2/2	1	0						313
313	313	313	313a	2497/2	4.0	-1	2/2	1	0						314
314	314	314	314a	2505/2	4.0	-1	2/2	1	0				line		315
315	315	315	315a	2513/2	4.0	-1	2/2	1	0						316
316	316	316	316a	2521/2	4.0	-1	2/2	1	0						317
317	317	317	317a	2529/2	4.0	-1	2/2	1	0						318
318	318	318	318a	2537/2	4.0	-1	2/2	1	0						319
319	319	319	319a	2545/2	4.0	-1	2/2	1	0						320
320	320	320	320a	2553/2	4.0	-1	2/2	1	0				line		321
321	321	321	321a	2561/2	4.0	-1	2/2	1	0						322
322	322	322	322a	2569/2	4.0	-1	2/2	1	0						323
323	323	323	323a	2577/2	4.0	-1	2/2	1	0						324
324	324	324	324a	2585/2	4.0	-1	2/2	1	0						325
325	325	325	325a	2593/2	4.0	-1	2/2	1	0						326
326	326	326	326a	2601/2	4.0	-1	2/2	1	0				line		327
327	327	327	327a	2609/2	4.0	-1	2/2	1	0						328
328	328	328	328a	2617/2	4.0	-1	2/2	1	0						329
329	329	329	329a	2625/2	4.0	-1	2/2	1	0						330
330	330	330	330a	2633/2	4.0	-1	2/2	1	0						331
331	331	331	331a	2641/2	4.0	-1	2/2	1	0						332
332	332	332	332a	2649/2	4.0	-1	2/2	1	0						333
333	333	333	333a	2657/2	4.0	-1	2/2	1	0				line		334
334	334	334	334a	2665/2	4.0	-1	2/2	1	0						335
335	335	335	335a	2673/2	4.0	-1	2/2	1	0						336
336	336	336	336a	2681/2	4.0	-1	2/2	1	0						337
337	337	337	337a	2689/2	6.0	-1	2/2	3/2	0						338
338	338	338	338a	2701/2	4.0	-1	2/2	1	0				line		339
339	339	339	339a	2709/2	4.0	-1	2/2	1	0						340
340	340	340	340a	2717/2	4.0	-1	2/2	1	0						341
341	341	341	341a	2725/2	4.0	-1	2/2	1	0						342
342	342	342	342a	2733/2	4.0	-1	2/2	1	0						343
343	343	343	343a	2741/2	4.0	-1	2/2	1	0						344
344	344	344	344a	2749/2	4.0	-1	2/2	1	0				line		345
345	345	345	345a	2757/2	4.0	-1	2/2	1	0						346
346	346	346	346a	2765/2	4.0	-1	2/2	1	0						347
347	347	347	347a	2773/2	4.0	-1	2/2	1	0						348
348	348	348	348a	2781/2	4.0	-1	2/2	1	0						349
349	349	349	349a	2789/2	4.0	-1	2/2	1	0						350
350	350	350	350a	2797/2	4.0	-1	2/2	1	0				line		351
351	351	351	351a	2805/2	4.0	-1	2/2	1	0						352
352	352	352	352a	2813/2	4.0	-1	2/2	1	0			double			353
353	353	353	353a	2821/2	4.0	-1	2/2	1	0						354
354	354	354	354a	2829/2	4.0	-1	2/2	1	0				line		355
355	355	355	355a	2837/2	4.0	-1	2/2	1	0						356
356	356	356	356a	2845/2	4.0	-1	2/2	1	0						357
357	357	357	357a	2853/2	4.0	-1	2/2	1	0				line		358
358	358	358	358a	2861/2	4.0	-1	2/2	1	0						359
359	359	359	359a	2869/2	4.0	-1	2/2	1	0						360
360	360	360	360a	2877/2	4.0	-1	2/2	1	0				line		361
361	361	361	361a	2885/2	4.0	-1	2/2	1	0						362
362	362	362	362a	2893/2	4.0	-1	2/2	1	0						363
363	363	363	363a	2901/2	4.0	-1	2/2	1	0						364
364	364	364	364a	2909/2	4.0	-1	2/2	1	0				line		365
365	365	365	365a	2917/2	4.0	-1	2/2	1	0						366
366	366	366	366a	2925/2	4.0	-1	2/2	1	0						367
367	367	367	367a	2933/2	4.0	-1	2/2	1	0						368
368	368	368	368a	2941/2	4.0	-1	2/2	1	0				line		369
369	369	369	369a	2949/2	4.0	-1	2/2	1	0						370
370	370	370	370a	2957/2	4.0	-1	2/2	1	0						371
371	371	371	371a	2965/2	4.0	-1	2/2	1	0						372
372	372	372	372a	2973/2	4.0	-1	2/2	1	0						373
373	373	373	373a	2981/2	4.0	-1	2/2	1	0						374
374	374	374	374a	2989/2	4.0	-1	2/2	1	0					lastMeasure	-1
