mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
107	107	849/2	4.0	-3	2/2	1	0						108
108	108	857/2	4.0	-3	2/2	1	0				line		109
109	109	865/2	4.0	-3	2/2	1	0						110
110	110	873/2	4.0	-3	2/2	1	0						111
111	111	881/2	4.0	-3	2/2	1	0						112
112	112	889/2	4.0	-3	2/2	1	0				line		113
113	113	897/2	4.0	-3	2/2	1	0						114
114	114	905/2	4.0	-3	2/2	1	0						115
115	115	913/2	4.0	-3	2/2	1	0						116
116	116	921/2	4.0	-3	2/2	1	0				line		117
117	117	929/2	4.0	-3	2/2	1	0						118
118	118	937/2	4.0	-3	2/2	1	0						119
119	119	945/2	4.0	-3	2/2	1	0						120
120	120	953/2	4.0	-3	2/2	1	0				line		121
121	121	961/2	4.0	-1	2/2	1	0						122
122	122	969/2	4.0	-1	2/2	1	0						123
123	123	977/2	4.0	-1	2/2	1	0						124
124	124	985/2	4.0	-1	2/2	1	0						125
125	125	993/2	4.0	-1	2/2	1	0						126
126	126	1001/2	4.0	-1	2/2	1	0				line		127
127	127	1009/2	4.0	-1	2/2	1	0						128
128	128	1017/2	4.0	-1	2/2	1	0						129
129	129	1025/2	4.0	-1	2/2	1	0						130
130	130	1033/2	4.0	-1	2/2	1	0						131
131	131	1041/2	4.0	-1	2/2	1	0						132
132	132	1049/2	4.0	-1	2/2	1	0						133
133	133	1057/2	4.0	-1	2/2	1	0				line		134
134	134	1065/2	4.0	-1	2/2	1	0						135
135	135	1073/2	4.0	-1	2/2	1	0						136
136	136	1081/2	4.0	-1	2/2	1	0						137
137	137	1089/2	4.0	-1	2/2	1	0						138
138	138	1097/2	4.0	-1	2/2	1	0				line		139
139	139	1105/2	4.0	-1	2/2	1	0						140
140	140	1113/2	4.0	-1	2/2	1	0			double			141
141	141	1121/2	4.0	-1	2/2	1	0						142
142	142	1129/2	4.0	-1	2/2	1	0						143
143	143	1137/2	4.0	-1	2/2	1	0				line		144
144	144	1145/2	4.0	-1	2/2	1	0						145
145	145	1153/2	4.0	-1	2/2	1	0						146
146	146	1161/2	4.0	-1	2/2	1	0						147
147	147	1169/2	4.0	-1	2/2	1	0				line		148
148	148	1177/2	4.0	-1	2/2	1	0						149
149	149	1185/2	4.0	-1	2/2	1	0						150
150	150	1193/2	4.0	-1	2/2	1	0						151
151	151	1201/2	4.0	-1	2/2	1	0				line		152
152	152	1209/2	4.0	-1	2/2	1	0						153
153	153	1217/2	4.0	-1	2/2	1	0						154
154	154	1225/2	4.0	-1	2/2	1	0						155
155	155	1233/2	4.0	-1	2/2	1	0				line		156
156	156	1241/2	4.0	-1	2/2	1	0						157
157	157	1249/2	4.0	-1	2/2	1	0						158
158	158	1257/2	4.0	-1	2/2	1	0				line		159
159	159	1265/2	4.0	-1	2/2	1	0						160
160	160	1273/2	4.0	-1	2/2	1	0			double			161
161	161	1281/2	4.0	-1	2/2	1	0						162
162	162	1289/2	4.0	-1	2/2	1	0						163
163	163	1297/2	4.0	-1	2/2	1	0						164
164	164	1305/2	4.0	-1	2/2	1	0				line		165
165	165	1313/2	4.0	-1	2/2	1	0						166
166	166	1321/2	4.0	-1	2/2	1	0						167
167	167	1329/2	4.0	-1	2/2	1	0						168
168	168	1337/2	4.0	-1	2/2	1	0						169
169	169	1345/2	4.0	-1	2/2	1	0						170
170	170	1353/2	4.0	-1	2/2	1	0						171
171	171	1361/2	4.0	-1	2/2	1	0						172
172	172	1369/2	4.0	-1	2/2	1	0						173
173	173	1377/2	4.0	-1	2/2	1	0				line		174
174	174	1385/2	4.0	-1	2/2	1	0						175
175	175	1393/2	4.0	-1	2/2	1	0						176
176	176	1401/2	4.0	-1	2/2	1	0			double			177
177	177	1409/2	4.0	-1	2/2	1	0						178
178	178	1417/2	4.0	-1	2/2	1	0						179
179	179	1425/2	4.0	-1	2/2	1	0				line		180
180	180	1433/2	4.0	-1	2/2	1	0						181
181	181	1441/2	4.0	-1	2/2	1	0						182
182	182	1449/2	4.0	-1	2/2	1	0						183
183	183	1457/2	4.0	-1	2/2	1	0				line		184
184	184	1465/2	4.0	-1	2/2	1	0						185
185	185	1473/2	4.0	-1	2/2	1	0						186
186	186	1481/2	4.0	-1	2/2	1	0						187
187	187	1489/2	4.0	-1	2/2	1	0						188
188	188	1497/2	4.0	-1	2/2	1	0				line		189
189	189	1505/2	4.0	-1	2/2	1	0						190
190	190	1513/2	4.0	-1	2/2	1	0						191
191	191	1521/2	4.0	-1	2/2	1	0						192
192	192	1529/2	4.0	-1	2/2	1	0			double	line		193
193	193	1537/2	4.0	-1	2/2	1	0						194
194	194	1545/2	4.0	-1	2/2	1	0						195
195	195	1553/2	4.0	-1	2/2	1	0						196
196	196	1561/2	4.0	-1	2/2	1	0				line		197
197	197	1569/2	4.0	-1	2/2	1	0						198
198	198	1577/2	4.0	-1	2/2	1	0						199
199	199	1585/2	4.0	-1	2/2	1	0						200
200	200	1593/2	4.0	-1	2/2	1	0				line		201
201	201	1601/2	4.0	-1	2/2	1	0						202
202	202	1609/2	4.0	-1	2/2	1	0						203
203	203	1617/2	4.0	-1	2/2	1	0						204
204	204	1625/2	4.0	-1	2/2	1	0				line		205
205	205	1633/2	4.0	-1	2/2	1	0						206
206	206	1641/2	4.0	-1	2/2	1	0						207
207	207	1649/2	4.0	-1	2/2	1	0						208
208	208	1657/2	4.0	-1	2/2	1	0				line		209
209	209	1665/2	4.0	-1	2/2	1	0						210
210	210	1673/2	4.0	-1	2/2	1	0						211
211	211	1681/2	4.0	-1	2/2	1	0						212
