mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
12	12	12	12a	271/6	271/6	0.2222222222222222	1/6	1/6	2/2	14	1	1/18			1/8	4/9		0	48	C3	3	100
12	12	12	12a	817/18	817/18	0.2222222222222222	2/9	2/9	2/2	14	1	1/18			1/8	4/9		-3	51	Eb3	3	101
12	12	12	12a	821/18	821/18	0.2222222222222222	5/18	5/18	2/2	14	1	1/18			1/8	4/9		-4	56	Ab3	3	102
12	12	12	12a	275/6	275/6	0.2222222222222222	1/3	1/3	2/2	14	1	1/18			1/8	4/9		1	55	G3	3	103
12	12	12	12a	829/18	829/18	0.2222222222222222	7/18	7/18	2/2	14	1	1/18			1/8	4/9		0	60	C4	4	104
12	12	12	12a	833/18	833/18	0.2222222222222222	4/9	4/9	2/2	14	1	1/18			1/8	4/9		-3	63	Eb4	4	105
12	12	12	12a	93/2	93/2	0.25	1/2	1/2	2/2	14	1	1/16			1/8	1/2		1	31	G1	1	106
12	12	12	12a	93/2	93/2	1.0	1/2	1/2	2/2	20	1	1/4			1/4	1		1	31	G1	1	123
12	12	12	12a	93/2	93/2	1.0	1/2	1/2	2/2	18	1	1/4			1/4	1		1	43	G2	2	121
12	12	12	12a	187/4	187/4	0.25	9/16	9/16	2/2	14	1	1/16			1/8	1/2		1	43	G2	2	107
12	12	12	12a	47	47	0.25	5/8	5/8	2/2	14	1	1/16			1/8	1/2		2	50	D3	3	108
12	12	12	12a	189/4	189/4	0.25	11/16	11/16	2/2	14	1	1/16			1/8	1/2		-1	53	F3	3	109
12	12	12	12a	95/2	95/2	0.25	3/4	3/4	2/2	14	1	1/16			1/8	1/2		0	60	C4	4	110
12	12	12	12a	95/2	95/2	1.0	3/4	3/4	2/2	3	1	1/4			1/4	1		2	62	D4	4	96
12	12	12	12a	95/2	95/2	1.0	3/4	3/4	2/2	15	1	1/4			1/4	1		2	62	D4	4	115
12	12	12	12a	95/2	95/2	1.0	3/4	3/4	2/2	16	1	1/4			1/4	1		2	62	D4	4	117
12	12	12	12a	95/2	95/2	1.0	3/4	3/4	2/2	17	1	1/4			1/4	1		2	62	D4	4	119
12	12	12	12a	191/4	191/4	0.25	13/16	13/16	2/2	14	1	1/16			1/8	1/2		5	59	B3	3	111
12	12	12	12a	48	48	0.25	7/8	7/8	2/2	14	1	1/16			1/8	1/2		2	62	D4	4	112
12	12	12	12a	193/4	193/4	0.25	15/16	15/16	2/2	14	1	1/16			1/8	1/2		1	67	G4	4	113
13	13	13	13a	97/2	97/2	0.2222222222222222	0	0	2/2	14	1	1/18			1/8	4/9		0	24	C1	1	126
13	13	13	13a	97/2	97/2	1.0	0	0	2/2	18	1	1/4			1/4	1		0	36	C2	2	150
13	13	13	13a	97/2	97/2	1.0	0	0	2/2	20	1	1/4			1/4	1		0	36	C2	2	152
13	13	13	13a	97/2	97/2	3.0	0	0	2/2	3	1	3/4			1/2	3/2		0	60	C4	4	124
13	13	13	13a	97/2	97/2	3.0	0	0	2/2	15	1	3/4			1/2	3/2		0	60	C4	4	144
13	13	13	13a	97/2	97/2	3.0	0	0	2/2	16	1	3/4			1/2	3/2		0	60	C4	4	146
13	13	13	13a	97/2	97/2	3.0	0	0	2/2	17	1	3/4			1/2	3/2		0	60	C4	4	148
13	13	13	13a	877/18	877/18	0.2222222222222222	1/18	1/18	2/2	14	1	1/18			1/8	4/9		0	36	C2	2	127
13	13	13	13a	881/18	881/18	0.2222222222222222	1/9	1/9	2/2	14	1	1/18			1/8	4/9		1	43	G2	2	128
13	13	13	13a	295/6	295/6	0.2222222222222222	1/6	1/6	2/2	14	1	1/18			1/8	4/9		0	48	C3	3	129
13	13	13	13a	889/18	889/18	0.2222222222222222	2/9	2/9	2/2	14	1	1/18			1/8	4/9		-3	51	Eb3	3	130
13	13	13	13a	893/18	893/18	0.2222222222222222	5/18	5/18	2/2	14	1	1/18			1/8	4/9		-4	56	Ab3	3	131
13	13	13	13a	299/6	299/6	0.2222222222222222	1/3	1/3	2/2	14	1	1/18			1/8	4/9		1	55	G3	3	132
13	13	13	13a	901/18	901/18	0.2222222222222222	7/18	7/18	2/2	14	1	1/18			1/8	4/9		0	60	C4	4	133
