mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	Trill:trill	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin	Ottava:8va
112	112	889/2	889/2	0.0	0	0	Spanner	2/2	13	1	0																		
112	112	889/2	889/2	0.0	0	0	Spanner	2/2	13	1	0																	136	
112	112	889/2	889/2	0.0	0	0	Spanner	2/2	13	1	0																	136, 137	
112	112	889/2	889/2	1.0	0	0	Chord	2/2	13	1	1/4			1/4	1	2680		articAccentAbove					417					136, 137	
112	112	891/2	891/2	0.0	1/4	1/4	Spanner	2/2	13	1	0																	137	
112	112	891/2	891/2	1.0	1/4	1/4	Chord	2/2	13	1	1/4			1/4	1	2681												137	
112	112	893/2	893/2	1.0	1/2	1/2	Chord	2/2	13	1	1/4			1/4	1	2682							418					137	
112	112	895/2	895/2	1.0	3/4	3/4	Chord	2/2	13	1	1/4			1/4	1	2683												137	
112	112	2689/6	2689/6	0.0	11/12	11/12	Spanner	2/2	13	1	0																		
112	112	889/2	889/2	1.0	0	0	Chord	2/2	13	2	1/4			1/4	1	2684													
112	112	891/2	891/2	1.0	1/4	1/4	Chord	2/2	13	2	1/4			1/4	1	2685													
112	112	893/2	893/2	0.3333333333333333	1/2	1/2	Chord	2/2	13	2	1/12			1/8	2/3	2686													
112	112	2681/6	2681/6	0.3333333333333333	7/12	7/12	Chord	2/2	13	2	1/12			1/8	2/3	2687							419						
112	112	2683/6	2683/6	0.3333333333333333	2/3	2/3	Chord	2/2	13	2	1/12			1/8	2/3	2688													
112	112	2687/6	2687/6	0.3333333333333333	5/6	5/6	Chord	2/2	13	2	1/12			1/8	2/3	2689							420						
112	112	2689/6	2689/6	0.0	11/12	11/12	Dynamic	2/2	13	2	0						mp												
112	112	2689/6	2689/6	0.3333333333333333	11/12	11/12	Chord	2/2	13	2	1/12			1/8	2/3	2690													
112	112	889/2	889/2	0.3333333333333333	0	0	Chord	2/2	14	1	1/12			1/8	2/3	2691							421						
112	112	2669/6	2669/6	0.3333333333333333	1/12	1/12	Chord	2/2	14	1	1/12			1/8	2/3	2692							421						
112	112	2671/6	2671/6	0.3333333333333333	1/6	1/6	Chord	2/2	14	1	1/12			1/8	2/3	2693							421						
112	112	891/2	891/2	0.3333333333333333	1/4	1/4	Chord	2/2	14	1	1/12			1/8	2/3	2694							421						
112	112	2675/6	2675/6	0.3333333333333333	1/3	1/3	Chord	2/2	14	1	1/12			1/8	2/3	2695							421						
112	112	2677/6	2677/6	0.3333333333333333	5/12	5/12	Chord	2/2	14	1	1/12			1/8	2/3	2696							421						
112	112	893/2	893/2	0.3333333333333333	1/2	1/2	Chord	2/2	14	1	1/12			1/8	2/3	2697							421						
112	112	2681/6	2681/6	0.3333333333333333	7/12	7/12	Chord	2/2	14	1	1/12			1/8	2/3	2698							421						
112	112	2683/6	2683/6	0.3333333333333333	2/3	2/3	Chord	2/2	14	1	1/12			1/8	2/3	2699							421						
112	112	895/2	895/2	0.3333333333333333	3/4	3/4	Chord	2/2	14	1	1/12			1/8	2/3	2700							421						
112	112	2687/6	2687/6	0.3333333333333333	5/6	5/6	Chord	2/2	14	1	1/12			1/8	2/3	2701							421						
112	112	2689/6	2689/6	0.3333333333333333	11/12	11/12	Chord	2/2	14	1	1/12			1/8	2/3	2702													
112	112	891/2	891/2	1.0	1/4	1/4	Chord	2/2	14	2	1/4			1/4	1	2703													
112	112	895/2	895/2	1.0	3/4	3/4	Chord	2/2	14	2	1/4			1/4	1	2704													
112	112	889/2	889/2	4.0	0	0	Chord	2/2	14	4	1			1	1	2705													
113	113	897/2	897/2	0.0	0	0	Tempo	2/2	1	1	0									132	132.0	0.0							
113	113	897/2	897/2	0.0	0	0	Dynamic	2/2	13	1	0						f												
113	113	897/2	897/2	1.0	0	0	Chord	2/2	13	1	1/4			1/4	1	2706							422						
113	113	899/2	899/2	1.0	1/4	1/4	Chord	2/2	13	1	1/4			1/4	1	2707							422						
113	113	901/2	901/2	1.0	1/2	1/2	Chord	2/2	13	1	1/4			1/4	1	2708							422						
113	113	903/2	903/2	1.0	3/4	3/4	Chord	2/2	13	1	1/4			1/4	1	2709													
113	113	2693/6	2693/6	0.3333333333333333	1/12	1/12	Chord	2/2	13	2	1/12			1/8	2/3	2710							423						
113	113	2695/6	2695/6	0.3333333333333333	1/6	1/6	Chord	2/2	13	2	1/12			1/8	2/3	2711													
113	113	2699/6	2699/6	0.0	1/3	1/3	Spanner	2/2	13	2	0																128		
113	113	2699/6	2699/6	0.3333333333333333	1/3	1/3	Chord	2/2	13	2	1/12			1/8	2/3	2712							424				128		
113	113	2701/6	2701/6	0.3333333333333333	5/12	5/12	Chord	2/2	13	2	1/12			1/8	2/3	2713											128		
113	113	2705/6	2705/6	0.3333333333333333	7/12	7/12	Chord	2/2	13	2	1/12			1/8	2/3	2714							425				128		
113	113	2707/6	2707/6	0.3333333333333333	2/3	2/3	Chord	2/2	13	2	1/12			1/8	2/3	2715											128		
113	113	2711/6	2711/6	0.3333333333333333	5/6	5/6	Chord	2/2	13	2	1/12			1/8	2/3	2716							426				128		
113	113	2713/6	2713/6	0.3333333333333333	11/12	11/12	Chord	2/2	13	2	1/12			1/8	2/3	2717											128		
113	113	897/2	897/2	0.0	0	0	Spanner	2/2	14	1	0														77	77			
113	113	897/2	897/2	0.3333333333333333	0	0	Chord	2/2	14	1	1/12			1/8	2/3	2718							427		77	77			
113	113	2693/6	2693/6	0.3333333333333333	1/12	1/12	Chord	2/2	14	1	1/12			1/8	2/3	2719							427		77	77			
113	113	2695/6	2695/6	0.3333333333333333	1/6	1/6	Chord	2/2	14	1	1/12			1/8	2/3	2720							427		77	77			
113	113	899/2	899/2	0.3333333333333333	1/4	1/4	Chord	2/2	14	1	1/12			1/8	2/3	2721							427		77	77			
113	113	2699/6	2699/6	0.3333333333333333	1/3	1/3	Chord	2/2	14	1	1/12			1/8	2/3	2722							427		77	77			
113	113	2701/6	2701/6	0.3333333333333333	5/12	5/12	Chord	2/2	14	1	1/12			1/8	2/3	2723							427		77	77			
113	113	901/2	901/2	0.3333333333333333	1/2	1/2	Chord	2/2	14	1	1/12			1/8	2/3	2724									77	77			
113	113	2707/6	2707/6	0.0	2/3	2/3	Spanner	2/2	14	1	0														78	78			
113	113	2707/6	2707/6	0.0	2/3	2/3	Spanner	2/2	14	1	0														78	78			
113	113	2707/6	2707/6	0.3333333333333333	2/3	2/3	Chord	2/2	14	1	1/12			1/8	2/3	2725							428		78	78			
113	113	903/2	903/2	0.3333333333333333	3/4	3/4	Chord	2/2	14	1	1/12			1/8	2/3	2726							428		78	78			
113	113	2711/6	2711/6	0.3333333333333333	5/6	5/6	Chord	2/2	14	1	1/12			1/8	2/3	2727							428		78	78			
113	113	2713/6	2713/6	0.3333333333333333	11/12	11/12	Chord	2/2	14	1	1/12			1/8	2/3	2728							428		78	78			
113	113	897/2	897/2	0.0	0	0	StaffText	2/2	15	1	0								unis.										
113	113	897/2	897/2	0.0	0	0	Dynamic	2/2	15	1	0						p												
113	113	897/2	897/2	4.0	0	0	Chord	2/2	15	1	1			1	1	2729													
113	113	903/2	903/2	0.0	3/4	3/4	Spanner	2/2	15	2	0																129		
113	113	897/2	897/2	0.0	0	0	StaffText	2/2	16	1	0								unis.										
113	113	897/2	897/2	0.0	0	0	Dynamic	2/2	16	1	0						p												
113	113	897/2	897/2	4.0	0	0	Chord	2/2	16	1	1			1	1	2730													
113	113	903/2	903/2	0.0	3/4	3/4	Spanner	2/2	16	2	0																130		
113	113	897/2	897/2	0.0	0	0	StaffText	2/2	17	1	0								unis.										
113	113	897/2	897/2	0.0	0	0	Dynamic	2/2	17	1	0						p												
113	113	897/2	897/2	4.0	0	0	Chord	2/2	17	1	1			1	1	2731													
113	113	903/2	903/2	0.0	3/4	3/4	Spanner	2/2	17	2	0																131		
113	113	897/2	897/2	0.0	0	0	Dynamic	2/2	18	1	0						p												
113	113	897/2	897/2	4.0	0	0	Chord	2/2	18	1	1			1	1	2732													
113	113	897/2	897/2	0.0	0	0	Dynamic	2/2	20	1	0						p												
113	113	897/2	897/2	4.0	0	0	Chord	2/2	20	1	1			1	1	2733													
114	114	905/2	905/2	1.0	0	0	Chord	2/2	13	1	1/4			1/4	1	2734							429				128		
114	114	907/2	907/2	0.0	1/4	1/4	Dynamic	2/2	13	1	0						ff						429						
114	114	907/2	907/2	2.0	1/4	1/4	Chord	2/2	13	1	1/2			1/2	1	2735		articAccentAbove					429						
114	114	911/2	911/2	0.0	3/4	3/4	Spanner	2/2	13	1	0																	138	
114	114	911/2	911/2	1.0	3/4	3/4	Chord	2/2	13	1	1/4			1/4	1	2736												138	
114	114	2717/6	2717/6	0.3333333333333333	1/12	1/12	Chord	2/2	13	2	1/12			1/8	2/3	2737							430					138	
114	114	2719/6	2719/6	0.3333333333333333	1/6	1/6	Chord	2/2	13	2	1/12			1/8	2/3	2738												138	
114	114	907/2	907/2	0.0	1/4	1/4	Spanner	2/2	13	2	0																	138	
114	114	2723/6	2723/6	0.3333333333333333	1/3	1/3	Chord	2/2	13	2	1/12			1/8	2/3	2739							431					138	
114	114	2725/6	2725/6	0.3333333333333333	5/12	5/12	Chord	2/2	13	2	1/12			1/8	2/3	2740							431					138	
114	114	909/2	909/2	0.3333333333333333	1/2	1/2	Chord	2/2	13	2	1/12			1/8	2/3	2741							431					138	
114	114	2729/6	2729/6	0.3333333333333333	7/12	7/12	Chord	2/2	13	2	1/12			1/8	2/3	2742							431					138	
114	114	2731/6	2731/6	0.3333333333333333	2/3	2/3	Chord	2/2	13	2	1/12			1/8	2/3	2743												138	
114	114	2735/6	2735/6	0.3333333333333333	5/6	5/6	Chord	2/2	13	2	1/12			1/8	2/3	2744							432					138	
114	114	2737/6	2737/6	0.3333333333333333	11/12	11/12	Chord	2/2	13	2	1/12			1/8	2/3	2745												138	
114	114	905/2	905/2	0.3333333333333333	0	0	Chord	2/2	14	1	1/12			1/8	2/3	2746							428		78	78			
114	114	2717/6	2717/6	0.3333333333333333	1/12	1/12	Chord	2/2	14	1	1/12			1/8	2/3	2747							428		78	78			
114	114	2719/6	2719/6	0.3333333333333333	1/6	1/6	Chord	2/2	14	1	1/12			1/8	2/3	2748							428		78	78			
114	114	907/2	907/2	0.3333333333333333	1/4	1/4	Chord	2/2	14	1	1/12			1/8	2/3	2749							428		78	78			
114	114	2723/6	2723/6	0.3333333333333333	1/3	1/3	Chord	2/2	14	1	1/12			1/8	2/3	2750							428		78	78			
114	114	2725/6	2725/6	0.3333333333333333	5/12	5/12	Chord	2/2	14	1	1/12			1/8	2/3	2751							428		78	78			
114	114	909/2	909/2	0.3333333333333333	1/2	1/2	Chord	2/2	14	1	1/12			1/8	2/3	2752							428		78	78			
114	114	2729/6	2729/6	0.3333333333333333	7/12	7/12	Chord	2/2	14	1	1/12			1/8	2/3	2753							428		78	78			
114	114	2731/6	2731/6	0.3333333333333333	2/3	2/3	Chord	2/2	14	1	1/12			1/8	2/3	2754							428		78	78			
114	114	911/2	911/2	0.3333333333333333	3/4	3/4	Chord	2/2	14	1	1/12			1/8	2/3	2755							428		78	78			
114	114	2735/6	2735/6	0.3333333333333333	5/6	5/6	Chord	2/2	14	1	1/12			1/8	2/3	2756							428		78	78			
114	114	2737/6	2737/6	0.3333333333333333	11/12	11/12	Chord	2/2	14	1	1/12			1/8	2/3	2757									78	78			
114	114	905/2	905/2	0.0	0	0	Dynamic	2/2	15	1	0						mf												
114	114	905/2	905/2	1.0	0	0	Chord	2/2	15	1	1/4			1/4	1	2758							433						
114	114	907/2	907/2	2.0	1/4	1/4	Chord	2/2	15	1	1/2			1/2	1	2759							433						
114	114	911/2	911/2	0.0	3/4	3/4	Spanner	2/2	15	1	0																	139	
114	114	911/2	911/2	1.0	3/4	3/4	Chord	2/2	15	1	1/4			1/4	1	2760												139	
114	114	905/2	905/2	0.0	0	0	Spanner	2/2	15	2	0																	139	
114	114	905/2	905/2	0.0	0	0	Dynamic	2/2	16	1	0						mf												
114	114	905/2	905/2	4.0	0	0	Chord	2/2	16	1	1			1	1	2761													
114	114	905/2	905/2	0.0	0	0	Spanner	2/2	16	2	0																		
114	114	911/2	911/2	0.0	3/4	3/4	Spanner	2/2	16	2	0																	140	
114	114	905/2	905/2	0.0	0	0	Dynamic	2/2	17	1	0						mf												
114	114	905/2	905/2	4.0	0	0	Chord	2/2	17	1	1			1	1	2762													
114	114	905/2	905/2	0.0	0	0	Spanner	2/2	17	2	0																		
114	114	911/2	911/2	0.0	3/4	3/4	Spanner	2/2	17	2	0																	141	
114	114	905/2	905/2	4.0	0	0	Chord	2/2	18	1	1			1	1	2763													
114	114	905/2	905/2	4.0	0	0	Chord	2/2	20	1	1			1	1	2764													
115	115	913/2	913/2	0.0	0	0	Dynamic	2/2	13	1	0						f												
115	115	913/2	913/2	0.0	0	0	Spanner	2/2	13	1	0																		
115	115	913/2	913/2	1.0	0	0	Chord	2/2	13	1	1/4			1/4	1	2765							434						
115	115	915/2	915/2	1.0	1/4	1/4	Chord	2/2	13	1	1/4			1/4	1	2766							434						
115	115	917/2	917/2	1.0	1/2	1/2	Chord	2/2	13	1	1/4			1/4	1	2767							434						
115	115	919/2	919/2	1.0	3/4	3/4	Chord	2/2	13	1	1/4			1/4	1	2768													
115	115	2741/6	2741/6	0.3333333333333333	1/12	1/12	Chord	2/2	13	2	1/12			1/8	2/3	2769							435						
115	115	2743/6	2743/6	0.3333333333333333	1/6	1/6	Chord	2/2	13	2	1/12			1/8	2/3	2770													
115	115	2747/6	2747/6	0.3333333333333333	1/3	1/3	Chord	2/2	13	2	1/12			1/8	2/3	2771							436						
115	115	2749/6	2749/6	0.3333333333333333	5/12	5/12	Chord	2/2	13	2	1/12			1/8	2/3	2772													
115	115	2753/6	2753/6	0.3333333333333333	7/12	7/12	Chord	2/2	13	2	1/12			1/8	2/3	2773							437						
115	115	2755/6	2755/6	0.3333333333333333	2/3	2/3	Chord	2/2	13	2	1/12			1/8	2/3	2774													
115	115	2759/6	2759/6	0.3333333333333333	5/6	5/6	Chord	2/2	13	2	1/12			1/8	2/3	2775							438						
115	115	2761/6	2761/6	0.3333333333333333	11/12	11/12	Chord	2/2	13	2	1/12			1/8	2/3	2776													
115	115	913/2	913/2	0.0	0	0	Spanner	2/2	14	1	0																		
115	115	913/2	913/2	0.0	0	0	Spanner	2/2	14	1	0														79	79			
115	115	913/2	913/2	0.3333333333333333	0	0	Chord	2/2	14	1	1/12			1/8	2/3	2777							439		79	79			
115	115	2741/6	2741/6	0.3333333333333333	1/12	1/12	Chord	2/2	14	1	1/12			1/8	2/3	2778							439		79	79			
115	115	2743/6	2743/6	0.3333333333333333	1/6	1/6	Chord	2/2	14	1	1/12			1/8	2/3	2779							439		79	79			
115	115	915/2	915/2	0.3333333333333333	1/4	1/4	Chord	2/2	14	1	1/12			1/8	2/3	2780							439		79	79			
115	115	2747/6	2747/6	0.3333333333333333	1/3	1/3	Chord	2/2	14	1	1/12			1/8	2/3	2781							439		79	79			
115	115	2749/6	2749/6	0.3333333333333333	5/12	5/12	Chord	2/2	14	1	1/12			1/8	2/3	2782							439		79	79			
115	115	917/2	917/2	0.0	1/2	1/2	Spanner	2/2	14	1	0												439						
115	115	917/2	917/2	0.0	1/2	1/2	Spanner	2/2	14	1	0												439		80	80			
115	115	917/2	917/2	0.3333333333333333	1/2	1/2	Chord	2/2	14	1	1/12			1/8	2/3	2783							439		80	80			
115	115	2753/6	2753/6	0.3333333333333333	7/12	7/12	Chord	2/2	14	1	1/12			1/8	2/3	2784							439		80	80			
115	115	2755/6	2755/6	0.3333333333333333	2/3	2/3	Chord	2/2	14	1	1/12			1/8	2/3	2785							439		80	80			
115	115	919/2	919/2	0.3333333333333333	3/4	3/4	Chord	2/2	14	1	1/12			1/8	2/3	2786							439		80	80			
115	115	2759/6	2759/6	0.3333333333333333	5/6	5/6	Chord	2/2	14	1	1/12			1/8	2/3	2787							439		80	80			
115	115	2761/6	2761/6	0.3333333333333333	11/12	11/12	Chord	2/2	14	1	1/12			1/8	2/3	2788									80	80			
115	115	917/2	917/2	2.0	1/2	1/2	Chord	2/2	14	2	1/2			1/2	1	2789		articTenutoBelow							80	80			
115	115	913/2	913/2	0.0	0	0	Dynamic	2/2	15	1	0						p												
115	115	913/2	913/2	0.0	0	0	Spanner	2/2	15	1	0																		
115	115	913/2	913/2	2.0	0	0	Chord	2/2	15	1	1/2			1/2	1	2790							440						
115	115	917/2	917/2	2.0	1/2	1/2	Chord	2/2	15	1	1/2			1/2	1	2791													
115	115	913/2	913/2	0.0	0	0	Dynamic	2/2	16	1	0						p												
115	115	913/2	913/2	2.0	0	0	Chord	2/2	16	1	1/2			1/2	1	2792							441						
115	115	917/2	917/2	2.0	1/2	1/2	Chord	2/2	16	1	1/2			1/2	1	2793													
115	115	913/2	913/2	0.0	0	0	Spanner	2/2	16	2	0																		
115	115	913/2	913/2	0.0	0	0	Dynamic	2/2	17	1	0						p												
115	115	913/2	913/2	4.0	0	0	Chord	2/2	17	1	1			1	1	2794													
115	115	913/2	913/2	0.0	0	0	Spanner	2/2	17	2	0																		
115	115	913/2	913/2	4.0	0	0	Chord	2/2	18	1	1			1	1	2795													
115	115	913/2	913/2	4.0	0	0	Chord	2/2	20	1	1			1	1	2796													
116	116	921/2	921/2	1.0	0	0	Chord	2/2	13	1	1/4			1/4	1	2797		articTenutoAbove					442						
116	116	923/2	923/2	1.0	1/4	1/4	Chord	2/2	13	1	1/4			1/4	1	2798													
116	116	925/2	925/2	1.0	1/2	1/2	Chord	2/2	13	1	1/4			1/4	1	2799		articTenutoAbove					443						
116	116	927/2	927/2	1.0	3/4	3/4	Chord	2/2	13	1	1/4			1/4	1	2800													
116	116	2765/6	2765/6	0.3333333333333333	1/12	1/12	Chord	2/2	13	2	1/12			1/8	2/3	2801							444						
116	116	2767/6	2767/6	0.3333333333333333	1/6	1/6	Chord	2/2	13	2	1/12			1/8	2/3	2802													
116	116	2771/6	2771/6	0.3333333333333333	1/3	1/3	Chord	2/2	13	2	1/12			1/8	2/3	2803							445						
116	116	2773/6	2773/6	0.3333333333333333	5/12	5/12	Chord	2/2	13	2	1/12			1/8	2/3	2804													
116	116	2777/6	2777/6	0.3333333333333333	7/12	7/12	Chord	2/2	13	2	1/12			1/8	2/3	2805							446						
116	116	2779/6	2779/6	0.3333333333333333	2/3	2/3	Chord	2/2	13	2	1/12			1/8	2/3	2806													
116	116	2783/6	2783/6	0.3333333333333333	5/6	5/6	Chord	2/2	13	2	1/12			1/8	2/3	2807							447						
116	116	2785/6	2785/6	0.3333333333333333	11/12	11/12	Chord	2/2	13	2	1/12			1/8	2/3	2808													
116	116	921/2	921/2	0.0	0	0	Spanner	2/2	14	1	0																		
116	116	921/2	921/2	0.0	0	0	Spanner	2/2	14	1	0														81	81			
116	116	921/2	921/2	0.3333333333333333	0	0	Chord	2/2	14	1	1/12			1/8	2/3	2809							448		81	81			
116	116	2765/6	2765/6	0.3333333333333333	1/12	1/12	Chord	2/2	14	1	1/12			1/8	2/3	2810							448		81	81			
116	116	2767/6	2767/6	0.3333333333333333	1/6	1/6	Chord	2/2	14	1	1/12			1/8	2/3	2811							448		81	81			
116	116	923/2	923/2	0.3333333333333333	1/4	1/4	Chord	2/2	14	1	1/12			1/8	2/3	2812							448		81	81			
116	116	2771/6	2771/6	0.3333333333333333	1/3	1/3	Chord	2/2	14	1	1/12			1/8	2/3	2813							448		81	81			
116	116	2773/6	2773/6	0.3333333333333333	5/12	5/12	Chord	2/2	14	1	1/12			1/8	2/3	2814									81	81			
116	116	925/2	925/2	0.0	1/2	1/2	Spanner	2/2	14	1	0																		
116	116	925/2	925/2	0.0	1/2	1/2	Spanner	2/2	14	1	0														82	82			
116	116	925/2	925/2	0.3333333333333333	1/2	1/2	Chord	2/2	14	1	1/12			1/8	2/3	2815							449		82	82			
116	116	2777/6	2777/6	0.3333333333333333	7/12	7/12	Chord	2/2	14	1	1/12			1/8	2/3	2816							449		82	82			
116	116	2779/6	2779/6	0.3333333333333333	2/3	2/3	Chord	2/2	14	1	1/12			1/8	2/3	2817							449		82	82			
116	116	927/2	927/2	0.3333333333333333	3/4	3/4	Chord	2/2	14	1	1/12			1/8	2/3	2818							449		82	82			
116	116	2783/6	2783/6	0.3333333333333333	5/6	5/6	Chord	2/2	14	1	1/12			1/8	2/3	2819							449		82	82			
116	116	2785/6	2785/6	0.3333333333333333	11/12	11/12	Chord	2/2	14	1	1/12			1/8	2/3	2820									82	82			
116	116	921/2	921/2	2.0	0	0	Chord	2/2	14	2	1/2			1/2	1	2821		articTenutoBelow							82	82			
116	116	925/2	925/2	2.0	1/2	1/2	Chord	2/2	14	2	1/2			1/2	1	2822		articTenutoBelow							82	82			
116	116	921/2	921/2	2.0	0	0	Chord	2/2	15	1	1/2			1/2	1	2823							450						
116	116	925/2	925/2	2.0	1/2	1/2	Chord	2/2	15	1	1/2			1/2	1	2824													
116	116	921/2	921/2	2.0	0	0	Chord	2/2	16	1	1/2			1/2	1	2825							451						
116	116	925/2	925/2	2.0	1/2	1/2	Chord	2/2	16	1	1/2			1/2	1	2826													
116	116	921/2	921/2	2.0	0	0	Chord	2/2	17	1	1/2			1/2	1	2827							452						
116	116	925/2	925/2	2.0	1/2	1/2	Chord	2/2	17	1	1/2			1/2	1	2828													
116	116	921/2	921/2	4.0	0	0	Chord	2/2	18	1	1			1	1	2829													
116	116	921/2	921/2	4.0	0	0	Chord	2/2	20	1	1			1	1	2830													
117	117	929/2	929/2	3.0	0	0	Chord	2/2	13	1	3/4			1/2	3/2	2831							453						
117	117	935/2	935/2	1.0	3/4	3/4	Chord	2/2	13	1	1/4			1/4	1	2832													
117	117	2789/6	2789/6	0.3333333333333333	1/12	1/12	Chord	2/2	13	2	1/12			1/8	2/3	2833							454						
117	117	2791/6	2791/6	0.3333333333333333	1/6	1/6	Chord	2/2	13	2	1/12			1/8	2/3	2834							454						
117	117	931/2	931/2	0.3333333333333333	1/4	1/4	Chord	2/2	13	2	1/12			1/8	2/3	2835							454						
117	117	2795/6	2795/6	0.3333333333333333	1/3	1/3	Chord	2/2	13	2	1/12			1/8	2/3	2836							454						
117	117	2797/6	2797/6	0.3333333333333333	5/12	5/12	Chord	2/2	13	2	1/12			1/8	2/3	2837							454						
117	117	933/2	933/2	0.3333333333333333	1/2	1/2	Chord	2/2	13	2	1/12			1/8	2/3	2838							454						
117	117	2801/6	2801/6	0.3333333333333333	7/12	7/12	Chord	2/2	13	2	1/12			1/8	2/3	2839							454						
117	117	2803/6	2803/6	0.3333333333333333	2/3	2/3	Chord	2/2	13	2	1/12			1/8	2/3	2840													
117	117	2807/6	2807/6	0.3333333333333333	5/6	5/6	Chord	2/2	13	2	1/12			1/8	2/3	2841							455						
117	117	2809/6	2809/6	0.3333333333333333	11/12	11/12	Chord	2/2	13	2	1/12			1/8	2/3	2842													
117	117	929/2	929/2	0.0	0	0	Spanner	2/2	14	1	0																		
117	117	929/2	929/2	0.0	0	0	Spanner	2/2	14	1	0														83	83			
117	117	929/2	929/2	0.3333333333333333	0	0	Chord	2/2	14	1	1/12			1/8	2/3	2843							456		83	83			
117	117	2789/6	2789/6	0.3333333333333333	1/12	1/12	Chord	2/2	14	1	1/12			1/8	2/3	2844							456		83	83			
117	117	2791/6	2791/6	0.3333333333333333	1/6	1/6	Chord	2/2	14	1	1/12			1/8	2/3	2845							456		83	83			
117	117	931/2	931/2	0.3333333333333333	1/4	1/4	Chord	2/2	14	1	1/12			1/8	2/3	2846							456		83	83			
117	117	2795/6	2795/6	0.3333333333333333	1/3	1/3	Chord	2/2	14	1	1/12			1/8	2/3	2847							456		83	83			
117	117	2797/6	2797/6	0.3333333333333333	5/12	5/12	Chord	2/2	14	1	1/12			1/8	2/3	2848							456		83	83			
117	117	933/2	933/2	0.3333333333333333	1/2	1/2	Chord	2/2	14	1	1/12			1/8	2/3	2849									83	83			
117	117	2803/6	2803/6	0.3333333333333333	2/3	2/3	Chord	2/2	14	1	1/12			1/8	2/3	2850							457		83	83			
117	117	935/2	935/2	0.3333333333333333	3/4	3/4	Chord	2/2	14	1	1/12			1/8	2/3	2851							457		83	83			
117	117	2807/6	2807/6	0.3333333333333333	5/6	5/6	Chord	2/2	14	1	1/12			1/8	2/3	2852							457		83	83			
117	117	2809/6	2809/6	0.3333333333333333	11/12	11/12	Chord	2/2	14	1	1/12			1/8	2/3	2853									83	83			
117	117	929/2	929/2	2.0	0	0	Chord	2/2	14	2	1/2			1/2	1	2854									83	83			
117	117	929/2	929/2	4.0	0	0	Chord	2/2	15	1	1			1	1	2855													
117	117	929/2	929/2	4.0	0	0	Chord	2/2	16	1	1			1	1	2856													
117	117	929/2	929/2	4.0	0	0	Chord	2/2	17	1	1			1	1	2857													
117	117	929/2	929/2	4.0	0	0	Chord	2/2	18	1	1			1	1	2858													
117	117	929/2	929/2	4.0	0	0	Chord	2/2	20	1	1			1	1	2859													
118	118	937/2	937/2	1.0	0	0	Chord	2/2	13	1	1/4			1/4	1	2860		articTenutoAbove					458						
118	118	939/2	939/2	1.0	1/4	1/4	Chord	2/2	13	1	1/4			1/4	1	2861													
118	118	941/2	941/2	1.0	1/2	1/2	Chord	2/2	13	1	1/4			1/4	1	2862		articTenutoAbove					459						
118	118	943/2	943/2	1.0	3/4	3/4	Chord	2/2	13	1	1/4			1/4	1	2863													
118	118	2813/6	2813/6	0.3333333333333333	1/12	1/12	Chord	2/2	13	2	1/12			1/8	2/3	2864							460						
118	118	2815/6	2815/6	0.3333333333333333	1/6	1/6	Chord	2/2	13	2	1/12			1/8	2/3	2865													
118	118	2819/6	2819/6	0.3333333333333333	1/3	1/3	Chord	2/2	13	2	1/12			1/8	2/3	2866							461						
118	118	2821/6	2821/6	0.3333333333333333	5/12	5/12	Chord	2/2	13	2	1/12			1/8	2/3	2867													
118	118	2825/6	2825/6	0.3333333333333333	7/12	7/12	Chord	2/2	13	2	1/12			1/8	2/3	2868							462						
118	118	2827/6	2827/6	0.3333333333333333	2/3	2/3	Chord	2/2	13	2	1/12			1/8	2/3	2869													
118	118	2831/6	2831/6	0.3333333333333333	5/6	5/6	Chord	2/2	13	2	1/12			1/8	2/3	2870							463						
118	118	2833/6	2833/6	0.3333333333333333	11/12	11/12	Chord	2/2	13	2	1/12			1/8	2/3	2871													
118	118	937/2	937/2	0.0	0	0	Spanner	2/2	14	1	0																		
118	118	937/2	937/2	0.0	0	0	Spanner	2/2	14	1	0														84	84			
118	118	937/2	937/2	0.3333333333333333	0	0	Chord	2/2	14	1	1/12			1/8	2/3	2872									84	84			
118	118	2813/6	2813/6	0.3333333333333333	1/12	1/12	Chord	2/2	14	1	1/12			1/8	2/3	2873									84	84			
118	118	2815/6	2815/6	0.3333333333333333	1/6	1/6	Chord	2/2	14	1	1/12			1/8	2/3	2874									84	84			
118	118	939/2	939/2	0.3333333333333333	1/4	1/4	Chord	2/2	14	1	1/12			1/8	2/3	2875									84	84			
118	118	2819/6	2819/6	0.3333333333333333	1/3	1/3	Chord	2/2	14	1	1/12			1/8	2/3	2876									84	84			
118	118	2821/6	2821/6	0.3333333333333333	5/12	5/12	Chord	2/2	14	1	1/12			1/8	2/3	2877									84	84			
118	118	941/2	941/2	0.0	1/2	1/2	Spanner	2/2	14	1	0																		
118	118	941/2	941/2	0.0	1/2	1/2	Spanner	2/2	14	1	0														85	85			
118	118	941/2	941/2	0.3333333333333333	1/2	1/2	Chord	2/2	14	1	1/12			1/8	2/3	2878									85	85			
