mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
169	169	169	169a	504	504	1.0	0	0	3/4	24	1	1/4	1/4	1		1	43	G2	2		4669
169	169	169	169a	504	504	1.0	0	0	3/4	9	1	1/4	1/4	1	-1	1	55	G3	3		4654
169	169	169	169a	504	504	1.0	0	0	3/4	10	1	1/4	1/4	1	-1	1	55	G3	3		4655
169	169	169	169a	504	504	1.0	0	0	3/4	11	1	1/4	1/4	1	-1	1	55	G3	3		4656
169	169	169	169a	504	504	1.0	0	0	3/4	12	1	1/4	1/4	1	-1	1	55	G3	3		4657
169	169	169	169a	504	504	1.0	0	0	3/4	16	1	1/4	1/4	1	-1	1	55	G3	3		4661
169	169	169	169a	504	504	1.0	0	0	3/4	17	1	1/4	1/4	1	-1	1	55	G3	3		4662
169	169	169	169a	504	504	1.0	0	0	3/4	18	1	1/4	1/4	1	-1	1	55	G3	3		4663
169	169	169	169a	504	504	1.0	0	0	3/4	6	1	1/4	1/4	1		1	67	G4	4		4653
169	169	169	169a	504	504	1.0	0	0	3/4	13	1	1/4	1/4	1	-1	1	67	G4	4		4658
169	169	169	169a	504	504	1.0	0	0	3/4	14	1	1/4	1/4	1	-1	1	67	G4	4		4659
169	169	169	169a	504	504	1.0	0	0	3/4	15	1	1/4	1/4	1	-1	1	67	G4	4		4660
169	169	169	169a	504	504	1.0	0	0	3/4	23	1	1/4	1/4	1		1	67	G4	4		4668
169	169	169	169a	504	504	1.0	0	0	3/4	3	1	1/4	1/4	1	-1	1	79	G5	5		4650
169	169	169	169a	504	504	1.0	0	0	3/4	4	1	1/4	1/4	1	-1	1	79	G5	5		4651
169	169	169	169a	504	504	1.0	0	0	3/4	5	1	1/4	1/4	1		1	79	G5	5		4652
169	169	169	169a	504	504	1.0	0	0	3/4	22	1	1/4	1/4	1		1	79	G5	5		4667
169	169	169	169a	504	504	1.0	0	0	3/4	1	1	1/4	1/4	1	-1	1	91	G6	6		4648
169	169	169	169a	504	504	1.0	0	0	3/4	2	1	1/4	1/4	1	-1	1	91	G6	6		4649
169	169	169	169a	504	504	1.0	0	0	3/4	21	1	1/4	1/4	1		1	91	G6	6		4664
169	169	169	169a	505	505	1.0	1/4	1/4	3/4	21	1	1/4	1/4	1		1	79	G5	5		4665
169	169	169	169a	506	506	1.0	1/2	1/2	3/4	21	1	1/4	1/4	1		1	91	G6	6		4666
170	170	170	170a	507	507	1.0	0	0	3/4	21	1	1/4	1/4	1		1	79	G5	5		4671
170	170	170	170a	508	508	1.0	1/4	1/4	3/4	21	1	1/4	1/4	1		1	91	G6	6		4672
170	170	170	170a	509	509	1.0	1/2	1/2	3/4	21	1	1/4	1/4	1		1	79	G5	5		4673
170	170	170	170a	509	509	1.0	1/2	1/2	3/4	22	1	1/4	1/4	1		1	79	G5	5		4674
171	171	171	171a	510	510	2.0	0	0	3/4	24	1	1/2	1/2	1		0	60	C4	4		4683
171	171	171	171a	510	510	2.0	0	0	3/4	23	1	1/2	1/2	1		-3	63	Eb4	4		4681
171	171	171	171a	510	510	1.0	0	0	3/4	22	1	1/4	1/4	1		-4	68	Ab4	4		4678
171	171	171	171a	510	510	1.0	0	0	3/4	21	1	1/4	1/4	1		1	91	G6	6		4675
171	171	171	171a	511	511	1.0	1/4	1/4	3/4	21	1	1/4	1/4	1		1	79	G5	5		4676
171	171	171	171a	511	511	1.0	1/4	1/4	3/4	22	1	1/4	1/4	1		1	79	G5	5		4679
171	171	171	171a	512	512	1.0	1/2	1/2	3/4	24	1	1/4	1/4	1		2	62	D4	4		4684
171	171	171	171a	512	512	1.0	1/2	1/2	3/4	23	1	1/4	1/4	1		-1	65	F4	4		4682
