mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	GradualTempoChange	GradualTempoChange_(poco a poco accelerando)	GradualTempoChange_(sempre accelerando)	GradualTempoChange_ritard.	GradualTempoChange_[poco a poco accel.]	GradualTempoChange_[sempre accel.]	Ottava:8vb	Trill:trill	diminuendo_line	HairPin:3_dimin.	HairPin:3_diminuendo	HairPin:3_dim.)	HairPin:3_dim. sempre	HairPin:3_sempre dim.	HairPin:3_(dim.)	decrescendo_hairpin	crescendo_hairpin	crescendo_line	HairPin:2_crescendo	HairPin:2_poco a poco cresc.	HairPin:2_sempre cresc.	HairPin:2_poco a poco crescendo	HairPin:2_(cresc.)	HairPin:2_crescendo sempre	HairPin:2_(sempre cresc.)	HairPin:2_poco a poco accel. et cresc.
4	4	4	4a	9	9	1.0	0	0	Chord	3/4	23	1	1/4	1/4	1	79			articStaccatissimoAbove
4	4	4	4a	10	10	1.0	1/4	1/4	Chord	3/4	23	1	1/4	1/4	1	80			articStaccatissimoAbove
4	4	4	4a	11	11	1.0	1/2	1/2	Chord	3/4	23	1	1/4	1/4	1	81			articStaccatissimoAbove
4	4	4	4a	9	9	1.0	0	0	Chord	3/4	24	1	1/4	1/4	1	82			articStaccatissimoAbove
4	4	4	4a	10	10	1.0	1/4	1/4	Chord	3/4	24	1	1/4	1/4	1	83			articStaccatissimoAbove
4	4	4	4a	11	11	1.0	1/2	1/2	Chord	3/4	24	1	1/4	1/4	1	84			articStaccatissimoAbove
4	4	4	4a	9	9	1.0	0	0	Chord	3/4	25	1	1/4	1/4	1	85			articStaccatissimoAbove
4	4	4	4a	10	10	1.0	1/4	1/4	Chord	3/4	25	1	1/4	1/4	1	86			articStaccatissimoAbove
4	4	4	4a	11	11	1.0	1/2	1/2	Chord	3/4	25	1	1/4	1/4	1	87			articStaccatissimoAbove
5	5	5	5a	12	12	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	88								0
5	5	5	5a	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	89								0
5	5	5	5a	12	12	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	90								1
5	5	5	5a	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	91								1
