mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
5	5	153	5b	304	8	1.0	0	0	2/4	9	1	1/4	1/4	1		2	62	D4	4	25
5	5	153	5b	304	8	2.0	0	0	2/4	3	1	1/2	1/2	1	-1	-2	70	Bb4	4	21
5	5	153	5b	304	8	1.0	0	0	2/4	5	1	1/4	1/4	1		-1	77	F5	5	22
5	5	153	5b	304	8	1.0	0	0	2/4	1	1	1/4	1/4	1		-1	89	F6	6	18
5	5	153	5b	305	9	1.0	1/4	1/4	2/4	9	1	1/4	1/4	1		-3	63	Eb4	4	26
5	5	153	5b	305	9	0.5	1/4	1/4	2/4	5	1	1/8	1/8	1		-3	75	Eb5	5	23
5	5	153	5b	305	9	0.5	1/4	1/4	2/4	1	1	1/8	1/8	1		-3	87	Eb6	6	19
5	5	153	5b	611/2	19/2	0.5	3/8	3/8	2/4	5	1	1/8	1/8	1		2	74	D5	5	24
5	5	153	5b	611/2	19/2	0.5	3/8	3/8	2/4	1	1	1/8	1/8	1		2	86	D6	6	20
6	6	154	6b	306	10	1.0	0	0	2/4	9	1	1/4	1/4	1		-1	65	F4	4	30
6	6	154	6b	306	10	1.0	0	0	2/4	3	1	1/4	1/4	1		3	69	A4	4	28
6	6	154	6b	306	10	1.0	0	0	2/4	5	1	1/4	1/4	1		0	72	C5	5	29
6	6	154	6b	306	10	1.0	0	0	2/4	1	1	1/4	1/4	1		0	84	C6	6	27
7	7	155	7b	308	12	2.0	0	0	2/4	9	1	1/2	1/2	1	1	-6	66	Gb4	4	31
8	8	156	8b	310	14	2.0	0	0	2/4	9	1	1/2	1/2	1	0	-6	66	Gb4	4	35
8	8	156	8b	311	15	1.0	1/4	1/4	2/4	3	1	1/4	1/4	1	1	-2	70	Bb4	4	33
8	8	156	8b	311	15	1.0	1/4	1/4	2/4	5	1	1/4	1/4	1	1	-2	70	Bb4	4	34
8	8	156	8b	311	15	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1	1	-2	82	Bb5	5	32
9	9	157	9b	312	16	2.0	0	0	2/4	9	1	1/2	1/2	1	-1	-6	66	Gb4	4	41
9	9	157	9b	312	16	1.0	0	0	2/4	5	1	1/4	1/4	1	-1	-2	70	Bb4	4	39
9	9	157	9b	312	16	2.0	0	0	2/4	3	1	1/2	1/2	1	0	-2	70	Bb4	4	38
9	9	157	9b	312	16	1.0	0	0	2/4	1	1	1/4	1/4	1	-1	-2	82	Bb5	5	36
9	9	157	9b	313	17	1.0	1/4	1/4	2/4	5	1	1/4	1/4	1		0	72	C5	5	40
9	9	157	9b	313	17	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1		0	84	C6	6	37
10	10	158	10b	314	18	1.0	0	0	2/4	9	1	1/4	1/4	1		-1	65	F4	4	47
10	10	158	10b	314	18	2.0	0	0	2/4	3	1	1/2	1/2	1	0	-2	70	Bb4	4	44
10	10	158	10b	314	18	1.0	0	0	2/4	5	1	1/4	1/4	1		2	74	D5	5	45
10	10	158	10b	314	18	1.0	0	0	2/4	1	1	1/4	1/4	1		2	86	D6	6	42
10	10	158	10b	315	19	1.0	1/4	1/4	2/4	9	1	1/4	1/4	1		-3	63	Eb4	4	48
10	10	158	10b	315	19	1.0	1/4	1/4	2/4	5	1	1/4	1/4	1		-3	75	Eb5	5	46
10	10	158	10b	315	19	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1		-3	87	Eb6	6	43
11	11	159	11b	316	20	1.0	0	0	2/4	9	1	1/4	1/4	1		2	62	D4	4	58
11	11	159	11b	316	20	2.0	0	0	2/4	3	1	1/2	1/2	1	-1	-2	70	Bb4	4	53
11	11	159	11b	316	20	0.5	0	0	2/4	5	1	1/8	1/8	1		1	79	G5	5	54
11	11	159	11b	316	20	0.5	0	0	2/4	1	1	1/8	1/8	1		1	91	G6	6	49
11	11	159	11b	633/2	41/2	0.5	1/8	1/8	2/4	5	1	1/8	1/8	1		-1	77	F5	5	55
11	11	159	11b	633/2	41/2	0.5	1/8	1/8	2/4	1	1	1/8	1/8	1		-1	89	F6	6	50
11	11	159	11b	317	21	1.0	1/4	1/4	2/4	9	1	1/4	1/4	1		-3	63	Eb4	4	59
11	11	159	11b	317	21	0.5	1/4	1/4	2/4	5	1	1/8	1/8	1		-3	75	Eb5	5	56
11	11	159	11b	317	21	0.5	1/4	1/4	2/4	1	1	1/8	1/8	1		-3	87	Eb6	6	51
11	11	159	11b	635/2	43/2	0.5	3/8	3/8	2/4	5	1	1/8	1/8	1		2	74	D5	5	57
11	11	159	11b	635/2	43/2	0.5	3/8	3/8	2/4	1	1	1/8	1/8	1		2	86	D6	6	52
12	12	160	12b	318	22	1.0	0	0	2/4	9	1	1/4	1/4	1		-1	65	F4	4	63
12	12	160	12b	318	22	1.0	0	0	2/4	3	1	1/4	1/4	1		3	69	A4	4	61
12	12	160	12b	318	22	1.0	0	0	2/4	5	1	1/4	1/4	1		0	72	C5	5	62
12	12	160	12b	318	22	1.0	0	0	2/4	1	1	1/4	1/4	1		0	84	C6	6	60
13	13	161	13b	320	24	2.0	0	0	2/4	9	1	1/2	1/2	1	1	-6	66	Gb4	4	64
14	14	162	14b	322	26	2.0	0	0	2/4	9	1	1/2	1/2	1	0	-6	66	Gb4	4	68
14	14	162	14b	323	27	1.0	1/4	1/4	2/4	3	1	1/4	1/4	1	1	-2	70	Bb4	4	66
14	14	162	14b	323	27	1.0	1/4	1/4	2/4	5	1	1/4	1/4	1	1	-2	70	Bb4	4	67
14	14	162	14b	323	27	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1	1	-2	82	Bb5	5	65
15	15	163	15b	324	28	2.0	0	0	2/4	9	1	1/2	1/2	1	-1	-6	66	Gb4	4	78
15	15	163	15b	324	28	0.5	0	0	2/4	5	1	1/8	1/8	1	-1	-2	70	Bb4	4	74
15	15	163	15b	324	28	2.0	0	0	2/4	3	1	1/2	1/2	1	0	-2	70	Bb4	4	73
15	15	163	15b	324	28	0.5	0	0	2/4	1	1	1/8	1/8	1	-1	-2	82	Bb5	5	69
15	15	163	15b	649/2	57/2	0.5	1/8	1/8	2/4	5	1	1/8	1/8	1		0	72	C5	5	75
15	15	163	15b	649/2	57/2	0.5	1/8	1/8	2/4	1	1	1/8	1/8	1		0	84	C6	6	70
15	15	163	15b	325	29	0.5	1/4	1/4	2/4	5	1	1/8	1/8	1		2	74	D5	5	76
15	15	163	15b	325	29	0.5	1/4	1/4	2/4	1	1	1/8	1/8	1		2	86	D6	6	71
15	15	163	15b	651/2	59/2	0.5	3/8	3/8	2/4	5	1	1/8	1/8	1		-3	75	Eb5	5	77
15	15	163	15b	651/2	59/2	0.5	3/8	3/8	2/4	1	1	1/8	1/8	1		-3	87	Eb6	6	72
16	16	164	16b	326	30	1.0	0	0	2/4	9	1	1/4	1/4	1		-1	65	F4	4	85
16	16	164	16b	326	30	2.0	0	0	2/4	3	1	1/2	1/2	1	0	-2	70	Bb4	4	80
16	16	164	16b	326	30	0.5	0	0	2/4	5	1	1/8	1/8	1		-1	77	F5	5	81
16	16	164	16b	326	30	2.0	0	0	2/4	1	1	1/2	1/2	1	1	-1	89	F6	6	79
16	16	164	16b	653/2	61/2	0.5	1/8	1/8	2/4	5	1	1/8	1/8	1		-2	82	Bb5	5	82
16	16	164	16b	327	31	1.0	1/4	1/4	2/4	9	1	1/4	1/4	1		-3	63	Eb4	4	86
16	16	164	16b	327	31	0.5	1/4	1/4	2/4	5	1	1/8	1/8	1		3	81	A5	5	83
16	16	164	16b	655/2	63/2	0.5	3/8	3/8	2/4	5	1	1/8	1/8	1		1	79	G5	5	84
17	17	165	17b	328	32	1.0	0	0	2/4	9	1	1/4	1/4	1		2	62	D4	4	93
17	17	165	17b	328	32	2.0	0	0	2/4	3	1	1/2	1/2	1	-1	-2	70	Bb4	4	88
17	17	165	17b	328	32	0.5	0	0	2/4	5	1	1/8	1/8	1		-1	77	F5	5	89
17	17	165	17b	328	32	2.0	0	0	2/4	1	1	1/2	1/2	1	0	-1	89	F6	6	87
17	17	165	17b	657/2	65/2	0.5	1/8	1/8	2/4	5	1	1/8	1/8	1		-2	82	Bb5	5	90
17	17	165	17b	329	33	1.0	1/4	1/4	2/4	9	1	1/4	1/4	1		-3	63	Eb4	4	94
17	17	165	17b	329	33	0.5	1/4	1/4	2/4	5	1	1/8	1/8	1		3	81	A5	5	91
17	17	165	17b	659/2	67/2	0.5	3/8	3/8	2/4	5	1	1/8	1/8	1		1	79	G5	5	92
18	18	166	18b	330	34	1.0	0	0	2/4	9	1	1/4	1/4	1		-1	65	F4	4	100
18	18	166	18b	330	34	1.0	0	0	2/4	5	1	1/4	1/4	1		-1	77	F5	5	99
18	18	166	18b	330	34	0.5	0	0	2/4	1	1	1/8	1/8	1	-1	-1	89	F6	6	95
18	18	166	18b	661/2	69/2	0.5	1/8	1/8	2/4	1	1	1/8	1/8	1		4	88	E6	6	96
18	18	166	18b	331	35	0.5	1/4	1/4	2/4	1	1	1/8	1/8	1		-3	87	Eb6	6	97
18	18	166	18b	663/2	71/2	0.5	3/8	3/8	2/4	1	1	1/8	1/8	1		2	86	D6	6	98
19	19	167	19b	332	36	0.5	0	0	2/4	21	1	1/8	1/8	1		0	84	C6	6	101
19	19	167	19b	665/2	73/2	0.5	1/8	1/8	2/4	21	1	1/8	1/8	1		-2	82	Bb5	5	102
19	19	167	19b	333	37	0.5	1/4	1/4	2/4	21	1	1/8	1/8	1		3	81	A5	5	103
19	19	167	19b	667/2	75/2	0.5	3/8	3/8	2/4	21	1	1/8	1/8	1		1	79	G5	5	104
20	20	168	20b	334	38	0.5	0	0	2/4	21	1	1/8	1/8	1		-1	77	F5	5	105
20	20	168	20b	669/2	77/2	0.5	1/8	1/8	2/4	21	1	1/8	1/8	1		4	76	E5	5	106
20	20	168	20b	335	39	0.5	1/4	1/4	2/4	21	1	1/8	1/8	1		-3	75	Eb5	5	107
20	20	168	20b	671/2	79/2	0.5	3/8	3/8	2/4	21	1	1/8	1/8	1		2	74	D5	5	108
21	21	169	21b	336	40	2.0	0	0	2/4	23	1	1/2	1/2	1	1	-5	61	Db4	4	111
21	21	169	21b	336	40	2.0	0	0	2/4	22	1	1/2	1/2	1	1	-2	70	Bb4	4	110
21	21	169	21b	336	40	2.0	0	0	2/4	21	1	1/2	1/2	1	1	-5	73	Db5	5	109
22	22	170	22b	338	42	2.0	0	0	2/4	23	1	1/2	1/2	1	0	-5	61	Db4	4	114
22	22	170	22b	338	42	2.0	0	0	2/4	22	1	1/2	1/2	1	0	-2	70	Bb4	4	113
22	22	170	22b	338	42	2.0	0	0	2/4	21	1	1/2	1/2	1	0	-5	73	Db5	5	112
22	22	170	22b	339	43	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1	1	-6	42	Gb2	2	116
22	22	170	22b	339	43	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1	1	-6	54	Gb3	3	115
23	23	171	23b	340	44	1.0	0	0	2/4	25	1	1/4	1/4	1	-1	-6	42	Gb2	2	122
23	23	171	23b	340	44	1.0	0	0	2/4	24	1	1/4	1/4	1	-1	-6	54	Gb3	3	120
23	23	171	23b	340	44	2.0	0	0	2/4	23	1	1/2	1/2	1	0	-5	61	Db4	4	119
23	23	171	23b	340	44	2.0	0	0	2/4	22	1	1/2	1/2	1	0	-2	70	Bb4	4	118
23	23	171	23b	340	44	2.0	0	0	2/4	21	1	1/2	1/2	1	0	-5	73	Db5	5	117
23	23	171	23b	341	45	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		-1	41	F2	2	123
23	23	171	23b	341	45	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		-1	53	F3	3	121
24	24	172	24b	342	46	1.0	0	0	2/4	25	1	1/4	1/4	1		-3	39	Eb2	2	129
24	24	172	24b	342	46	1.0	0	0	2/4	24	1	1/4	1/4	1		-3	51	Eb3	3	127
24	24	172	24b	342	46	2.0	0	0	2/4	23	1	1/2	1/2	1	0	-5	61	Db4	4	126
24	24	172	24b	342	46	2.0	0	0	2/4	22	1	1/2	1/2	1	0	-2	70	Bb4	4	125
24	24	172	24b	342	46	2.0	0	0	2/4	21	1	1/2	1/2	1	0	-5	73	Db5	5	124
24	24	172	24b	343	47	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		-5	37	Db2	2	130
24	24	172	24b	343	47	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		-5	49	Db3	3	128
25	25	173	25b	344	48	1.0	0	0	2/4	25	1	1/4	1/4	1		0	36	C2	2	137
25	25	173	25b	344	48	1.0	0	0	2/4	24	1	1/4	1/4	1		0	48	C3	3	134
25	25	173	25b	344	48	2.0	0	0	2/4	23	1	1/2	1/2	1	-1	-5	61	Db4	4	133
25	25	173	25b	344	48	2.0	0	0	2/4	22	1	1/2	1/2	1	-1	-2	70	Bb4	4	132
25	25	173	25b	344	48	2.0	0	0	2/4	21	1	1/2	1/2	1	-1	-5	73	Db5	5	131
25	25	173	25b	345	49	0.5	1/4	1/4	2/4	25	1	1/8	1/8	1		-5	37	Db2	2	138
25	25	173	25b	345	49	0.5	1/4	1/4	2/4	24	1	1/8	1/8	1		-5	49	Db3	3	135
25	25	173	25b	691/2	99/2	0.5	3/8	3/8	2/4	25	1	1/8	1/8	1		-3	39	Eb2	2	139
25	25	173	25b	691/2	99/2	0.5	3/8	3/8	2/4	24	1	1/8	1/8	1		-3	51	Eb3	3	136
26	26	174	26b	346	50	1.0	0	0	2/4	25	1	1/4	1/4	1		-1	41	F2	2	144
26	26	174	26b	346	50	1.0	0	0	2/4	24	1	1/4	1/4	1		-1	53	F3	3	143
26	26	174	26b	346	50	2.0	0	0	2/4	23	1	1/2	1/2	1		0	60	C4	4	142
26	26	174	26b	346	50	2.0	0	0	2/4	22	1	1/2	1/2	1		3	69	A4	4	141
26	26	174	26b	346	50	2.0	0	0	2/4	21	1	1/2	1/2	1		0	72	C5	5	140
27	27	175	27b	348	52	1.0	0	0	2/4	25	1	1/4	1/4	1		-2	34	Bb1	1	151
27	27	175	27b	348	52	1.0	0	0	2/4	24	1	1/4	1/4	1		-2	46	Bb2	2	148
27	27	175	27b	348	52	2.0	0	0	2/4	23	1	1/2	1/2	1		-7	59	Cb4	4	147
27	27	175	27b	348	52	2.0	0	0	2/4	22	1	1/2	1/2	1		-4	68	Ab4	4	146
27	27	175	27b	348	52	2.0	0	0	2/4	21	1	1/2	1/2	1		-7	71	Cb5	5	145
27	27	175	27b	349	53	0.5	1/4	1/4	2/4	25	1	1/8	1/8	1		-7	35	Cb2	2	152
27	27	175	27b	349	53	0.5	1/4	1/4	2/4	24	1	1/8	1/8	1		-7	47	Cb3	3	149
27	27	175	27b	699/2	107/2	0.5	3/8	3/8	2/4	25	1	1/8	1/8	1		-5	37	Db2	2	153
27	27	175	27b	699/2	107/2	0.5	3/8	3/8	2/4	24	1	1/8	1/8	1		-5	49	Db3	3	150
28	28	176	28b	350	54	1.0	0	0	2/4	25	1	1/4	1/4	1		-3	39	Eb2	2	158
28	28	176	28b	350	54	1.0	0	0	2/4	24	1	1/4	1/4	1		-3	51	Eb3	3	157
28	28	176	28b	350	54	1.0	0	0	2/4	23	1	1/4	1/4	1		-2	58	Bb3	3	156
28	28	176	28b	350	54	2.0	0	0	2/4	22	1	1/2	1/2	1	1	1	67	G4	4	155
28	28	176	28b	350	54	2.0	0	0	2/4	21	1	1/2	1/2	1	1	-2	70	Bb4	4	154
29	29	177	29b	352	56	1.0	0	0	2/4	25	1	1/4	1/4	1		3	33	A1	1	164
29	29	177	29b	352	56	1.0	0	0	2/4	24	1	1/4	1/4	1		3	45	A2	2	161
29	29	177	29b	352	56	2.0	0	0	2/4	22	1	1/2	1/2	1	-1	1	67	G4	4	160
29	29	177	29b	352	56	2.0	0	0	2/4	21	1	1/2	1/2	1	-1	-2	70	Bb4	4	159
29	29	177	29b	353	57	0.5	1/4	1/4	2/4	25	1	1/8	1/8	1		-2	34	Bb1	1	165
29	29	177	29b	353	57	0.5	1/4	1/4	2/4	24	1	1/8	1/8	1		-2	46	Bb2	2	162
29	29	177	29b	707/2	115/2	0.5	3/8	3/8	2/4	25	1	1/8	1/8	1		0	36	C2	2	166
29	29	177	29b	707/2	115/2	0.5	3/8	3/8	2/4	24	1	1/8	1/8	1		0	48	C3	3	163
30	30	178	30b	354	58	1.0	0	0	2/4	25	1	1/4	1/4	1		2	38	D2	2	170
30	30	178	30b	354	58	1.0	0	0	2/4	24	1	1/4	1/4	1		2	50	D3	3	169
30	30	178	30b	354	58	2.0	0	0	2/4	22	1	1/2	1/2	1		6	66	F#4	4	168
30	30	178	30b	354	58	2.0	0	0	2/4	21	1	1/2	1/2	1	1	3	69	A4	4	167
31	31	179	31b	356	60	1.0	0	0	2/4	25	1	1/4	1/4	1		3	33	A1	1	176
31	31	179	31b	356	60	1.0	0	0	2/4	24	1	1/4	1/4	1		3	45	A2	2	173
31	31	179	31b	356	60	2.0	0	0	2/4	22	1	1/2	1/2	1		1	67	G4	4	172
31	31	179	31b	356	60	2.0	0	0	2/4	21	1	1/2	1/2	1	-1	3	69	A4	4	171
31	31	179	31b	357	61	0.5	1/4	1/4	2/4	25	1	1/8	1/8	1		5	35	B1	1	177
31	31	179	31b	357	61	0.5	1/4	1/4	2/4	24	1	1/8	1/8	1		5	47	B2	2	174
31	31	179	31b	715/2	123/2	0.5	3/8	3/8	2/4	25	1	1/8	1/8	1		7	37	C#2	2	178
31	31	179	31b	715/2	123/2	0.5	3/8	3/8	2/4	24	1	1/8	1/8	1		7	49	C#3	3	175
32	32	180	32b	358	62	1.0	0	0	2/4	25	1	1/4	1/4	1		2	38	D2	2	182
32	32	180	32b	358	62	1.0	0	0	2/4	24	1	1/4	1/4	1		2	50	D3	3	181
32	32	180	32b	358	62	1.0	0	0	2/4	22	1	1/4	1/4	1		6	66	F#4	4	180
32	32	180	32b	358	62	1.0	0	0	2/4	21	1	1/4	1/4	1		3	69	A4	4	179
33	33	181	33b	360	64	1.0	0	0	2/4	25	1	1/4	1/4	1		1	31	G1	1	185
33	33	181	33b	360	64	1.0	0	0	2/4	24	1	1/4	1/4	1		1	43	G2	2	183
33	33	181	33b	361	65	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		2	38	D2	2	186
33	33	181	33b	361	65	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		2	50	D3	3	184
34	34	182	34b	362	66	1.0	0	0	2/4	25	1	1/4	1/4	1		1	31	G1	1	191
34	34	182	34b	362	66	1.0	0	0	2/4	24	1	1/4	1/4	1		1	43	G2	2	189
34	34	182	34b	363	67	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		2	38	D2	2	192
34	34	182	34b	363	67	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		2	50	D3	3	190
34	34	182	34b	363	67	1.0	1/4	1/4	2/4	22	2	1/4	1/4	1	1	5	71	B4	4	188
34	34	182	34b	363	67	1.0	1/4	1/4	2/4	22	1	1/4	1/4	1	1	2	74	D5	5	187
35	35	183	35b	364	68	1.0	0	0	2/4	25	1	1/4	1/4	1		1	31	G1	1	205
35	35	183	35b	364	68	1.0	0	0	2/4	24	1	1/4	1/4	1		1	43	G2	2	203
35	35	183	35b	364	68	0.5	0	0	2/4	23	1	1/8	1/8	1		2	62	D4	4	199
35	35	183	35b	364	68	1.0	0	0	2/4	22	2	1/4	1/4	1	-1	5	71	B4	4	197
35	35	183	35b	364	68	1.0	0	0	2/4	22	1	1/4	1/4	1	-1	2	74	D5	5	195
35	35	183	35b	364	68	2.0	0	0	2/4	3	1	1/2	1/2	1	1	2	74	D5	5	193
35	35	183	35b	364	68	2.0	0	0	2/4	4	1	1/2	1/2	1	1	2	74	D5	5	194
35	35	183	35b	729/2	137/2	0.5	1/8	1/8	2/4	23	1	1/8	1/8	1		7	61	C#4	4	200
35	35	183	35b	365	69	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		2	38	D2	2	206
35	35	183	35b	365	69	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		2	50	D3	3	204
35	35	183	35b	365	69	0.5	1/4	1/4	2/4	23	1	1/8	1/8	1		2	62	D4	4	201
35	35	183	35b	365	69	1.0	1/4	1/4	2/4	22	2	1/4	1/4	1		3	69	A4	4	198
35	35	183	35b	365	69	1.0	1/4	1/4	2/4	22	1	1/4	1/4	1		0	72	C5	5	196
35	35	183	35b	731/2	139/2	0.5	3/8	3/8	2/4	23	1	1/8	1/8	1		7	61	C#4	4	202
36	36	184	36b	366	70	1.0	0	0	2/4	25	1	1/4	1/4	1		1	31	G1	1	221
36	36	184	36b	366	70	1.0	0	0	2/4	24	1	1/4	1/4	1		1	43	G2	2	219
36	36	184	36b	366	70	0.5	0	0	2/4	23	1	1/8	1/8	1		2	62	D4	4	215
36	36	184	36b	366	70	1.0	0	0	2/4	22	2	1/4	1/4	1		1	67	G4	4	213
36	36	184	36b	366	70	1.0	0	0	2/4	22	1	1/4	1/4	1		5	71	B4	4	211
36	36	184	36b	366	70	1.0	0	0	2/4	3	1	1/4	1/4	1	-1	2	74	D5	5	207
36	36	184	36b	366	70	2.0	0	0	2/4	4	1	1/2	1/2	1	0	2	74	D5	5	210
36	36	184	36b	733/2	141/2	0.5	1/8	1/8	2/4	23	1	1/8	1/8	1		7	61	C#4	4	216
36	36	184	36b	367	71	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		2	38	D2	2	222
36	36	184	36b	367	71	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		2	50	D3	3	220
36	36	184	36b	367	71	0.5	1/4	1/4	2/4	23	1	1/8	1/8	1		2	62	D4	4	217
36	36	184	36b	367	71	1.0	1/4	1/4	2/4	22	2	1/4	1/4	1		2	62	D4	4	214
36	36	184	36b	367	71	1.0	1/4	1/4	2/4	22	1	1/4	1/4	1		3	69	A4	4	212
36	36	184	36b	367	71	0.5	1/4	1/4	2/4	3	1	1/8	1/8	1		4	76	E5	5	208
36	36	184	36b	735/2	143/2	0.5	3/8	3/8	2/4	23	1	1/8	1/8	1		7	61	C#4	4	218
36	36	184	36b	735/2	143/2	0.5	3/8	3/8	2/4	3	1	1/8	1/8	1		6	78	F#5	5	209
37	37	185	37b	368	72	1.0	0	0	2/4	25	1	1/4	1/4	1		1	31	G1	1	236
37	37	185	37b	368	72	1.0	0	0	2/4	24	1	1/4	1/4	1		1	43	G2	2	234
37	37	185	37b	368	72	1.0	0	0	2/4	22	2	1/4	1/4	1		5	59	B3	3	228
37	37	185	37b	368	72	0.5	0	0	2/4	23	1	1/8	1/8	1		2	62	D4	4	230
37	37	185	37b	368	72	1.0	0	0	2/4	22	1	1/4	1/4	1		1	67	G4	4	225
37	37	185	37b	368	72	2.0	0	0	2/4	4	1	1/2	1/2	1	0	2	74	D5	5	224
37	37	185	37b	368	72	2.0	0	0	2/4	3	1	1/2	1/2	1		1	79	G5	5	223
37	37	185	37b	737/2	145/2	0.5	1/8	1/8	2/4	23	1	1/8	1/8	1		7	61	C#4	4	231
37	37	185	37b	369	73	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		2	38	D2	2	237
37	37	185	37b	369	73	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		2	50	D3	3	235
37	37	185	37b	369	73	0.5	1/4	1/4	2/4	23	1	1/8	1/8	1		2	62	D4	4	232
37	37	185	37b	369	73	1.0	1/4	1/4	2/4	22	2	1/4	1/4	1	1	1	67	G4	4	229
37	37	185	37b	369	73	0.5	1/4	1/4	2/4	22	1	1/8	1/8	1		3	69	A4	4	226
37	37	185	37b	739/2	147/2	0.5	3/8	3/8	2/4	23	1	1/8	1/8	1		7	61	C#4	4	233
37	37	185	37b	739/2	147/2	0.5	3/8	3/8	2/4	22	1	1/8	1/8	1		5	71	B4	4	227
38	38	186	38b	370	74	1.0	0	0	2/4	25	1	1/4	1/4	1		1	31	G1	1	251
38	38	186	38b	370	74	1.0	0	0	2/4	24	1	1/4	1/4	1		1	43	G2	2	249
38	38	186	38b	370	74	0.5	0	0	2/4	23	1	1/8	1/8	1		2	62	D4	4	245
38	38	186	38b	370	74	0.5	0	0	2/4	22	2	1/8	1/8	1	-1	1	67	G4	4	241
38	38	186	38b	370	74	2.0	0	0	2/4	22	1	1/2	1/2	1		0	72	C5	5	240
38	38	186	38b	370	74	2.0	0	0	2/4	4	1	1/2	1/2	1	0	2	74	D5	5	239
38	38	186	38b	370	74	2.0	0	0	2/4	3	1	1/2	1/2	1		3	81	A5	5	238
38	38	186	38b	741/2	149/2	0.5	1/8	1/8	2/4	23	1	1/8	1/8	1		3	57	A3	3	246
38	38	186	38b	741/2	149/2	0.5	1/8	1/8	2/4	22	2	1/8	1/8	1		6	66	F#4	4	242
38	38	186	38b	371	75	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		2	38	D2	2	252
38	38	186	38b	371	75	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		2	50	D3	3	250
38	38	186	38b	371	75	0.5	1/4	1/4	2/4	23	1	1/8	1/8	1		2	62	D4	4	247
38	38	186	38b	371	75	0.5	1/4	1/4	2/4	22	2	1/8	1/8	1		3	69	A4	4	243
38	38	186	38b	743/2	151/2	0.5	3/8	3/8	2/4	23	1	1/8	1/8	1		3	57	A3	3	248
38	38	186	38b	743/2	151/2	0.5	3/8	3/8	2/4	22	2	1/8	1/8	1		1	67	G4	4	244
39	39	187	39b	372	76	1.0	0	0	2/4	25	1	1/4	1/4	1		1	31	G1	1	269
39	39	187	39b	372	76	1.0	0	0	2/4	24	1	1/4	1/4	1		1	43	G2	2	267
39	39	187	39b	372	76	0.5	0	0	2/4	23	1	1/8	1/8	1		2	62	D4	4	263
39	39	187	39b	372	76	0.5	0	0	2/4	22	2	1/8	1/8	1		-1	65	F4	4	259
39	39	187	39b	372	76	0.5	0	0	2/4	22	1	1/8	1/8	1		5	71	B4	4	255
39	39	187	39b	372	76	1.0	0	0	2/4	4	1	1/4	1/4	1	-1	2	74	D5	5	254
39	39	187	39b	372	76	1.0	0	0	2/4	3	1	1/4	1/4	1		1	79	G5	5	253
39	39	187	39b	745/2	153/2	0.5	1/8	1/8	2/4	23	1	1/8	1/8	1		1	55	G3	3	264
39	39	187	39b	745/2	153/2	0.5	1/8	1/8	2/4	22	1	1/8	1/8	1		3	69	A4	4	256
39	39	187	39b	745/2	153/2	0.5	1/8	1/8	2/4	22	2	1/8	1/8	1		3	69	A4	4	260
39	39	187	39b	373	77	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		1	43	G2	2	270
39	39	187	39b	373	77	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		1	55	G3	3	268
39	39	187	39b	373	77	0.5	1/4	1/4	2/4	23	1	1/8	1/8	1		2	62	D4	4	265
39	39	187	39b	373	77	0.5	1/4	1/4	2/4	22	2	1/8	1/8	1		-1	65	F4	4	261
39	39	187	39b	373	77	0.5	1/4	1/4	2/4	22	1	1/8	1/8	1		5	71	B4	4	257
39	39	187	39b	747/2	155/2	0.5	3/8	3/8	2/4	23	1	1/8	1/8	1		1	55	G3	3	266
39	39	187	39b	747/2	155/2	0.5	3/8	3/8	2/4	22	2	1/8	1/8	1		-3	63	Eb4	4	262
39	39	187	39b	747/2	155/2	0.5	3/8	3/8	2/4	22	1	1/8	1/8	1		0	72	C5	5	258
40	40	188	40b	374	78	1.0	0	0	2/4	25	1	1/4	1/4	1		1	31	G1	1	282
40	40	188	40b	374	78	1.0	0	0	2/4	24	1	1/4	1/4	1		1	43	G2	2	280
40	40	188	40b	374	78	0.5	0	0	2/4	23	1	1/8	1/8	1		5	59	B3	3	276
