mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
20	20	20	20a	38	38	0.5	0	0	2/4	21	1	1/8	1/8	1		-1	77	F5	5	105
20	20	20	20a	77/2	77/2	0.5	1/8	1/8	2/4	21	1	1/8	1/8	1		4	76	E5	5	106
20	20	20	20a	39	39	0.5	1/4	1/4	2/4	21	1	1/8	1/8	1		-3	75	Eb5	5	107
20	20	20	20a	79/2	79/2	0.5	3/8	3/8	2/4	21	1	1/8	1/8	1		2	74	D5	5	108
21	21	21	21a	40	40	2.0	0	0	2/4	23	1	1/2	1/2	1	1	-5	61	Db4	4	111
21	21	21	21a	40	40	2.0	0	0	2/4	22	1	1/2	1/2	1	1	-2	70	Bb4	4	110
21	21	21	21a	40	40	2.0	0	0	2/4	21	1	1/2	1/2	1	1	-5	73	Db5	5	109
22	22	22	22a	42	42	2.0	0	0	2/4	23	1	1/2	1/2	1	0	-5	61	Db4	4	114
22	22	22	22a	42	42	2.0	0	0	2/4	22	1	1/2	1/2	1	0	-2	70	Bb4	4	113
22	22	22	22a	42	42	2.0	0	0	2/4	21	1	1/2	1/2	1	0	-5	73	Db5	5	112
22	22	22	22a	43	43	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1	1	-6	42	Gb2	2	116
22	22	22	22a	43	43	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1	1	-6	54	Gb3	3	115
23	23	23	23a	44	44	1.0	0	0	2/4	25	1	1/4	1/4	1	-1	-6	42	Gb2	2	122
23	23	23	23a	44	44	1.0	0	0	2/4	24	1	1/4	1/4	1	-1	-6	54	Gb3	3	120
23	23	23	23a	44	44	2.0	0	0	2/4	23	1	1/2	1/2	1	0	-5	61	Db4	4	119
23	23	23	23a	44	44	2.0	0	0	2/4	22	1	1/2	1/2	1	0	-2	70	Bb4	4	118
23	23	23	23a	44	44	2.0	0	0	2/4	21	1	1/2	1/2	1	0	-5	73	Db5	5	117
23	23	23	23a	45	45	1.0	1/4	1/4	2/4	25	1	1/4	1/4	1		-1	41	F2	2	123
23	23	23	23a	45	45	1.0	1/4	1/4	2/4	24	1	1/4	1/4	1		-1	53	F3	3	121
24	24	24	24a	46	46	1.0	0	0	2/4	25	1	1/4	1/4	1		-3	39	Eb2	2	129
24	24	24	24a	46	46	1.0	0	0	2/4	24	1	1/4	1/4	1		-3	51	Eb3	3	127
24	24	24	24a	46	46	2.0	0	0	2/4	23	1	1/2	1/2	1	0	-5	61	Db4	4	126
24	24	24	24a	46	46	2.0	0	0	2/4	22	1	1/2	1/2	1	0	-2	70	Bb4	4	125
24	24	24	24a	46	46	2.0	0	0	2/4	21	1	1/2	1/2	1	0	-5	73	Db5	5	124
