mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
50	50	198	50b	394	2.0	0	2/4	1/2	0										51
51	51	199	51b	396	2.0	0	2/4	1/2	0										52
52	52	200	52b	398	2.0	0	2/4	1/2	0										53
53	53	201	53b	400	2.0	0	2/4	1/2	0										54
54	54	202	54b	402	2.0	0	2/4	1/2	0			double							55
55	55	203	55b	404	2.0	0	2/4	1/2	0										56
56	56	204	56b	406	2.0	0	2/4	1/2	0				line						57
57	57	205	57b	408	2.0	0	2/4	1/2	0										58
58	58	206	58b	410	2.0	0	2/4	1/2	0										59
59	59	207	59b	412	2.0	0	2/4	1/2	0										60
60	60	208	60b	414	2.0	0	2/4	1/2	0										61
61	61	209	61b	416	2.0	0	2/4	1/2	0										62
62	62	210	62b	418	2.0	0	2/4	1/2	0										63
63	63	211	63b	420	2.0	0	2/4	1/2	0										64
64	64	212	64b	422	2.0	0	2/4	1/2	0										65
65	65	213	65b	424	2.0	0	2/4	1/2	0										66
66	66	214	66b	426	2.0	0	2/4	1/2	0										67
67	67	215	67b	428	2.0	0	2/4	1/2	0										68
68	68	216	68b	430	2.0	0	2/4	1/2	0				line						69
69	69	217	69b	432	2.0	0	2/4	1/2	0										70
70	70	218	70b	434	2.0	0	2/4	1/2	0										71
71	71	219	71b	436	2.0	0	2/4	1/2	0										72
72	72	220	72b	438	2.0	0	2/4	1/2	0										73
73	73	221	73b	440	2.0	0	2/4	1/2	0										74
74	74	222	74b	442	2.0	0	2/4	1/2	0										75
75	75	223	75b	444	2.0	0	2/4	1/2	0										76
76	76	224	76b	446	2.0	0	2/4	1/2	0										77
77	77	225	77b	448	2.0	0	2/4	1/2	0										78
78	78	226	78b	450	2.0	0	2/4	1/2	0										79
79	79	227	79b	452	2.0	0	2/4	1/2	0										80
80	80	228	80b	454	2.0	0	2/4	1/2	0				line						81
81	81	229	81b	456	2.0	0	2/4	1/2	0										82
82	82	230	82b	458	2.0	0	2/4	1/2	0										83
