mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	Trill:trill	crescendo_line	HairPin:2_sempre cresc.	HairPin:2_cresc. sempre	HairPin:2_sempre crescendo	HairPin:2_(cresc.)	diminuendo_line	HairPin:3_sempre diminuendo	HairPin:3_(dim.)	HairPin:3_dimin.	crescendo_hairpin	decrescendo_hairpin
12	12	23	23	0.0	1/4	1/4	Spanner	2/4	1	1	0																								
12	12	22	22	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	61																					
12	12	22	22	1.0	0	0	Chord	2/4	5	1	1/4	1/4	1	62																					4
12	12	23	23	0.0	1/4	1/4	Spanner	2/4	5	1	0																								
12	12	22	22	1.0	0	0	Chord	2/4	9	1	1/4	1/4	1	63																					5
12	12	23	23	0.0	1/4	1/4	Spanner	2/4	9	1	0																								
13	13	24	24	0.0	0	0	Dynamic	2/4	9	1	0					mf																			
13	13	24	24	2.0	0	0	Chord	2/4	9	1	1/2	1/2	1	64	X		articAccentAbove																		
14	14	27	27	0.0	1/4	1/4	Dynamic	2/4	1	1	0					mf																			
14	14	27	27	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	65			articAccentAbove						10												
14	14	27	27	0.0	1/4	1/4	Dynamic	2/4	3	1	0					mf																			
14	14	27	27	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	66			articAccentAbove																		
14	14	27	27	0.0	1/4	1/4	Dynamic	2/4	5	1	0					mf																			
14	14	27	27	1.0	1/4	1/4	Chord	2/4	5	1	1/4	1/4	1	67	a		articAccentAbove						11												
14	14	26	26	2.0	0	0	Chord	2/4	9	1	1/2	1/2	1	68																					
15	15	28	28	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	69									10												
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	70									10												
15	15	29	29	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	71									10												
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	72									10												
15	15	28	28	2.0	0	0	Chord	2/4	3	1	1/2	1/2	1	73																					
15	15	28	28	0.5	0	0	Chord	2/4	5	1	1/8	1/8	1	74									11												
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	5	1	1/8	1/8	1	75									11												
15	15	29	29	0.5	1/4	1/4	Chord	2/4	5	1	1/8	1/8	1	76									11												
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	5	1	1/8	1/8	1	77									11												
15	15	28	28	2.0	0	0	Chord	2/4	9	1	1/2	1/2	1	78									12												
16	16	30	30	2.0	0	0	Chord	2/4	1	1	1/2	1/2	1	79									10												
16	16	30	30	2.0	0	0	Chord	2/4	3	1	1/2	1/2	1	80																					
16	16	30	30	0.5	0	0	Chord	2/4	5	1	1/8	1/8	1	81									11												
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	5	1	1/8	1/8	1	82									11												
16	16	31	31	0.5	1/4	1/4	Chord	2/4	5	1	1/8	1/8	1	83									11												
16	16	63/2	63/2	0.5	3/8	3/8	Chord	2/4	5	1	1/8	1/8	1	84									11												
16	16	30	30	1.0	0	0	Chord	2/4	9	1	1/4	1/4	1	85			articStaccatissimoAbove																		
16	16	31	31	1.0	1/4	1/4	Chord	2/4	9	1	1/4	1/4	1	86			articStaccatissimoAbove																		
17	17	32	32	0.0	0	0	Spanner	2/4	1	1	0																			0					
17	17	32	32	2.0	0	0	Chord	2/4	1	1	1/2	1/2	1	87																0					
17	17	32	32	2.0	0	0	Chord	2/4	3	1	1/2	1/2	1	88																					
17	17	32	32	0.0	0	0	Spanner	2/4	5	1	0												11							1					
17	17	32	32	0.5	0	0	Chord	2/4	5	1	1/8	1/8	1	89									11							1					
17	17	65/2	65/2	0.5	1/8	1/8	Chord	2/4	5	1	1/8	1/8	1	90									11							1					
17	17	33	33	0.5	1/4	1/4	Chord	2/4	5	1	1/8	1/8	1	91									11							1					
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	5	1	1/8	1/8	1	92									11							1					
17	17	32	32	0.0	0	0	Spanner	2/4	9	1	0																			2					
17	17	32	32	1.0	0	0	Chord	2/4	9	1	1/4	1/4	1	93									13							2					
17	17	33	33	1.0	1/4	1/4	Chord	2/4	9	1	1/4	1/4	1	94									13							2					
18	18	34	34	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	95			articStaccatissimoAbove													0					
18	18	69/2	69/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	96	a		articStaccatissimoAbove													0					
18	18	35	35	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	97			articStaccatissimoAbove													0					
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	98			articStaccatissimoAbove													0					
