mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
29	29	56	56	1.0	0	0	2/4	24	1	1/4	1/4	1		3	45	A2	2	161
29	29	56	56	2.0	0	0	2/4	22	1	1/2	1/2	1	-1	1	67	G4	4	160
29	29	56	56	2.0	0	0	2/4	21	1	1/2	1/2	1	-1	-2	70	Bb4	4	159
29	29	57	57	0.5	1/4	1/4	2/4	25	1	1/8	1/8	1		-2	34	Bb1	1	165
29	29	57	57	0.5	1/4	1/4	2/4	24	1	1/8	1/8	1		-2	46	Bb2	2	162
29	29	115/2	115/2	0.5	3/8	3/8	2/4	25	1	1/8	1/8	1		0	36	C2	2	166
29	29	115/2	115/2	0.5	3/8	3/8	2/4	24	1	1/8	1/8	1		0	48	C3	3	163
30	30	58	58	1.0	0	0	2/4	25	1	1/4	1/4	1		2	38	D2	2	170
30	30	58	58	1.0	0	0	2/4	24	1	1/4	1/4	1		2	50	D3	3	169
30	30	58	58	2.0	0	0	2/4	22	1	1/2	1/2	1		6	66	F#4	4	168
30	30	58	58	2.0	0	0	2/4	21	1	1/2	1/2	1	1	3	69	A4	4	167
31	31	60	60	1.0	0	0	2/4	25	1	1/4	1/4	1		3	33	A1	1	176
31	31	60	60	1.0	0	0	2/4	24	1	1/4	1/4	1		3	45	A2	2	173
31	31	60	60	2.0	0	0	2/4	22	1	1/2	1/2	1		1	67	G4	4	172
31	31	60	60	2.0	0	0	2/4	21	1	1/2	1/2	1	-1	3	69	A4	4	171
31	31	61	61	0.5	1/4	1/4	2/4	25	1	1/8	1/8	1		5	35	B1	1	177
31	31	61	61	0.5	1/4	1/4	2/4	24	1	1/8	1/8	1		5	47	B2	2	174
31	31	123/2	123/2	0.5	3/8	3/8	2/4	25	1	1/8	1/8	1		7	37	C#2	2	178
31	31	123/2	123/2	0.5	3/8	3/8	2/4	24	1	1/8	1/8	1		7	49	C#3	3	175
32	32	62	62	1.0	0	0	2/4	25	1	1/4	1/4	1		2	38	D2	2	182
32	32	62	62	1.0	0	0	2/4	24	1	1/4	1/4	1		2	50	D3	3	181
32	32	62	62	1.0	0	0	2/4	22	1	1/4	1/4	1		6	66	F#4	4	180
32	32	62	62	1.0	0	0	2/4	21	1	1/4	1/4	1		3	69	A4	4	179
