mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
11	11	41/2	41/2	0.5	1/8	1/8	2/4	5	1	1/8	1/8	1		-1	77	F5	5	55
11	11	41/2	41/2	0.5	1/8	1/8	2/4	1	1	1/8	1/8	1		-1	89	F6	6	50
11	11	21	21	1.0	1/4	1/4	2/4	9	1	1/4	1/4	1		-3	63	Eb4	4	59
11	11	21	21	0.5	1/4	1/4	2/4	5	1	1/8	1/8	1		-3	75	Eb5	5	56
11	11	21	21	0.5	1/4	1/4	2/4	1	1	1/8	1/8	1		-3	87	Eb6	6	51
11	11	43/2	43/2	0.5	3/8	3/8	2/4	5	1	1/8	1/8	1		2	74	D5	5	57
11	11	43/2	43/2	0.5	3/8	3/8	2/4	1	1	1/8	1/8	1		2	86	D6	6	52
12	12	22	22	1.0	0	0	2/4	9	1	1/4	1/4	1		-1	65	F4	4	63
12	12	22	22	1.0	0	0	2/4	3	1	1/4	1/4	1		3	69	A4	4	61
12	12	22	22	1.0	0	0	2/4	5	1	1/4	1/4	1		0	72	C5	5	62
12	12	22	22	1.0	0	0	2/4	1	1	1/4	1/4	1		0	84	C6	6	60
13	13	24	24	2.0	0	0	2/4	9	1	1/2	1/2	1	1	-6	66	Gb4	4	64
14	14	26	26	2.0	0	0	2/4	9	1	1/2	1/2	1	0	-6	66	Gb4	4	68
14	14	27	27	1.0	1/4	1/4	2/4	3	1	1/4	1/4	1	1	-2	70	Bb4	4	66
14	14	27	27	1.0	1/4	1/4	2/4	5	1	1/4	1/4	1	1	-2	70	Bb4	4	67
14	14	27	27	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1	1	-2	82	Bb5	5	65
15	15	28	28	2.0	0	0	2/4	9	1	1/2	1/2	1	-1	-6	66	Gb4	4	78
15	15	28	28	0.5	0	0	2/4	5	1	1/8	1/8	1	-1	-2	70	Bb4	4	74
15	15	28	28	2.0	0	0	2/4	3	1	1/2	1/2	1	0	-2	70	Bb4	4	73
15	15	28	28	0.5	0	0	2/4	1	1	1/8	1/8	1	-1	-2	82	Bb5	5	69
15	15	57/2	57/2	0.5	1/8	1/8	2/4	5	1	1/8	1/8	1		0	72	C5	5	75
15	15	57/2	57/2	0.5	1/8	1/8	2/4	1	1	1/8	1/8	1		0	84	C6	6	70
15	15	29	29	0.5	1/4	1/4	2/4	5	1	1/8	1/8	1		2	74	D5	5	76
15	15	29	29	0.5	1/4	1/4	2/4	1	1	1/8	1/8	1		2	86	D6	6	71
15	15	59/2	59/2	0.5	3/8	3/8	2/4	5	1	1/8	1/8	1		-3	75	Eb5	5	77
15	15	59/2	59/2	0.5	3/8	3/8	2/4	1	1	1/8	1/8	1		-3	87	Eb6	6	72
16	16	30	30	1.0	0	0	2/4	9	1	1/4	1/4	1		-1	65	F4	4	85
16	16	30	30	2.0	0	0	2/4	3	1	1/2	1/2	1	0	-2	70	Bb4	4	80
16	16	30	30	0.5	0	0	2/4	5	1	1/8	1/8	1		-1	77	F5	5	81
16	16	30	30	2.0	0	0	2/4	1	1	1/2	1/2	1	1	-1	89	F6	6	79
