mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
136	129	1/4	1/4	2/2	1	1	V6		c	I		V6		V		6						M	1	0	5, 2, 1		1	5	5	5	0.5	0.75	1.0	0.42857142857142855
136	129	3/4	3/4	2/2	1	1	V7/V		c	I		V7/V		V		7		V				Mm7	1	0	2, 6, 3, 0		2	2	0	4	0.0	0.0	0.75	0.0
137	130	0	0	2/2	1	1	V		c	I		V		V								M	1	0	1, 5, 2		1	1	2	9	0.18181818181818182	0.25	2.25	0.1
138	131	0	0	2/2	1	1	V7/ii		c	I		V7/ii		V		7		ii				Mm7	1	0	3, 7, 4, 1		3	3	0	7	0.0	0.0	1.5	0.0
138	131	1/2	1/2	2/2	1	1	ii		c	I		ii		ii								m	1	0	2, -1, 3		2	2	0	8	0.0	0.0	1.75	0.0
139	132	0	0	2/2	1	1	V		c	I		V		V								M	1	0	1, 5, 2		1	1	1	6	0.14285714285714285	0.5	1.0	0.3333333333333333
139	132	1/2	1/2	2/2	1	1	I		c	I		I		I								M	1	0	0, 4, 1		0	0	0	8	0.0	0.0	1.75	0.0
140	133	0	0	2/2	1	1	ii6(2)		c	I		ii6(2)		ii		6	2					m	1	0	-1, 3, 4		2	-1	0	4	0.0	0.0	0.75	0.0
140	133	1/4	1/4	2/2	1	1	ii6		c	I		ii6		ii		6						m	1	0	-1, 3, 2		2	-1	0	4	0.0	0.0	0.75	0.0
140	133	1/2	1/2	2/2	1	1	V7(4)		c	I		V7(4)		V		7	4					Mm7	1	0	1, 0, 2, -1		1	1	1	3	0.25	0.125	0.625	0.16666666666666666
140	133	3/4	3/4	2/2	1	1	V7		c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1	0	4	0.0	0.0	0.75	0.0
141	134	0	0	2/2	1	1	I\\		c	I		I		I							\\	M	1	0	0, 4, 1		0	0	4	10	0.2857142857142857	0.375	1.875	0.16666666666666666
141	134	3/4	3/4	2/2	1	1	v6		c	I		v6		v		6						m	1	0	-2, 2, 1		1	-2	1	4	0.2	0.125	0.875	0.125
