mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
13	11	31	11b	79/2	1.5	-2	3/8	3/8	0										14
14	12	32	12b	41	1.5	-2	3/8	3/8	0										15
15	13	33	13b	85/2	1.5	-2	3/8	3/8	0										16
16	14	34	14b	44	1.5	-2	3/8	3/8	0										17
17	15	35	15b	91/2	1.5	-2	3/8	3/8	0										18
18	16	36	16b	47	1.0	-2	3/8	1/4	0					end		start	2e	segno	10, 1
1	0	37	16b	48	0.5	-2	3/8	1/8	1/4		1			firstMeasure					2
2	1	38	1c	97/2	1.5	-2	3/8	3/8	0										3
3	2	39	2c	50	1.5	-2	3/8	3/8	0										4
4	3	40	3c	103/2	1.5	-2	3/8	3/8	0										5
5	4	41	4c	53	1.5	-2	3/8	3/8	0										6
6	5	42	5c	109/2	1.5	-2	3/8	3/8	0										7
7	6	43	6c	56	1.5	-2	3/8	3/8	0										8
8	7	44	7c	115/2	1.5	-2	3/8	3/8	0										9
9	8	45	8d	59	1.0	-2	3/8	1/4	0				line	end	segno				1, 10, 19, 28
19	16	46	16c	60	0.5	-2	3/8	1/8	1/4		1			start	2e				20
20	17	47	17a	121/2	1.5	-2	3/8	3/8	0										21
21	18	48	18a	62	1.5	-2	3/8	3/8	0										22
22	19	49	19a	127/2	1.5	-2	3/8	3/8	0										23
23	20	50	20a	65	1.5	-2	3/8	3/8	0										24
24	21	51	21a	133/2	1.5	-2	3/8	3/8	0										25
25	22	52	22a	68	1.5	-2	3/8	3/8	0										26
26	23	53	23a	139/2	1.5	-2	3/8	3/8	0										27
27	24	54	24a	71	1.0	-2	3/8	1/4	0					end		start	3e	segno	19, 1
19	16	55	24a	72	0.5	-2	3/8	1/8	1/4		1			start	2e				20
20	17	56	17b	145/2	1.5	-2	3/8	3/8	0										21
21	18	57	18b	74	1.5	-2	3/8	3/8	0										22
22	19	58	19b	151/2	1.5	-2	3/8	3/8	0										23
23	20	59	20b	77	1.5	-2	3/8	3/8	0										24
24	21	60	21b	157/2	1.5	-2	3/8	3/8	0										25
25	22	61	22b	80	1.5	-2	3/8	3/8	0										26
26	23	62	23b	163/2	1.5	-2	3/8	3/8	0										27
27	24	63	24b	83	1.0	-2	3/8	1/4	0					end		start	3e	segno	19, 1
1	0	64	24b	84	0.5	-2	3/8	1/8	1/4		1			firstMeasure					2
2	1	65	1d	169/2	1.5	-2	3/8	3/8	0										3
3	2	66	2d	86	1.5	-2	3/8	3/8	0										4
4	3	67	3d	175/2	1.5	-2	3/8	3/8	0										5
5	4	68	4d	89	1.5	-2	3/8	3/8	0										6
6	5	69	5d	181/2	1.5	-2	3/8	3/8	0										7
7	6	70	6d	92	1.5	-2	3/8	3/8	0										8
8	7	71	7d	187/2	1.5	-2	3/8	3/8	0										9
9	8	72	8e	95	1.0	-2	3/8	1/4	0				line	end	segno				1, 10, 19, 28
28	24	73	24c	96	2.0	-2	3/8	1/2	0		1			start	3e				29
29	25	74	25a	98	1.5	-2	3/8	3/8	0										30
30	26	75	26a	199/2	1.5	-2	3/8	3/8	0										31
31	27	76	27a	101	1.5	-2	3/8	3/8	0										32
32	28	77	28a	205/2	1.5	-2	3/8	3/8	0										33
33	29	78	29a	104	1.5	-2	3/8	3/8	0										34
34	30	79	30a	211/2	1.5	-2	3/8	3/8	0										35
35	31	80	31a	107	1.5	-2	3/8	3/8	0										36
36	32	81	32a	217/2	1.5	-2	3/8	3/8	0										37
37	33	82	33a	110	1.5	-2	3/8	3/8	0										38
38	34	83	34a	223/2	1.5	-2	3/8	3/8	0										39
39	35	84	35a	113	1.5	-2	3/8	3/8	0										40
40	36	85	36a	229/2	1.5	-2	3/8	3/8	0										41
41	37	86	37a	116	1.5	-2	3/8	3/8	0										42
42	38	87	38a	235/2	1.5	-2	3/8	3/8	0										43
43	39	88	39a	119	1.5	-2	3/8	3/8	0										44
44	40	89	40a	241/2	1.5	-2	3/8	3/8	0										45
45	41	90	41a	122	1.5	-2	3/8	3/8	0										46
46	42	91	42a	247/2	1.5	-2	3/8	3/8	0										47
47	43	92	43a	125	1.5	-2	3/8	3/8	0										48
48	44	93	44a	253/2	1.5	-2	3/8	3/8	0										49
49	45	94	45a	128	1.5	-2	3/8	3/8	0										50
50	46	95	46a	259/2	1.5	-2	3/8	3/8	0										51
51	47	96	47a	131	1.5	-2	3/8	3/8	0										52
52	48	97	48a	265/2	1.5	-2	3/8	3/8	0										53
53	49	98	49a	134	1.5	-2	3/8	3/8	0										54
54	50	99	50a	271/2	1.5	-2	3/8	3/8	0										55
55	51	100	51a	137	1.5	-2	3/8	3/8	0										56
56	52	101	52a	277/2	1.5	-2	3/8	3/8	0										57
57	53	102	53a	140	1.5	-2	3/8	3/8	0										58
58	54	103	54a	283/2	1.5	-2	3/8	3/8	0										59
59	55	104	55a	143	1.5	-2	3/8	3/8	0										60
60	56	105	56a	289/2	1.0	-2	3/8	1/4	0					end					28, -1
28	24	106	56a	291/2	2.0	-2	3/8	1/2	0		1			start	3e				29
29	25	107	25b	295/2	1.5	-2	3/8	3/8	0										30
30	26	108	26b	149	1.5	-2	3/8	3/8	0										31
31	27	109	27b	301/2	1.5	-2	3/8	3/8	0										32
32	28	110	28b	152	1.5	-2	3/8	3/8	0										33
33	29	111	29b	307/2	1.5	-2	3/8	3/8	0										34
34	30	112	30b	155	1.5	-2	3/8	3/8	0										35
35	31	113	31b	313/2	1.5	-2	3/8	3/8	0										36
36	32	114	32b	158	1.5	-2	3/8	3/8	0										37
37	33	115	33b	319/2	1.5	-2	3/8	3/8	0										38
38	34	116	34b	161	1.5	-2	3/8	3/8	0										39
39	35	117	35b	325/2	1.5	-2	3/8	3/8	0										40
40	36	118	36b	164	1.5	-2	3/8	3/8	0										41
41	37	119	37b	331/2	1.5	-2	3/8	3/8	0										42
42	38	120	38b	167	1.5	-2	3/8	3/8	0										43
43	39	121	39b	337/2	1.5	-2	3/8	3/8	0										44
44	40	122	40b	170	1.5	-2	3/8	3/8	0										45
45	41	123	41b	343/2	1.5	-2	3/8	3/8	0										46
46	42	124	42b	173	1.5	-2	3/8	3/8	0										47
47	43	125	43b	349/2	1.5	-2	3/8	3/8	0										48
48	44	126	44b	176	1.5	-2	3/8	3/8	0										49
49	45	127	45b	355/2	1.5	-2	3/8	3/8	0										50
50	46	128	46b	179	1.5	-2	3/8	3/8	0										51
51	47	129	47b	361/2	1.5	-2	3/8	3/8	0										52
52	48	130	48b	182	1.5	-2	3/8	3/8	0										53
53	49	131	49b	367/2	1.5	-2	3/8	3/8	0										54
54	50	132	50b	185	1.5	-2	3/8	3/8	0										55
55	51	133	51b	373/2	1.5	-2	3/8	3/8	0										56
56	52	134	52b	188	1.5	-2	3/8	3/8	0										57
57	53	135	53b	379/2	1.5	-2	3/8	3/8	0										58
58	54	136	54b	191	1.5	-2	3/8	3/8	0										59
59	55	137	55b	385/2	1.5	-2	3/8	3/8	0										60
60	56	138	56b	194	1.0	-2	3/8	1/4	0					end					28, -1
