mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
6	4	22	4b	54	12	1.5	0	3/8	6/8	1	1	I{	F	I		I	I						{	M	0	0	0, 4, 1		0	0
7	5	23	5b	111/2	27/2	1.5	0	0	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
7	5	23	5b	57	15	1.5	3/8	3/8	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
8	6	24	6b	117/2	33/2	1.5	0	0	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
8	6	24	6b	60	18	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
9	7	25	7b	123/2	39/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
9	7	25	7b	63	21	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
10	8	26	8b	129/2	45/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
10	8	26	8b	66	24	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	9	27	9b	135/2	51/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
11	9	27	9b	69	27	0.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
11	9	27	9b	139/2	55/2	0.5	1/2	1/2	6/8	1	1	ii65	F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
11	9	27	9b	70	28	0.5	5/8	5/8	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
12	10	28	10b	141/2	57/2	1.5	0	0	6/8	1	1	I|PAC}	F	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
12	10	28	10b	72	30	1.5	3/8	3/8	6/8	1	1	I6{	F	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
13	11	29	11b	147/2	63/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
13	11	29	11b	75	33	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	12	30	12b	153/2	69/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
14	12	30	12b	78	36	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
15	13	31	13b	159/2	75/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
15	13	31	13b	81	39	0.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
15	13	31	13b	163/2	79/2	0.5	1/2	1/2	6/8	1	1	ii65	F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
15	13	31	13b	82	40	0.5	5/8	5/8	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
16	14	32	14b	165/2	81/2	1.5	0	0	6/8	1	1	I|PAC}	F	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
17	14	33	14b	84	42	7.5	0	3/8	6/8	1	1	I6{	F	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
20	17	36	17a	183/2	99/2	1.5	0	0	6/8	1	1	V.I	F	V		I	I							M	0	0	0, 4, 1		0	0
20	17	36	17a	93	51	1.5	3/8	3/8	6/8	1	1	ii6	F	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
21	18	37	18a	189/2	105/2	1.5	0	0	6/8	1	1	I6	F	V		I6	I		6					M	0	0	4, 1, 0		0	4
21	18	37	18a	96	54	1.5	3/8	3/8	6/8	1	1	V43	F	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
22	19	38	19a	195/2	111/2	1.0	0	0	6/8	1	1	I	F	V		I	I							M	0	0	0, 4, 1		0	0
22	19	38	19a	197/2	113/2	0.5	1/4	1/4	6/8	1	1	IVM7	F	V		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
22	19	38	19a	99	57	1.0	3/8	3/8	6/8	1	1	V(4)	F	V		V(4)	V			4				M	0	0	1, 0, 2		1	1
22	19	38	19a	100	58	0.5	5/8	5/8	6/8	1	1	V	F	V		V	V							M	0	0	1, 5, 2		1	1
23	20	39	20a	201/2	117/2	1.5	0	0	6/8	1	1	I|PAC}	F	V		I	I					PAC	}	M	0	0	0, 4, 1		0	0
23	20	39	20a	102	60	1.5	3/8	3/8	6/8	1	1	I.I6{	F	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
24	21	40	21a	207/2	123/2	1.5	0	0	6/8	1	1	V65	F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
24	21	40	21a	105	63	1.5	3/8	3/8	6/8	1	1	I64	F	I		I64	I		64					M	0	0	1, 0, 4		0	1
25	22	41	22a	213/2	129/2	1.5	0	0	6/8	1	1	V2	F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
25	22	41	22a	108	66	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
26	23	42	23a	219/2	135/2	1.5	0	0	6/8	1	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
26	23	42	23a	111	69	1.5	3/8	3/8	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
27	24	43	24a	225/2	141/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
27	24	43	24a	114	72	1.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
28	25	44	25a	231/2	147/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
28	25	44	25a	117	75	1.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
29	26	45	26a	237/2	153/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
29	26	45	26a	120	78	1.5	3/8	3/8	6/8	1	1	IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
30	27	46	27a	243/2	159/2	1.5	0	0	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
30	27	46	27a	123	81	0.5	3/8	3/8	6/8	1	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
30	27	46	27a	247/2	163/2	0.5	1/2	1/2	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
30	27	46	27a	124	82	0.5	5/8	5/8	6/8	1	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
31	28	47	28a	249/2	165/2	1.5	0	0	6/8	1	1	I|PAC}	F	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
17	14	48	28a	126	42	7.5	0	3/8	6/8	1	1	I6{	F	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
20	17	51	17b	267/2	99/2	1.5	0	0	6/8	1	1	V.I	F	V		I	I							M	0	0	0, 4, 1		0	0
20	17	51	17b	135	51	1.5	3/8	3/8	6/8	1	1	ii6	F	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
21	18	52	18b	273/2	105/2	1.5	0	0	6/8	1	1	I6	F	V		I6	I		6					M	0	0	4, 1, 0		0	4
21	18	52	18b	138	54	1.5	3/8	3/8	6/8	1	1	V43	F	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
22	19	53	19b	279/2	111/2	1.0	0	0	6/8	1	1	I	F	V		I	I							M	0	0	0, 4, 1		0	0
22	19	53	19b	281/2	113/2	0.5	1/4	1/4	6/8	1	1	IVM7	F	V		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
22	19	53	19b	141	57	1.0	3/8	3/8	6/8	1	1	V(4)	F	V		V(4)	V			4				M	0	0	1, 0, 2		1	1
22	19	53	19b	142	58	0.5	5/8	5/8	6/8	1	1	V	F	V		V	V							M	0	0	1, 5, 2		1	1
23	20	54	20b	285/2	117/2	1.5	0	0	6/8	1	1	I|PAC}	F	V		I	I					PAC	}	M	0	0	0, 4, 1		0	0
23	20	54	20b	144	60	1.5	3/8	3/8	6/8	1	1	I.I6{	F	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
24	21	55	21b	291/2	123/2	1.5	0	0	6/8	1	1	V65	F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
24	21	55	21b	147	63	1.5	3/8	3/8	6/8	1	1	I64	F	I		I64	I		64					M	0	0	1, 0, 4		0	1
25	22	56	22b	297/2	129/2	1.5	0	0	6/8	1	1	V2	F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
25	22	56	22b	150	66	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
26	23	57	23b	303/2	135/2	1.5	0	0	6/8	1	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
26	23	57	23b	153	69	1.5	3/8	3/8	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
27	24	58	24b	309/2	141/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
27	24	58	24b	156	72	1.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
28	25	59	25b	315/2	147/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
28	25	59	25b	159	75	1.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
29	26	60	26b	321/2	153/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
29	26	60	26b	162	78	1.5	3/8	3/8	6/8	1	1	IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
30	27	61	27b	327/2	159/2	1.5	0	0	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
30	27	61	27b	165	81	0.5	3/8	3/8	6/8	1	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
30	27	61	27b	331/2	163/2	0.5	1/2	1/2	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
30	27	61	27b	166	82	0.5	5/8	5/8	6/8	1	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
31	28	62	28b	333/2	165/2	1.5	0	0	6/8	1	1	I|PAC}	F	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
6	4	63	28b	168	12	1.5	0	3/8	6/8	1	1	I{	F	I		I	I						{	M	0	0	0, 4, 1		0	0
7	5	64	5c	339/2	27/2	1.5	0	0	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
7	5	64	5c	171	15	1.5	3/8	3/8	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
8	6	65	6c	345/2	33/2	1.5	0	0	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
8	6	65	6c	174	18	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
9	7	66	7c	351/2	39/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
9	7	66	7c	177	21	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
10	8	67	8c	357/2	45/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
10	8	67	8c	180	24	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
11	9	68	9c	363/2	51/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
11	9	68	9c	183	27	0.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
11	9	68	9c	367/2	55/2	0.5	1/2	1/2	6/8	1	1	ii65	F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
11	9	68	9c	184	28	0.5	5/8	5/8	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
12	10	69	10c	369/2	57/2	1.5	0	0	6/8	1	1	I|PAC}	F	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
12	10	69	10c	186	30	1.5	3/8	3/8	6/8	1	1	I6{	F	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
13	11	70	11c	375/2	63/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
13	11	70	11c	189	33	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	12	71	12c	381/2	69/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
14	12	71	12c	192	36	1.5	3/8	3/8	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
15	13	72	13c	387/2	75/2	1.5	0	0	6/8	1	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
15	13	72	13c	195	39	0.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
15	13	72	13c	391/2	79/2	0.5	1/2	1/2	6/8	1	1	ii65	F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
15	13	72	13c	196	40	0.5	5/8	5/8	6/8	1	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
16	14	73	14d	393/2	81/2	1.5	0	0	6/8	1	1	I|PAC}	F	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
32	28	74	28c	198	84	1.5	0	3/8	6/8	1	1	vi.i6{	F	vi		i6	i		6				{	m	0	1	-3, 1, 0		0	-3
33	29	75	29a	399/2	171/2	1.5	0	0	6/8	1	1	V65	F	vi		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
33	29	75	29a	201	87	1.5	3/8	3/8	6/8	1	1	i6	F	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
34	30	76	30a	405/2	177/2	1.5	0	0	6/8	1	1	V65	F	vi		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
34	30	76	30a	204	90	1.5	3/8	3/8	6/8	1	1	i6	F	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
35	31	77	31a	411/2	183/2	1.5	0	0	6/8	1	1	V65	F	vi		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
35	31	77	31a	207	93	1.5	3/8	3/8	6/8	1	1	i6	F	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
36	32	78	32a	417/2	189/2	1.5	0	0	6/8	1	1	V65	F	vi		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
36	32	78	32a	210	96	1.5	3/8	3/8	6/8	1	1	i6	F	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
37	33	79	33a	423/2	195/2	1.5	0	0	6/8	1	1	V65	F	vi		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
37	33	79	33a	213	99	1.0	3/8	3/8	6/8	1	1	i(4)	F	vi		i(4)	i			4				m	0	1	0, -1, 1		0	0
37	33	79	33a	214	100	0.5	5/8	5/8	6/8	1	1	i	F	vi		i	i							m	0	1	0, -3, 1		0	0
38	34	80	34a	429/2	201/2	1.5	0	0	6/8	1	1	V|HC.SIM}	F	vi		V	V					HC.SIM	}	M	0	1	1, 5, 2		1	1
38	34	80	34a	216	102	1.5	3/8	3/8	6/8	1	1	i6{	F	vi		i6	i		6				{	m	0	1	-3, 1, 0		0	-3
39	35	81	35a	435/2	207/2	1.5	0	0	6/8	1	1	IV7(9)	F	vi		IV7(9)	IV		7	9				Mm7	0	1	-1, 3, 0, -3	1	-1	-1
39	35	81	35a	219	105	1.5	3/8	3/8	6/8	1	1	V7	F	vi		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
40	36	82	36a	441/2	213/2	1.5	0	0	6/8	1	1	VI	F	vi		VI	VI							M	0	1	-4, 0, -3		-4	-4
40	36	82	36a	222	108	1.5	3/8	3/8	6/8	1	1	i6	F	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
41	37	83	37a	447/2	219/2	1.5	0	0	6/8	1	1	IV7(9)	F	vi		IV7(9)	IV		7	9				Mm7	0	1	-1, 3, 0, -3	1	-1	-1
41	37	83	37a	225	111	1.5	3/8	3/8	6/8	1	1	V7	F	vi		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
42	38	84	38a	453/2	225/2	1.5	0	0	6/8	1	1	VI	F	vi		VI	VI							M	0	1	-4, 0, -3		-4	-4
42	38	84	38a	228	114	1.5	3/8	3/8	6/8	1	1	#viio43	F	vi		#viio43	#vii	o	43					o7	0	1	-1, -4, 5, 2		5	-1
43	39	85	39a	459/2	231/2	1.0	0	0	6/8	1	1	i6	F	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
43	39	85	39a	461/2	233/2	0.5	1/4	1/4	6/8	1	1	ii%65	F	vi		ii%65	ii	%	65					%7	0	1	-1, -4, 0, 2		2	-1
43	39	85	39a	231	117	1.0	3/8	3/8	6/8	1	1	V(64)	F	vi		V(64)	V			64				M	0	1	1, 0, -3		1	1
43	39	85	39a	232	118	0.5	5/8	5/8	6/8	1	1	V	F	vi		V	V							M	0	1	1, 5, 2		1	1
44	40	86	40a	465/2	237/2	1.5	0	0	6/8	1	1	i|PAC}	F	vi		i	i					PAC	}	m	0	1	0, -3, 1		0	0
44	40	86	40a	234	120	1.5	3/8	3/8	6/8	1	1	I.IV{	F	I		IV	IV						{	M	0	0	-1, 3, 0		-1	-1
45	41	87	41a	471/2	243/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
45	41	87	41a	237	123	1.5	3/8	3/8	6/8	1	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
46	42	88	42a	477/2	249/2	1.5	0	0	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
46	42	88	42a	240	126	1.5	3/8	3/8	6/8	1	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
47	43	89	43a	483/2	255/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
47	43	89	43a	243	129	1.5	3/8	3/8	6/8	1	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
48	44	90	44a	489/2	261/2	1.5	0	0	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
48	44	90	44a	246	132	1.5	3/8	3/8	6/8	1	1	V.IV	F	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
49	45	91	45a	495/2	267/2	1.5	0	0	6/8	1	1	I6	F	V		I6	I		6					M	0	0	4, 1, 0		0	4
49	45	91	45a	249	135	1.5	3/8	3/8	6/8	1	1	V43	F	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
50	46	92	46a	501/2	273/2	1.5	0	0	6/8	1	1	I	F	V		I	I							M	0	0	0, 4, 1		0	0
50	46	92	46a	252	138	1.5	3/8	3/8	6/8	1	1	IV	F	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
51	47	93	47a	507/2	279/2	1.5	0	0	6/8	1	1	I6	F	V		I6	I		6					M	0	0	4, 1, 0		0	4
51	47	93	47a	255	141	1.5	3/8	3/8	6/8	1	1	V43	F	V		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
52	48	94	48a	513/2	285/2	1.5	0	0	6/8	1	1	I|IAC}	F	V		I	I					IAC	}	M	0	0	0, 4, 1		0	0
52	48	94	48a	258	144	1.5	3/8	3/8	6/8	1	1	I.vi{	F	I		vi	vi						{	m	0	0	3, 0, 4		3	3
53	49	95	49a	519/2	291/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
53	49	95	49a	261	147	1.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
54	50	96	50a	525/2	297/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
54	50	96	50a	264	150	1.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
55	51	97	51a	531/2	303/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
55	51	97	51a	267	153	1.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
56	52	98	52a	537/2	309/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
56	52	98	52a	270	156	0.5	3/8	3/8	6/8	1	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
56	52	98	52a	541/2	313/2	0.5	1/2	1/2	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
56	52	98	52a	271	157	0.5	5/8	5/8	6/8	1	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
57	53	99	53a	543/2	315/2	0.5	0	0	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
57	53	99	53a	272	158	0.5	1/8	1/8	6/8	1	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
57	53	99	53a	545/2	317/2	0.5	1/4	1/4	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
57	53	99	53a	273	159	0.5	3/8	3/8	6/8	1	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
57	53	99	53a	547/2	319/2	0.5	1/2	1/2	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
57	53	99	53a	274	160	0.5	5/8	5/8	6/8	1	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
58	54	100	54a	549/2	321/2	1.5	0	0	6/8	1	1	I|PAC}	F	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
32	28	101	54a	276	84	1.5	0	3/8	6/8	1	1	vi.i6{	F	vi		i6	i		6				{	m	0	1	-3, 1, 0		0	-3
33	29	102	29b	555/2	171/2	1.5	0	0	6/8	1	1	V65	F	vi		V65	V		65					Mm7	0	1	5, 2, -1, 1		1	5
33	29	102	29b	279	87	1.5	3/8	3/8	6/8	1	1	i6	F	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
