mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
6	5	15	5b	39/2	15/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		2	50	D3	3	41
6	5	15	5b	39/2	15/2	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		-1	77	F5	5	37
6	5	15	5b	79/4	31/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		3	69	A4	4	38
7	6	16	6b	20	8	0.25	0	0	3/8	2	1	1/16		1/16	1		-3	51	Eb3	3	46
7	6	16	6b	20	8	0.5	0	0	3/8	1	1	1/8		1/8	1		5	71	B4	4	42
7	6	16	6b	81/4	33/4	0.25	1/16	1/16	3/8	2	1	1/16		1/16	1		-1	53	F3	3	47
7	6	16	6b	41/2	17/2	0.0	1/8	1/8	3/8	1	1	0	appoggiatura	1/8	1		3	69	A4	4	43
7	6	16	6b	41/2	17/2	0.25	1/8	1/8	3/8	2	1	1/16		1/16	1		-3	51	Eb3	3	48
7	6	16	6b	41/2	17/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		1	67	G4	4	44
7	6	16	6b	83/4	35/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		2	50	D3	3	49
7	6	16	6b	21	9	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		0	48	C3	3	50
7	6	16	6b	21	9	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1	1	0	72	C5	5	45
8	7	17	7b	43/2	19/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-1	53	F3	3	56
8	7	17	7b	43/2	19/2	0.25	0	0	3/8	1	1	1/16		1/16	1	-1	0	72	C5	5	51
8	7	17	7b	87/4	39/4	0.25	1/16	1/16	3/8	1	1	1/16		1/16	1		2	74	D5	5	52
8	7	17	7b	22	10	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		1	55	G3	3	57
8	7	17	7b	22	10	0.75	1/8	1/8	3/8	1	1	3/16		1/8	3/2		5	71	B4	4	53
8	7	17	7b	45/2	21/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		1	43	G2	2	58
8	7	17	7b	91/4	43/4	0.125	5/16	5/16	3/8	1	1	1/32		1/32	1		3	69	A4	4	54
8	7	17	7b	183/8	87/8	0.125	11/32	11/32	3/8	1	1	1/32		1/32	1		5	71	B4	4	55
9	8	18	8b	23	11	0.5	0	0	3/8	2	1	1/8		1/8	1		0	48	C3	3	60
9	8	18	8b	23	11	1.0	0	0	3/8	1	1	1/4		1/4	1		0	72	C5	5	59
9	8	18	8b	47/2	23/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		0	36	C2	2	61
10	8	19	8b	24	12	0.5	0	1/4	3/8	2	1	1/8		1/8	1		0	60	C4	4	63
10	8	19	8b	24	12	0.5	0	1/4	3/8	1	1	1/8		1/8	1		1	67	G4	4	62
11	9	20	9a	49/2	25/2	0.0	0	0	3/8	1	1	0	grace4	1/8	1		1	67	G4	4	64
11	9	20	9a	49/2	25/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-1	53	F3	3	69
11	9	20	9a	49/2	25/2	0.5	0	0	3/8	1	1	1/8		1/8	1		-4	68	Ab4	4	65
11	9	20	9a	25	13	0.0	1/8	1/8	3/8	1	1	0	appoggiatura	1/8	1		1	67	G4	4	66
11	9	20	9a	25	13	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-2	58	Bb3	3	70
11	9	20	9a	25	13	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		-1	65	F4	4	67
11	9	20	9a	51/2	27/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-2	46	Bb2	2	71
11	9	20	9a	51/2	27/2	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		-2	70	Bb4	4	68
12	10	21	10a	26	14	0.75	0	0	3/8	2	1	3/16		1/8	3/2		-3	51	Eb3	3	75
12	10	21	10a	26	14	0.5	0	0	3/8	1	1	1/8		1/8	1		1	67	G4	4	72
12	10	21	10a	53/2	29/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		-3	63	Eb4	4	73
12	10	21	10a	107/4	59/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		-1	53	F3	3	76
12	10	21	10a	27	15	0.25	1/4	1/4	3/8	2	1	1/16		1/16	1		-3	51	Eb3	3	77
12	10	21	10a	27	15	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		-2	70	Bb4	4	74
12	10	21	10a	109/4	61/4	0.25	5/16	5/16	3/8	2	1	1/16		1/16	1		2	50	D3	3	78
13	11	22	11a	55/2	31/2	0.5	0	0	3/8	2	1	1/8		1/8	1		0	48	C3	3	83
13	11	22	11a	55/2	31/2	0.5	0	0	3/8	1	1	1/8		1/8	1		-3	75	Eb5	5	79
13	11	22	11a	28	16	0.0	1/8	1/8	3/8	1	1	0	appoggiatura	1/8	1		2	74	D5	5	80
13	11	22	11a	28	16	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	53	F3	3	84
13	11	22	11a	28	16	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		0	72	C5	5	81
13	11	22	11a	57/2	33/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-1	41	F2	2	85
13	11	22	11a	57/2	33/2	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		-1	77	F5	5	82
14	12	23	12a	29	17	0.75	0	0	3/8	2	1	3/16		1/8	3/2		-2	46	Bb2	2	89
14	12	23	12a	29	17	0.5	0	0	3/8	1	1	1/8		1/8	1		2	74	D5	5	86
14	12	23	12a	59/2	35/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		-2	70	Bb4	4	87
14	12	23	12a	119/4	71/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		3	45	A2	2	90
14	12	23	12a	30	18	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		1	43	G2	2	91
14	12	23	12a	30	18	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		2	74	D5	5	88
15	13	24	13a	61/2	37/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	95
15	13	24	13a	61/2	37/2	0.5	0	0	3/8	1	1	1/8		1/8	1		0	72	C5	5	92
15	13	24	13a	31	19	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		2	50	D3	3	96
15	13	24	13a	31	19	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		-2	70	Bb4	4	93
15	13	24	13a	63/2	39/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		0	48	C3	3	97
15	13	24	13a	63/2	39/2	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		3	69	A4	4	94
16	14	25	14a	32	20	0.5	0	0	3/8	2	1	1/8		1/8	1		-2	46	Bb2	2	101
16	14	25	14a	32	20	0.75	0	0	3/8	1	1	3/16		1/8	3/2		2	74	D5	5	98
16	14	25	14a	65/2	41/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		3	45	A2	2	102
16	14	25	14a	131/4	83/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		6	66	F#4	4	99
16	14	25	14a	33	21	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-2	46	Bb2	2	103
16	14	25	14a	33	21	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		1	67	G4	4	100
17	15	26	15a	67/2	43/2	0.5	0	0	3/8	2	1	1/8		1/8	1		0	48	C3	3	109
17	15	26	15a	67/2	43/2	0.5	0	0	3/8	1	1	1/8		1/8	1		3	69	A4	4	104
17	15	26	15a	34	22	0.0	1/8	1/8	3/8	1	1	0	grace4	1/8	1		3	69	A4	4	105
17	15	26	15a	34	22	0.0	1/8	1/8	3/8	1	1	0	grace4	1/8	1		-2	70	Bb4	4	106
17	15	26	15a	34	22	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		6	42	F#2	2	110
17	15	26	15a	34	22	0.75	1/8	1/8	3/8	1	1	3/16		1/8	3/2		0	72	C5	5	107
17	15	26	15a	69/2	45/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		1	43	G2	2	111
17	15	26	15a	139/4	91/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		-2	70	Bb4	4	108
