mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
16	14	20	20	0.5	0	0	3/8	1	1	i6	c	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
16	14	41/2	41/2	0.5	1/8	1/8	3/8	1	1	V43	c	v		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
16	14	21	21	0.5	1/4	1/4	3/8	1	1	i6	c	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
17	15	43/2	43/2	0.5	0	0	3/8	1	1	ii%65	c	v		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
17	15	22	22	0.5	1/8	1/8	3/8	1	1	V65	c	v		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
17	15	45/2	45/2	0.5	1/4	1/4	3/8	1	1	i	c	v		i	i							m	1	1	0, -3, 1		0	0
18	16	23	23	0.5	0	0	3/8	1	1	V	c	v		V	V							M	1	1	1, 5, 2		1	1
18	16	47/2	47/2	0.5	1/8	1/8	3/8	1	1	I|PAC}	c	v		I	I					PAC	}	M	1	1	0, 4, 1		0	0
19	16	24	24	0.5	0	1/4	3/8	1	1	i.V{	c	i		V	V						{	M	1	1	1, 5, 2		1	1
20	17	49/2	49/2	0.5	0	0	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
20	17	25	25	0.5	1/8	1/8	3/8	1	1	VII.V	c	VII		V	V							M	1	0	1, 5, 2		1	1
20	17	51/2	51/2	0.5	1/4	1/4	3/8	1	1	V2	c	VII		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
21	18	26	26	1.0	0	0	3/8	1	1	I6	c	VII		I6	I		6					M	1	0	4, 1, 0		0	4
21	18	27	27	0.5	1/4	1/4	3/8	1	1	I	c	VII		I	I							M	1	0	0, 4, 1		0	0
22	19	55/2	55/2	0.5	0	0	3/8	1	1	IV	c	VII		IV	IV							M	1	0	-1, 3, 0		-1	-1
22	19	28	28	0.5	1/8	1/8	3/8	1	1	V43	c	VII		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
22	19	57/2	57/2	0.5	1/4	1/4	3/8	1	1	I	c	VII		I	I							M	1	0	0, 4, 1		0	0
23	20	29	29	0.5	0	0	3/8	1	1	V	c	VII		V	V							M	1	0	1, 5, 2		1	1
23	20	59/2	59/2	0.5	1/8	1/8	3/8	1	1	I	c	VII		I	I							M	1	0	0, 4, 1		0	0
23	20	30	30	0.5	1/4	1/4	3/8	1	1	III.I6	c	III		I6	I		6					M	1	0	4, 1, 0		0	4
24	21	61/2	61/2	0.5	0	0	3/8	1	1	IV	c	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
24	21	31	31	0.5	1/8	1/8	3/8	1	1	I6	c	III		I6	I		6					M	1	0	4, 1, 0		0	4
24	21	63/2	63/2	0.5	1/4	1/4	3/8	1	1	V43	c	III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
25	22	32	32	1.0	0	0	3/8	1	1	I	c	III		I	I							M	1	0	0, 4, 1		0	0
25	22	33	33	0.5	1/4	1/4	3/8	1	1	I6	c	III		I6	I		6					M	1	0	4, 1, 0		0	4
26	23	67/2	67/2	0.5	0	0	3/8	1	1	IV	c	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
26	23	34	34	0.5	1/8	1/8	3/8	1	1	V43	c	III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
26	23	69/2	69/2	0.5	1/4	1/4	3/8	1	1	I	c	III		I	I							M	1	0	0, 4, 1		0	0
27	24	35	35	0.5	0	0	3/8	1	1	V	c	III		V	V							M	1	0	1, 5, 2		1	1
27	24	71/2	71/2	0.5	1/8	1/8	3/8	1	1	I|PAC}	c	III		I	I					PAC	}	M	1	0	0, 4, 1		0	0
28	24	36	36	1.25	0	0	3/8	1	1	i.i{	c	i		i	i						{	m	1	1	0, -3, 1		0	0
28	24	149/4	149/4	0.75	5/16	5/16	3/8	1	1	iv	c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
29	25	38	38	1.5	0	0	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
30	26	79/2	79/2	1.5	0	0	3/8	1	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
31	27	41	41	0.5	0	0	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
31	27	83/2	83/2	0.5	1/8	1/8	3/8	1	1	IV6	c	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
31	27	42	42	0.5	1/4	1/4	3/8	1	1	V65	c	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
32	28	85/2	85/2	1.0	0	0	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
32	28	87/2	87/2	0.5	1/4	1/4	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
33	29	44	44	1.0	0	0	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
33	29	45	45	0.5	1/4	1/4	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
34	30	91/2	91/2	1.5	0	0	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
35	31	47	47	0.5	0	0	3/8	1	1	v6	c	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
35	31	95/2	95/2	0.5	1/8	1/8	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
