mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
4	3	67	3d	175/2	7/2	0.5	0	0	3/8	1	1	ii%65	c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
4	3	67	3d	88	4	0.5	1/8	1/8	3/8	1	1	i64	c	i		i64	i		64					m	1	1	1, 0, -3		0	1
4	3	67	3d	177/2	9/2	0.5	1/4	1/4	3/8	1	1	ii%43	c	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
5	4	68	4d	89	5	0.5	0	0	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
5	4	68	4d	179/2	11/2	0.5	1/8	1/8	3/8	1	1	V2	c	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
5	4	68	4d	90	6	0.5	1/4	1/4	3/8	1	1	i6	c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	5	69	5d	181/2	13/2	1.0	0	0	3/8	1	1	ii%65	c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
6	5	69	5d	183/2	15/2	0.5	1/4	1/4	3/8	1	1	ii7	c	i		ii7	ii		7					mm7	1	1	2, -1, 3, 0		2	2
7	6	70	6d	92	8	1.0	0	0	3/8	1	1	III+M7(9)	c	i		III+M7(9)	III	+M	7	9				+M7	1	1	-3, 1, 5, 2	-1	-3	-3
7	6	70	6d	93	9	0.5	1/4	1/4	3/8	1	1	i	c	i		i	i							m	1	1	0, -3, 1		0	0
8	7	71	7d	187/2	19/2	0.5	0	0	3/8	1	1	ii65	c	i		ii65	ii		65					mm7	1	1	-1, 3, 0, 2		2	-1
8	7	71	7d	94	10	0.5	1/8	1/8	3/8	1	1	V	c	i		V	V							M	1	1	1, 5, 2		1	1
8	7	71	7d	189/2	21/2	0.5	1/4	1/4	3/8	1	1	V7	c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
