mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
25	22	65/2	65/2	0.25	1/8	1/8	3/8	2	1	1/16		1/16	1		-3	51	Eb3	3	160
25	22	131/4	131/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		-1	53	F3	3	161
25	22	131/4	131/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		-4	68	Ab4	4	157
25	22	33	33	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		1	55	G3	3	162
25	22	33	33	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		-2	70	Bb4	4	158
26	23	67/2	67/2	0.25	0	0	3/8	2	1	1/16		1/16	1		-4	56	Ab3	3	167
26	23	67/2	67/2	0.5	0	0	3/8	1	1	1/8		1/8	1		0	72	C5	5	163
26	23	135/4	135/4	0.25	1/16	1/16	3/8	2	1	1/16		1/16	1		1	55	G3	3	168
26	23	34	34	0.0	1/8	1/8	3/8	1	1	0	appoggiatura	1/8	1		0	72	C5	5	164
26	23	34	34	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	53	F3	3	169
26	23	34	34	0.75	1/8	1/8	3/8	1	1	3/16		1/8	3/2		2	74	D5	5	165
26	23	69/2	69/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-3	51	Eb3	3	170
26	23	139/4	139/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	166
27	24	35	35	0.5	0	0	3/8	2	1	1/8		1/8	1		-2	46	Bb2	2	173
27	24	35	35	0.5	0	0	3/8	1	1	1/8		1/8	1		-1	65	F4	4	171
27	24	71/2	71/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-3	39	Eb2	2	174
27	24	71/2	71/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		-3	63	Eb4	4	172
28	24	36	36	0.5	0	0	3/8	2	1	1/8		1/8	1		0	48	C3	3	179
28	24	36	36	1.0	0	0	3/8	1	1	1/4		1/4	1		0	72	C5	5	175
28	24	73/2	73/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		0	36	C2	2	180
28	24	149/4	149/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		-4	68	Ab4	4	176
28	24	75/2	75/2	0.25	3/8	3/8	3/8	1	1	1/16		1/16	1		1	67	G4	4	177
28	24	151/4	151/4	0.25	7/16	7/16	3/8	1	1	1/16		1/16	1		-1	65	F4	4	178
29	25	38	38	0.25	0	0	3/8	1	1	1/16		1/16	1		-3	63	Eb4	4	181
29	25	153/4	153/4	0.25	1/16	1/16	3/8	1	1	1/16		1/16	1		2	62	D4	4	182
29	25	77/2	77/2	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		0	60	C4	4	183
29	25	155/4	155/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		-4	56	Ab3	3	187
29	25	155/4	155/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		2	62	D4	4	184
29	25	39	39	0.25	1/4	1/4	3/8	2	1	1/16		1/16	1		1	55	G3	3	188
29	25	39	39	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		-3	63	Eb4	4	185
29	25	157/4	157/4	0.25	5/16	5/16	3/8	2	1	1/16		1/16	1		-1	53	F3	3	189
29	25	157/4	157/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		-1	65	F4	4	186
30	26	79/2	79/2	0.0	0	0	3/8	1	1	0	appoggiatura	1/8	1		-1	65	F4	4	190
30	26	79/2	79/2	0.25	0	0	3/8	2	1	1/16		1/16	1		-3	51	Eb3	3	194
30	26	79/2	79/2	0.75	0	0	3/8	1	1	3/16		1/8	3/2		1	67	G4	4	191
30	26	159/4	159/4	0.25	1/16	1/16	3/8	2	1	1/16		1/16	1		2	50	D3	3	195
30	26	40	40	0.25	1/8	1/8	3/8	2	1	1/16		1/16	1		0	48	C3	3	196
30	26	161/4	161/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		2	50	D3	3	197
30	26	161/4	161/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		1	67	G4	4	192
30	26	81/2	81/2	0.25	1/4	1/4	3/8	2	1	1/16		1/16	1		-3	51	Eb3	3	198
30	26	81/2	81/2	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		0	72	C5	5	193
30	26	163/4	163/4	0.25	5/16	5/16	3/8	2	1	1/16		1/16	1		-1	53	F3	3	199
31	27	41	41	0.25	0	0	3/8	2	1	1/16		1/16	1		1	55	G3	3	203
31	27	41	41	0.5	0	0	3/8	1	1	1/8		1/8	1		5	71	B4	4	200
31	27	165/4	165/4	0.25	1/16	1/16	3/8	2	1	1/16		1/16	1		5	59	B3	3	204
31	27	83/2	83/2	0.25	1/8	1/8	3/8	2	1	1/16		1/16	1		3	57	A3	3	205
31	27	83/2	83/2	0.5	1/8	1/8	3/8	1	1	1/8		1/8	1		0	72	C5	5	201
31	27	167/4	167/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		0	60	C4	4	206
31	27	42	42	0.25	1/4	1/4	3/8	2	1	1/16		1/16	1		5	59	B3	3	207
31	27	42	42	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		2	74	D5	5	202
31	27	169/4	169/4	0.25	5/16	5/16	3/8	2	1	1/16		1/16	1		2	62	D4	4	208
32	28	85/2	85/2	1.0	0	0	3/8	2	1	1/4		1/4	1		0	60	C4	4	216
32	28	85/2	85/2	0.25	0	0	3/8	1	1	1/16		1/16	1		-3	75	Eb5	5	209
32	28	171/4	171/4	0.25	1/16	1/16	3/8	1	1	1/16		1/16	1		2	74	D5	5	210
