mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	thoroughbass_level_4	slur
14	12	71/4	71/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	90													
14	12	18	18	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	91													
15	13	37/2	37/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	92													5
15	13	19	19	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	93	ornamentShortTrill												
15	13	39/2	39/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	94													
15	13	37/2	37/2	0.0	0	0	FiguredBass	3/8	2	1	0												1/8	6	4+	3		
15	13	37/2	37/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	95													
15	13	19	19	0.0	1/8	1/8	FiguredBass	3/8	2	1	0												1/8	6	4			
15	13	19	19	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	96													
15	13	39/2	39/2	0.0	1/4	1/4	FiguredBass	3/8	2	1	0												1/8	4+				
15	13	39/2	39/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	97													
16	14	20	20	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	98													
16	14	83/4	83/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	99													
16	14	21	21	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	100													
16	14	20	20	0.0	0	0	FiguredBass	3/8	2	1	0												1/8	6				
16	14	20	20	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	101													
16	14	41/2	41/2	0.0	1/8	1/8	FiguredBass	3/8	2	1	0												1/8	#6				
16	14	41/2	41/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	102													
16	14	21	21	0.0	1/4	1/4	FiguredBass	3/8	2	1	0												1/8	6				
16	14	21	21	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	103													
17	15	43/2	43/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	104													
17	15	22	22	0.0	1/8	1/8	Chord	3/8	1	1	0	grace4	1/8	1	105													
17	15	22	22	0.0	1/8	1/8	Chord	3/8	1	1	0	grace4	1/8	1	106													
17	15	22	22	0.75	1/8	1/8	Chord	3/8	1	1	3/16		1/8	3/2	107													
17	15	91/4	91/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	108													
17	15	43/2	43/2	0.0	0	0	FiguredBass	3/8	2	1	0												1/8	6	5			
17	15	43/2	43/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	109													
17	15	22	22	0.0	1/8	1/8	FiguredBass	3/8	2	1	0												1/8	5/				
17	15	22	22	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	110													
17	15	45/2	45/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	111													
18	16	23	23	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	112	ornamentShortTrill												
18	16	47/2	47/2	0.0	1/8	1/8	StaffText	3/8	1	1	0						)											
18	16	47/2	47/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	113													
18	16	23	23	0.0	0	0	FiguredBass	3/8	2	1	0												1/8	#3				
18	16	23	23	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	114													
18	16	47/2	47/2	0.0	1/8	1/8	FiguredBass	3/8	2	1	0												1/8	h3				
18	16	47/2	47/2	0.0	1/8	1/8	StaffText	3/8	2	1	0						)											
18	16	47/2	47/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	115													
19	16	24	24	0.5	0	1/4	Chord	3/8	1	1	1/8		1/8	1	116													
19	16	24	24	0.0	0	1/4	FiguredBass	3/8	2	1	0												1/8	h3				
19	16	24	24	0.5	0	1/4	Chord	3/8	2	1	1/8		1/8	1	117													
20	17	49/2	49/2	0.0	0	0	Chord	3/8	1	1	0	appoggiatura	1/8	1	118													
20	17	49/2	49/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	119													
20	17	25	25	0.0	1/8	1/8	Chord	3/8	1	1	0	appoggiatura	1/8	1	120													
20	17	25	25	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	121													
20	17	51/2	51/2	0.0	1/4	1/4	Chord	3/8	1	1	0	appoggiatura	1/8	1	122													
20	17	51/2	51/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	123													
20	17	49/2	49/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	124													
20	17	25	25	0.0	1/8	1/8	FiguredBass	3/8	2	1	0												1/4	_				
20	17	25	25	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	125													
20	17	51/2	51/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	126													
21	18	26	26	0.0	0	0	Chord	3/8	1	1	0	grace4	1/8	1	127													
21	18	26	26	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	128	ornamentMordent												
21	18	107/4	107/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	129													
21	18	27	27	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	130													
21	18	26	26	0.0	0	0	FiguredBass	3/8	2	1	0												3/8	6_				
21	18	26	26	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	131													
21	18	53/2	53/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	132													
21	18	27	27	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	133													
22	19	55/2	55/2	0.0	0	0	Chord	3/8	1	1	0	appoggiatura	1/8	1	134													
22	19	55/2	55/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	135													
22	19	28	28	0.75	1/8	1/8	Chord	3/8	1	1	3/16		1/8	3/2	136	ornamentMordent												
22	19	115/4	115/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	137													
22	19	55/2	55/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	138													
22	19	111/4	111/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	139													
22	19	28	28	0.0	1/8	1/8	FiguredBass	3/8	2	1	0												1/8	6	4	3		
22	19	28	28	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	140	ornamentShortTrill												
22	19	57/2	57/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	141													
23	20	29	29	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	142	ornamentShortTrill												
23	20	59/2	59/2	0.0	1/8	1/8	StaffText	3/8	1	1	0						)											
23	20	59/2	59/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	143													
23	20	30	30	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	144													
23	20	121/4	121/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	145													
23	20	29	29	0.0	0	0	FiguredBass	3/8	2	1	0												1/4	_				
23	20	29	29	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	146													
23	20	59/2	59/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	147													
23	20	119/4	119/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	148													
23	20	30	30	0.0	1/4	1/4	FiguredBass	3/8	2	1	0												1/8	6				
23	20	30	30	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	149													
24	21	61/2	61/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	150													
24	21	31	31	0.75	1/8	1/8	Chord	3/8	1	1	3/16		1/8	3/2	151	ornamentShortTrill												
24	21	127/4	127/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	152													
24	21	61/2	61/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	153													
24	21	31	31	0.0	1/8	1/8	FiguredBass	3/8	2	1	0												1/8	6				
24	21	31	31	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	154													
24	21	63/2	63/2	0.0	1/4	1/4	FiguredBass	3/8	2	1	0												1/8	6	4	b3		
24	21	63/2	63/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	155													
25	22	32	32	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	156	ornamentShortTrill												
25	22	131/4	131/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	157													
25	22	33	33	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	158													
25	22	32	32	0.0	0	0	FiguredBass	3/8	2	1	0												1/4	_				
25	22	32	32	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	159													
25	22	65/2	65/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	160													
25	22	131/4	131/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	161													
25	22	33	33	0.0	1/4	1/4	FiguredBass	3/8	2	1	0												1/8	6				
25	22	33	33	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	162													
26	23	67/2	67/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	163													
26	23	34	34	0.0	1/8	1/8	Chord	3/8	1	1	0	appoggiatura	1/8	1	164													
26	23	34	34	0.75	1/8	1/8	Chord	3/8	1	1	3/16		1/8	3/2	165	ornamentMordent												
26	23	139/4	139/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	166													
26	23	67/2	67/2	0.0	0	0	FiguredBass	3/8	2	1	0												1/8	_				
26	23	67/2	67/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	167													
26	23	135/4	135/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	168													
26	23	34	34	0.0	1/8	1/8	FiguredBass	3/8	2	1	0												1/8	6	4+	3		
26	23	34	34	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	169	ornamentShortTrill												
26	23	69/2	69/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	170													
27	24	35	35	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	171	ornamentShortTrill												
27	24	71/2	71/2	0.0	1/8	1/8	StaffText	3/8	1	1	0						)											
27	24	71/2	71/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	172													
27	24	35	35	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	173													
27	24	71/2	71/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	174													
28	24	36	36	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	175													
28	24	149/4	149/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	176													
28	24	75/2	75/2	0.25	3/8	3/8	Chord	3/8	1	1	1/16		1/16	1	177													
28	24	151/4	151/4	0.25	7/16	7/16	Chord	3/8	1	1	1/16		1/16	1	178													
28	24	36	36	0.0	0	0	StaffText	3/8	2	1	0						Fin.											
28	24	36	36	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	179													
28	24	73/2	73/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	180													
29	25	38	38	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	181	ornamentShortTrill												
29	25	153/4	153/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	182													
29	25	77/2	77/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	183													
29	25	155/4	155/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	184													
29	25	39	39	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	185													
29	25	157/4	157/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	186													
29	25	155/4	155/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	187													
29	25	39	39	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	188													
29	25	157/4	157/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	189													
30	26	79/2	79/2	0.0	0	0	Chord	3/8	1	1	0	appoggiatura	1/8	1	190													
30	26	79/2	79/2	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	191	ornamentMordent												
30	26	161/4	161/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	192													
30	26	81/2	81/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	193													
30	26	79/2	79/2	0.0	0	0	FiguredBass	3/8	2	1	0												3/8	6_				
30	26	79/2	79/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	194													
30	26	159/4	159/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	195													
30	26	40	40	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	196													
30	26	161/4	161/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	197													
30	26	81/2	81/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	198													
30	26	163/4	163/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	199													
31	27	41	41	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	200	ornamentShortTrill												
31	27	83/2	83/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	201													
31	27	42	42	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	202													
31	27	41	41	0.0	0	0	FiguredBass	3/8	2	1	0												1/8	h3_				
31	27	41	41	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	203													
31	27	165/4	165/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	204													
31	27	83/2	83/2	0.0	1/8	1/8	FiguredBass	3/8	2	1	0												1/8	6_				
31	27	83/2	83/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	205													
31	27	167/4	167/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	206													
31	27	42	42	0.0	1/4	1/4	FiguredBass	3/8	2	1	0												1/8	5/_				
31	27	42	42	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	207													
31	27	169/4	169/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	208													
32	28	85/2	85/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	209													6
32	28	171/4	171/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	210													6
32	28	43	43	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	211													6
32	28	173/4	173/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	212													6
32	28	87/2	87/2	0.375	1/4	1/4	Chord	3/8	1	1	3/32		1/16	3/2	213	ornamentShortTrill												6
32	28	351/8	351/8	0.0625	11/32	11/32	Chord	3/8	1	1	1/64		1/64	1	214													6
32	28	703/16	703/16	0.0625	23/64	23/64	Chord	3/8	1	1	1/64		1/64	1	215													
32	28	85/2	85/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	216													
32	28	87/2	87/2	0.0	1/4	1/4	FiguredBass	3/8	2	1	0												1/8	h3				
32	28	87/2	87/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	217													
33	29	44	44	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	218													7
33	29	177/4	177/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	219													7
33	29	89/2	89/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	220													7
33	29	179/4	179/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	221													7
33	29	45	45	0.375	1/4	1/4	Chord	3/8	1	1	3/32		1/16	3/2	222	ornamentShortTrill												7
33	29	363/8	363/8	0.0625	11/32	11/32	Chord	3/8	1	1	1/64		1/64	1	223													7
33	29	727/16	727/16	0.0625	23/64	23/64	Chord	3/8	1	1	1/64		1/64	1	224													
33	29	44	44	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	225													
33	29	45	45	0.0	1/4	1/4	FiguredBass	3/8	2	1	0												1/8	h3				
33	29	45	45	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	226													
34	30	91/2	91/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	227													
34	30	183/4	183/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	228													
34	30	46	46	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	229													
34	30	185/4	185/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	230													
34	30	93/2	93/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	231													
