mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
6	4	25/2	25/2	0.5	1/8	1/2	Chord	6/8	2	1	1/8		1/8	1	52	ornamentShortTrill											
6	4	13	13	0.5	1/4	5/8	Chord	6/8	2	1	1/8		1/8	1	53												
7	5	27/2	27/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	54	ornamentShortTrill											
7	5	14	14	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	55												
7	5	29/2	29/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	56												
7	5	15	15	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	57												14
7	5	31/2	31/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	58	ornamentShortTrill											14
7	5	16	16	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	59												
7	5	27/2	27/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	60												
7	5	14	14	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	61												
7	5	29/2	29/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	62												
7	5	15	15	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	63												
7	5	31/2	31/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	64	ornamentShortTrill											
7	5	16	16	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	65												
8	6	33/2	33/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	66	ornamentShortTrill											
8	6	17	17	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	67												
8	6	35/2	35/2	0.0	1/4	1/4	StaffText	6/8	1	1	0						)										
8	6	35/2	35/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	68												
8	6	18	18	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	69	articStaccatissimoAbove											
8	6	33/2	33/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	70												
8	6	18	18	0.0	3/8	3/8	FiguredBass	6/8	2	1	0												1/8	6			
8	6	18	18	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	71												15
8	6	37/2	37/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	72	ornamentShortTrill											
8	6	19	19	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	73												
9	7	39/2	39/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	74	articStaccatissimoAbove											
9	7	21	21	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	75	articStaccatissimoAbove											
9	7	39/2	39/2	0.0	0	0	FiguredBass	6/8	2	1	0												1/8	6			
9	7	39/2	39/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	76	ornamentShortTrill											
9	7	20	20	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	77												
9	7	41/2	41/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	78												
9	7	21	21	0.0	3/8	3/8	FiguredBass	6/8	2	1	0												1/8	6			
9	7	21	21	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	79												16
9	7	43/2	43/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	80	ornamentShortTrill											
9	7	22	22	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	81												
10	8	45/2	45/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	82												
10	8	24	24	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	83												17
10	8	49/2	49/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	84	ornamentShortTrill											17
10	8	25	25	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	85												
10	8	45/2	45/2	0.0	0	0	FiguredBass	6/8	2	1	0												1/8	6			
10	8	45/2	45/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	86	ornamentShortTrill											18
10	8	23	23	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	87												18
10	8	47/2	47/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	88												
10	8	24	24	0.0	3/8	3/8	FiguredBass	6/8	2	1	0												1/8	6			
10	8	24	24	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	89												19
10	8	49/2	49/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	90	ornamentShortTrill											19
10	8	25	25	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	91												
11	9	51/2	51/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	92												
11	9	26	26	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	93												
11	9	53/2	53/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	94												
11	9	27	27	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	95												
11	9	55/2	55/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	96												20
11	9	111/4	111/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	97												20
11	9	28	28	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	98												20
11	9	113/4	113/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	99												
11	9	51/2	51/2	0.0	0	0	FiguredBass	6/8	2	1	0												1/8	6			
11	9	51/2	51/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	100	ornamentShortTrill											
11	9	26	26	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	101												
11	9	53/2	53/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	102												
11	9	27	27	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	103												
11	9	55/2	55/2	0.0	1/2	1/2	FiguredBass	6/8	2	1	0												1/8	6	5		
11	9	55/2	55/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	104												
11	9	28	28	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	105												
12	10	57/2	57/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	106												21
12	10	29	29	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	107	ornamentShortTrill											21
12	10	59/2	59/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	108												
12	10	30	30	0.0	3/8	3/8	StaffText	6/8	1	1	0						doux										
12	10	30	30	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	109												
12	10	57/2	57/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	110												
12	10	30	30	0.0	3/8	3/8	FiguredBass	6/8	2	1	0												1/8	6			
12	10	30	30	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	111												22
12	10	61/2	61/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	112	ornamentShortTrill											22
12	10	31	31	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	113												
13	11	63/2	63/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	114	articStaccatissimoAbove											
13	11	33	33	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	115	articStaccatissimoAbove											
13	11	63/2	63/2	0.0	0	0	FiguredBass	6/8	2	1	0												1/8	6			
13	11	63/2	63/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	116	ornamentShortTrill											23
13	11	32	32	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	117												23
13	11	65/2	65/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	118												
13	11	33	33	0.0	3/8	3/8	FiguredBass	6/8	2	1	0												1/8	6			
13	11	33	33	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	119												24
13	11	67/2	67/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	120	ornamentShortTrill											24
13	11	34	34	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	121												
14	12	69/2	69/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	122	articStaccatissimoAbove											
14	12	36	36	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	123												25
14	12	73/2	73/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	124	ornamentShortTrill											25
14	12	37	37	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	125												
14	12	69/2	69/2	0.0	0	0	FiguredBass	6/8	2	1	0												1/8	6			
14	12	69/2	69/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	126	ornamentShortTrill											
14	12	35	35	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	127												
14	12	71/2	71/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	128												
14	12	36	36	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	129												
14	12	73/2	73/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	130	ornamentShortTrill											
14	12	37	37	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	131												
15	13	75/2	75/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	132												
15	13	38	38	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	133												
15	13	77/2	77/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	134												
15	13	39	39	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	135												
15	13	79/2	79/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	136												26
15	13	159/4	159/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	137												26
15	13	40	40	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	138												26
15	13	161/4	161/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	139												
15	13	75/2	75/2	0.0	0	0	FiguredBass	6/8	2	1	0												1/8	6			
15	13	75/2	75/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	140	ornamentShortTrill											27
15	13	38	38	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	141												27
15	13	77/2	77/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	142												
15	13	39	39	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	143												
15	13	79/2	79/2	0.0	1/2	1/2	FiguredBass	6/8	2	1	0												1/8	6	5		
15	13	79/2	79/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	144												
15	13	40	40	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	145												
16	14	81/2	81/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	146												
16	14	81/2	81/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	147												
17	14	42	42	1.0	0	3/8	Chord	6/8	1	1	1/4		1/4	1	148												
17	14	42	42	0.0	0	3/8	FiguredBass	6/8	2	1	0												1/8	6			
17	14	42	42	0.5	0	3/8	Chord	6/8	2	1	1/8		1/8	1	149												28
17	14	85/2	85/2	0.5	1/8	1/2	Chord	6/8	2	1	1/8		1/8	1	150												28
17	14	43	43	0.5	1/4	5/8	Chord	6/8	2	1	1/8		1/8	1	151												
18	15	87/2	87/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	152												
18	15	45	45	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	153												
