mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
54	50	297/2	297/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
54	50	150	150	1.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
55	51	303/2	303/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
55	51	153	153	1.5	3/8	3/8	6/8	1	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
56	52	309/2	309/2	1.5	0	0	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
56	52	156	156	0.5	3/8	3/8	6/8	1	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
56	52	313/2	313/2	0.5	1/2	1/2	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
56	52	157	157	0.5	5/8	5/8	6/8	1	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
57	53	315/2	315/2	0.5	0	0	6/8	1	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
57	53	158	158	0.5	1/8	1/8	6/8	1	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
57	53	317/2	317/2	0.5	1/4	1/4	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
57	53	159	159	0.5	3/8	3/8	6/8	1	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
57	53	319/2	319/2	0.5	1/2	1/2	6/8	1	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
57	53	160	160	0.5	5/8	5/8	6/8	1	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
58	54	321/2	321/2	1.5	0	0	6/8	1	1	I|PAC}	F	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
