mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
37	33	64	33a	225	4.0	-3	2/2	1	0							38
38	34	65	34a	229	4.0	-3	2/2	1	0							39
39	35	66	35a	233	4.0	-3	2/2	1	0							40
40	36	67	36a	237	4.0	-3	2/2	1	0							41
41	37	68	37a	241	4.0	-3	2/2	1	0							42
42	38	69	38a	245	4.0	-3	2/2	1	0							43
43	39	70	39a	249	4.0	-3	2/2	1	0							44, 45
44	40	71	40a	253	3.0	-3	2/2	3/4	0	1					end	28
28	24	72	40a	256	1.0	-3	2/2	1/4	3/4			1			start	29
29	25	73	25b	257	4.0	-3	2/2	1	0							30
30	26	74	26b	261	4.0	-3	2/2	1	0							31
31	27	75	27b	265	4.0	-3	2/2	1	0							32
32	28	76	28b	269	4.0	-3	2/2	1	0							33
33	29	77	29b	273	4.0	-3	2/2	1	0							34
34	30	78	30b	277	4.0	-3	2/2	1	0							35
35	31	79	31b	281	4.0	-3	2/2	1	0							36
36	32	80	32b	285	4.0	-3	2/2	1	0							37
37	33	81	33b	289	4.0	-3	2/2	1	0							38
38	34	82	34b	293	4.0	-3	2/2	1	0							39
39	35	83	35b	297	4.0	-3	2/2	1	0							40
40	36	84	36b	301	4.0	-3	2/2	1	0							41
41	37	85	37b	305	4.0	-3	2/2	1	0							42
42	38	86	38b	309	4.0	-3	2/2	1	0							43
43	39	87	39b	313	4.0	-3	2/2	1	0							44, 45
45	40	88	40b	317	4.0	-3	2/2	1	0	2		1				46
46	41	89	41a	321	4.0	-3	2/2	1	0							47
47	42	90	42a	325	4.0	-3	2/2	1	0							48
48	43	91	43a	329	4.0	-3	2/2	1	0							49
49	44	92	44a	333	4.0	-3	2/2	1	0							50
50	45	93	45a	337	4.0	-3	2/2	1	0							51
51	46	94	46a	341	4.0	-3	2/2	1	0							52
52	47	95	47a	345	4.0	-3	2/2	1	0							53
53	48	96	48a	349	4.0	-3	2/2	1	0							54
54	49	97	49a	353	4.0	-3	2/2	1	0							55
