start;measure
1335.56;738
1337.66;739
1339.64;740
1341.44;741
1343.56;742
1345.32;743
1347.2;744
1349.2;745
1351.04;746
1353.02;747
1354.86;748
1356.7;749
1358.8;750
1360.78;751
1362.48;752
1364.26;753
1366.34;754
1368.24;755
1370.02;756
1371.848;757
1373.68;758
1375.68;759
1377.48;760
1379.439727891;761
1381.3;762
1383.24;763
1385.04;764
1386.84;765
1388.710068027;766
1390.58;767
1392.34;768
1394.86;769
1396.58;770
1398.789795918;771
1400.96;772
1403.12;773
1405.1;774
1407.26;775
1409.74;776
1411.8;777
1414;778
1416.26;779
1417.82;780
1419.86;781
1421.8;782
1423.64;783
1425.92;784
1429.08;785
1430.965079365;786
1432.7;787
1434.34;788
1436.08;789
1438.42;790
1440.56;791
1442.44;792
1444.4;793
1446.26;794
1448.24;795
1450.14;796
1451.86;797
1453.44;798
1455.3;799
1457.043673469;800
1458.9;801
1460.704;802
1462.62;803
1464.328888889;804
1466.08;805
1467.86;806
1469.76;807
1471.665;808
1473.715147392;809
1475.374603174;810
1477.2;811
1479.32;812
1481.16;813
1483.1;814
1484.82;815
1486.513877551;816
1488.68;817
1490.2825;818
1492.14;819
1494.2;820
1496.02;821
1497.8;822
1499.5275;823
1501.38;824
1502.76;825
1504.773015873;826
1506.88;827
1508.52;828
1510.255;829
1511.96;830
1513.56;831
1515.52;832
1517.221632653;833
1518.754285714;834
1520.6;835
1522.36;836
1523.86;837
1525.24;838
1526.44;839
1528.08;840
1529.76;841
1531.36;842
1533.12;843
1534.44;844
1536.355;845
1537.8;846
1539.42;847
1541.0675;848
1543.195;849
1544.871020408;850
1546.78;851
1548.6;852
1550.97;853
1553.16;854
1555.74;855
1558.92;856
1560.513333333;857
1562.058666666;858
1563.7;859
1565;860
1566.48;861
1568;862
1569.46;863
1571;864
1572.56;865
1574.18;866
1575.64;867
1577.3;868
1579.02;869
1580.14;870
1581.84;871
1583.440453514;872
1584.82;873
1586.36;874
1587.82;875
1589.24;876
1590.8;877
1592.38;878
1593.98;879
1595.54;880
1597.26;881
1599.06;882
1600.302666666;883
1601.96;884
1603.56;885
1605.34;886
1606.84;887
1608.42;888
1610;889
1611.82;890
1613.287936507;891
1614.72;892
1616.4;893
1618.24;894
1619.82;895
1621.66;896
1623.36;897
1625.268752834;898
1626.98;899
1628.765;900
1630.26;901
1632.34;902
1634.08;903
1636;904
1638.385333333;905
1641.194666666;906
1643.46;907
1646.309333333;908
1651.68;909
1653.5;910
1655.34;911
1657.2;912
1659.2;913
1661.14;914
1663.3;915
1665.6;916
1667.28;917
1668.94;918
1670.84;919
1672.74;920
1674.46;921
1676.2;922
1678.06;923
1680.06;924
1681.84;925
1683.7;926
1685.5;927
1687.28;928
1689.32;929
1691.2;930
1693.65;931
1695.52;932
1697.44;933
1699.38;934
1701.27;935
1703.22;936
1707.3925;937
1709.18;938
1710.818666666;939
1712.3;940
1714.06;941
1715.44;942
1717;943
1718.5;944
1720.02;945
1721.8;946
1723.48;947
1725.08;948
1726.9;949
1728.44;950
1730.06;951
1731.84;952
1733.54;953
1735.22;954
1736.9;955
1738.52;956
1740.26;957
1741.98;958
1743.66;959
1745.48;960
1747.22;961
1748.9;962
1750.6;963
1752.46;964
1754.078181818;965
1755.98;966
1758.06;967
1760.44;968
1762.7;969
1765.08;970
1767.74;971
1770.62;972
1772.72;973
1774.9;974
1777.12;975
1779.48;976
1782.16;977
1785.06;978
1787.68;979
1790.6;980
1792.985941043;981
1795.84;982
1798.02;983
1800.32;984
1802.68;985
1805.612244897;986
1808.42;987
1811.76;988
1814.24;989
1816.6;990
1819.3125;991
1822.022857143;992
1825;993
1828.1;994
1831;995
1833.949795918;996
1837.26;997
1840.66;998
1843.515;999
1846.86;1000
1850.18;1001
1852.88;1002
1856.84;1003
1860.3;1004
1864.1;1005
1866.54;1006
1869.64;1007
1873.16;1008
1876.12;1009
1879.66;1010
1883.32;1011
1887.04;1012
1890.013333333;1013
1892.94;1014
1895.48;1015
1899.08;1016
1902.233333333;1017
1905.429333333;1018
1908.48;1019
1911.36;1020
1914.3;1021
1916.66;1022
1919.296;1023
1922.14;1024
1924.44;1025
1927.24;1026
1930.255;1027
1933.16;1028
1936.3;1029
1939.18;1030
1942.046666667;1031
1945.36;1032
1948.605306122;1033
1951.205333333;1034
1954.72;1035
1957.84;1036
1961.494693877;1037
1964.64;1038
1967.82;1039
1970.8;1040
1973.52;1041
1976.034285714;1042
1978.188571429;1043
1979.91625;1044
1982.54;1045
1985.44;1046
1988.550625;1047
1991.415;1048
1995.58;1049
1998.42;1050
2000.9;1051
2003.54;1052
2006.02;1053
2008.14;1054
2010.42;1055
2012.32;1056
2014.74;1057
2017.08;1058
2019.18;1059
2021.32;1060
2023.62;1061
2025.72;1062
2027.94;1063
2029.86;1064
2031.6975;1065
2033.72;1066
2035.78;1067
2037.984081632;1068
2040.013877551;1069
2042.06;1070
2044.34;1071
2046.9;1072
2049.24;1073
2051.34;1074
2053.88;1075
2056.2;1076
2058.72;1077
2061.3;1078
2063.96;1079
2066.34;1080
2069.405;1081
2072.04;1082
2074.58;1083
2078.07;1084
2080.827346938;1085
2084.1;1086
2087.16;1087
2090.346666667;1088
2093.22;1089
2096.131111111;1090
2098.84;1091
2101.3;1092
2105.095;1093
2111.52;1094
2114.050204081;1095
2115.835;1096
2117.9;1097
2119.74;1098
2121.56;1099
2123.48;1100
2125.14;1101
2126.98;1102
2128.82;1103
2130.42;1104
2132.26;1105
2134.02;1106
2136.02;1107
2137.96;1108
2139.814117647;1109
2141.72;1110
2143.72;1111
2145.54;1112
2147.32;1113
2149.06;1114
2150.96;1115
2152.94;1116
2154.6;1117
2156.46;1118
2158.505;1119
2160.56;1120
2162.38;1121
2164.2;1122
2166.24;1123
2168.04;1124
2170.021333333;1125
2171.76;1126
2173.288;1127
2175.52;1128
2177.54;1129
2179.28;1130
2180.996;1131
2182.7;1132
2184.5425;1133
2186.38;1134
2187.9;1135
2189.86;1136
2191.46;1137
2193.24;1138
2194.98;1139
2196.82;1140
2198.44;1141
2200.28;1142
2202.02;1143
2203.78;1144
2205.4;1145
2207.56;1146
2208.986666667;1147
2210.58;1148
2212.7;1149
2214.639319727;1150
2216.57;1151
2218.32;1152
2220.22;1153
2222;1154
2223.7;1155
2225.44;1156
2227.48;1157
2229.489387755;1158
2230.92;1159
2232.995;1160
2234.76;1161
2236.96;1162
2239.38;1163
2241.86;1164
2244;1165
2246.06;1166
2247.76;1167
2250.358666666;1168
2252.5;1169
2254.62;1170
2256.48;1171
2258.244158163;1172
2260.42;1173
2262.26;1174
2263.86;1175
2265.595;1176
2267.4;1177
2269.16;1178
2271.02;1179
2273.18;1180
2275.3;1181
2277.94;1182
2281.08;1183
2284.2;1184
2287.36;1185
2291.86;1186
2295.7;1187
2298.4;1188
2301.525333333;1189
2304.46;1190
2307.589285714;1191
2310.14;1192
2312.84;1193
2315.56;1194
2318.38;1195
2322.1;1196
2325.1;1197
2327.454666666;1198
2330.26;1199
2333.78;1200
2336.62;1201
2339.7;1202
2341.962666666;1203
2343.98;1204
2345.82;1205
2347.88;1206
2349.638666666;1207
2351.56;1208
2353.568979591;1209
2355.42;1210
2357.36;1211
2359.206666666;1212
2361.414666666;1213
2363.12;1214
2365.106666667;1215
2366.98;1216
2368.84;1217
2370.66;1218
2372.56;1219
2374.98;1220
2376.78;1221
2379.06;1222
2381.1;1223
2383.02;1224
2385.04;1225
2386.9;1226
2388.86;1227
2390.96;1228
2393.02;1229
2395.04;1230
2397.08;1231
2399.02;1232
2400.894693877;1233
2403;1234
2404.84;1235
2406.754666666;1236
2408.631020408;1237
2411.2;1238
2414.3;1239
2417.14;1240
2419.1;1241
2422.02;1242
2426;1243
2429.86;1244
2433.481818182;1245
2436.58;1246
2439.557916667;1247
2442.68;1248
2446.14;1249
2448.6;1250
2451.56;1251
2453.835;1252
2456.675833333;1253
2458.9;1254
2462.050909091;1255
2464.54;1256
2467.62;1257
2470.08;1258
2472.7;1259
2475.66;1260
2477.98;1261
2481.84;1262
2485.12;1263
2487.66;1264
2490;1265
2492.4125;1266
2494.72;1267
2497;1268
2499.72375;1269
2502.84;1270
2506.26;1271
2508.74;1272
2510.801818182;1273
2512.98;1274
2515.18;1275
2517.3;1276
2519.42;1277
2521.54;1278
2523.62;1279
2526.3;1280
2530.06;1281
2532.7525;1282
2535.04;1283
2537.1;1284
2539.1;1285
2541.884;1286
2545.12;1287
2548.78;1288
2552.52;1289
2556.16;1290
2559.2;1291
2562.96;1292
2566.44;1293
2570.074612245;1294
2574.74;1295
2579.34;1296
2585.27;1297
2590.82;1298
2594.56;1299
2597.76;1300
2600.46;1301
2603.471836734;1302
2606.38;1303
2609.32;1304
2612.04;1305
2614.66;1306
2617.8;1307
2620.735;1308
2623.28;1309
2625.62;1310
2628.26;1311
2630.84;1312
2633.08;1313
2635.490748299;1314
2637.54;1315
2639.58;1316
2641.58;1317
2643.593061224;1318
2645.56;1319
2648.1;1320
2650.726666667;1321
2652.926666667;1322
2655.18;1323
2660.24;1324
2664.78;1325
2668.18;1326
2671.16;1327
2674.4;1328
2677.182666666;1329
2680.04;1330
2683.02;1331
2685.56;1332
2687.98;1333
2690.02;1334
2692.02;1335
2694.173333333;1336
2696.14;1337
2698.08;1338
2700.102947845;1339
2701.98;1340
2704.06;1341
2705.94;1342
2708.062857143;1343
2709.82;1344
2712.34;1345
2714.38;1346
2716.38;1347
2718.44;1348
2720.72;1349
2722.72;1350
2725.04;1351
2726.94;1352
2729.42;1353
2731.54;1354
2733.5;1355
2735.57664399;1356
2737.82;1357
2739.96;1358
2742.08;1359
2744.1;1360
2746.36;1361
2748.34;1362
2750.38;1363
2752.52;1364
2754.64;1365
2756.686666667;1366
2758.6;1367
2760.5;1368
2762.66;1369
2764.695;1370
2766.8;1371
2768.8825;1372
2770.955;1373
2772.98;1374
2775.04;1375
2777.12;1376
2778.9925;1377
2781;1378
2782.92;1379
2784.835;1380
2786.9;1381
2788.88;1382
2790.94;1383
2792.725;1384
2798.6;1385
2801.42;1386
2804.72;1387
2807.98;1388
2810.92;1389
2813.773333333;1390
2815.94;1391
2818.66;1392
2821.3;1393
2824.055;1394
2826.36;1395
2829.3;1396
2832.185;1397
2835.32;1398
2838.0475;1399
2841.786666667;1400
2844.78;1401
2847.06;1402
2849.454285714;1403
2851.84;1404
2854.38;1405
2857.06;1406
2859.44;1407
2861.7;1408
2864.54;1409
2867.16;1410
2869.3;1411
2872.26;1412
2875.4;1413
2879.04;1414
2882.34;1415
2885.7;1416
2889.18;1417
2892.2;1418
2895.46;1419
2898.5;1420
2902.014666666;1421
2904.82;1422
2907.6;1423
2910.48;1424
2912.34;1425
2914.017333333;1426
2916.18;1427
2918.14;1428
2920.08;1429
2922.34;1430
2923.94;1431
2925.72;1432
2927.72;1433
2929.78;1434
2931.54;1435
2933.166666666;1436
2935.08;1437
2936.881333333;1438
2938.853261527;1439
2940.8;1440
2942.92;1441
2945.3;1442
2947.24;1443
2949.153333333;1444
2951.070833333;1445
2952.94;1446
2954.785333333;1447
2956.7;1448
2958.61;1449
2960.369333333;1450
2961.956;1451
2963.908;1452
2965.58;1453
2967.46;1454
2969.28;1455
2970.9;1456
2972.98;1457
2974.56;1458
