mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
99	99	392	392	1.5	0	0	4/4	2	1	vii%43		C	III		vii%43	vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
99	99	787/2	787/2	0.5	3/8	3/8	4/4	2	1	viio43		C	III		viio43	vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
99	99	394	394	2.0	1/2	1/2	4/4	2	1	I6		C	III		I6	I		6					M	0	0	4, 1, 0		0	4
100	100	396	396	0.5	0	0	4/4	2	1	ii6(#4)		C	III		ii6(#4)	ii		6	#4				m	0	0	-1, 8, 2		2	-1
100	100	793/2	793/2	0.5	1/8	1/8	4/4	2	1	ii6		C	III		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
100	100	397	397	0.25	1/4	1/4	4/4	2	1	V65/IV		C	III		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
100	100	1589/4	1589/4	0.25	5/16	5/16	4/4	2	1	#viio65/ii		C	III		#viio65/ii	#vii	o	65		ii			o7	0	0	4, 1, -2, 7		7	4
100	100	795/2	795/2	0.5	3/8	3/8	4/4	2	1	V43/ii		C	III		V43/ii	V		43		ii			Mm7	0	0	4, 1, 3, 7		3	4
100	100	398	398	1.0	1/2	1/2	4/4	2	1	ii(4)		C	III		ii(4)	ii			4				m	0	0	2, 1, 3		2	2
100	100	399	399	1.0	3/4	3/4	4/4	2	1	ii		C	III		ii	ii							m	0	0	2, -1, 3		2	2
101	101	400	400	2.0	0	0	4/4	2	1	vii%65		C	III		vii%65	vii	%	65					%7	0	0	2, -1, 3, 5		5	2
101	101	402	402	2.0	1/2	1/2	4/4	2	1	#viio2/vi		C	III		#viio2/vi	#vii	o	2		vi			o7	0	0	-1, 8, 5, 2		8	-1
102	102	404	404	1.0	0	0	4/4	2	1	ii7		C	III		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
102	102	405	405	1.0	1/4	1/4	4/4	2	1	vii%65		C	III		vii%65	vii	%	65					%7	0	0	2, -1, 3, 5		5	2
102	102	406	406	1.5	1/2	1/2	4/4	2	1	#viio2/vi		C	III		#viio2/vi	#vii	o	2		vi			o7	0	0	-1, 8, 5, 2		8	-1
102	102	815/2	815/2	0.5	7/8	7/8	4/4	2	1	ii65		C	III		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
103	103	408	408	1.0	0	0	4/4	2	1	ii7		C	III		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
103	103	409	409	0.5	1/4	1/4	4/4	2	1	vii%2		C	III		vii%2	vii	%	2					%7	0	0	3, 5, 2, -1		5	3
103	103	819/2	819/2	0.5	3/8	3/8	4/4	2	1	viio2		C	III		viio2	vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
103	103	410	410	1.0	1/2	1/2	4/4	2	1	I6(13)		C	III		I6(13)	I		6	13				M	0	0	4, 1, 0	3	0	4
103	103	411	411	1.0	3/4	3/4	4/4	2	1	I		C	III		I	I							M	0	0	0, 4, 1		0	0
104	104	412	412	1.0	0	0	4/4	2	1	ii7		C	III		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
104	104	413	413	0.5	1/4	1/4	4/4	2	1	vii%2		C	III		vii%2	vii	%	2					%7	0	0	3, 5, 2, -1		5	3
104	104	827/2	827/2	0.5	3/8	3/8	4/4	2	1	viio2		C	III		viio2	vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
104	104	414	414	1.0	1/2	1/2	4/4	2	1	I6(13)		C	III		I6(13)	I		6	13				M	0	0	4, 1, 0	3	0	4
104	104	415	415	1.0	3/4	3/4	4/4	2	1	I		C	III		I	I							M	0	0	0, 4, 1		0	0
105	105	416	416	1.0	0	0	4/4	2	1	ii7		C	III		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
105	105	417	417	1.0	1/4	1/4	4/4	2	1	viio43		C	III		viio43	vii	o	43					o7	0	0	-1, -4, 5, 2		5	-1
105	105	418	418	1.0	1/2	1/2	4/4	2	1	V43(b9)/ii		C	III		V43(b9)/ii	V		43	b9	ii			Mm7	0	0	4, 1, 3, 7	-9	3	4
105	105	419	419	1.0	3/4	3/4	4/4	2	1	ii		C	III		ii	ii							m	0	0	2, -1, 3		2	2
106	106	420	420	1.0	0	0	4/4	2	1	viio43/V		C	III		viio43/V	vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
106	106	421	421	1.0	1/4	1/4	4/4	2	1	V65		C	III		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
106	106	422	422	1.0	1/2	1/2	4/4	2	1	viio65/V		C	III		viio65/V	vii	o	65		V			o7	0	0	3, 0, -3, 6		6	3
106	106	423	423	1.0	3/4	3/4	4/4	2	1	V7		C	III		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
107	107	424	424	0.5	0	0	4/4	2	1	viio64		C	III		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
107	107	849/2	849/2	0.5	1/8	1/8	4/4	2	1	ii65		C	III		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
107	107	425	425	2.0	1/4	1/4	4/4	2	1	ii7		C	III		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
107	107	427	427	1.0	3/4	3/4	4/4	2	1	vii%65		C	III		vii%65	vii	%	65					%7	0	0	2, -1, 3, 5		5	2
108	108	428	428	1.0	0	0	4/4	2	1	I6(13)		C	III		I6(13)	I		6	13				M	0	0	4, 1, 0	3	0	4
108	108	429	429	0.6666666666666856	1/4	1/4	4/4	2	1	I		C	III		I	I							M	0	0	0, 4, 1		0	0
108	108	1289/3	1289/3	0.3333333333333144	5/12	5/12	4/4	2	1	vi64		C	III		vi64	vi		64					m	0	0	4, 3, 0		3	4
108	108	430	430	1.5	1/2	1/2	4/4	2	1	V64(9)		C	III		V64(9)	V		64	9				M	0	0	2, 1, 5	3	1	2
108	108	863/2	863/2	0.5	7/8	7/8	4/4	2	1	V64		C	III		V64	V		64					M	0	0	2, 1, 5		1	2
109	109	432	432	1.0	0	0	4/4	2	1	VI.V7		C	VI		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
109	109	433	433	1.0	1/4	1/4	4/4	2	1	viio64		C	VI		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
109	109	434	434	1.0	1/2	1/2	4/4	2	1	V64(b9)/ii		C	VI		V64(b9)/ii	V		64	b9	ii			M	0	0	4, 3, 7	-9	3	4
109	109	435	435	1.0	3/4	3/4	4/4	2	1	ii		C	VI		ii	ii							m	0	0	2, -1, 3		2	2
110	110	436	436	0.5	0	0	4/4	2	1	viio43(4)/V		C	VI		viio43(4)/V	vii	o	43	4	V			o7	0	0	0, -3, 6, 5		6	0
110	110	873/2	873/2	0.5	1/8	1/8	4/4	2	1	viio43/V		C	VI		viio43/V	vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
110	110	437	437	1.0	1/4	1/4	4/4	2	1	V65		C	VI		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
110	110	438	438	1.0	1/2	1/2	4/4	2	1	V43/V		C	VI		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
110	110	439	439	1.0	3/4	3/4	4/4	2	1	V7		C	VI		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
111	111	440	440	1.0	0	0	4/4	2	1	ii65		C	VI		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
111	111	441	441	1.0	1/4	1/4	4/4	2	1	IV		C	VI		IV	IV							M	0	0	-1, 3, 0		-1	-1
111	111	442	442	1.0	1/2	1/2	4/4	2	1	ii7		C	VI		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
111	111	443	443	1.0	3/4	3/4	4/4	2	1	vii%65		C	VI		vii%65	vii	%	65					%7	0	0	2, -1, 3, 5		5	2
112	112	444	444	0.5	0	0	4/4	2	1	I6(13#11)		C	VI		I6(13#11)	I		6	13#11				M	0	0	4, 1, 0	3, 6	0	4
112	112	889/2	889/2	1.5	1/8	1/8	4/4	2	1	I6		C	VI		I6	I		6					M	0	0	4, 1, 0		0	4
112	112	446	446	0.5	1/2	1/2	4/4	2	1	vi7		C	VI		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
112	112	893/2	893/2	0.5	5/8	5/8	4/4	2	1	viio6/V		C	VI		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
112	112	447	447	0.5	3/4	3/4	4/4	2	1	V(4)		C	VI		V(4)	V			4				M	0	0	1, 0, 2		1	1
112	112	895/2	895/2	0.5	7/8	7/8	4/4	2	1	vii%7/V		C	VI		vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
113	113	448	448	1.0	0	0	4/4	2	1	ii65		C	VI		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
113	113	449	449	2.0	1/4	1/4	4/4	2	1	ii7		C	VI		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
113	113	451	451	1.0	3/4	3/4	4/4	2	1	vii%65		C	VI		vii%65	vii	%	65					%7	0	0	2, -1, 3, 5		5	2
114	114	452	452	0.5	0	0	4/4	2	1	I6(#11)		C	VI		I6(#11)	I		6	#11				M	0	0	4, 1, 0	6	0	4
114	114	905/2	905/2	1.5	1/8	1/8	4/4	2	1	I6		C	VI		I6	I		6					M	0	0	4, 1, 0		0	4
114	114	454	454	0.5	1/2	1/2	4/4	2	1	V43(6)		C	VI		V43(6)	V		43	6				Mm7	0	0	4, -1, 1, 5		1	4
114	114	909/2	909/2	1.5	5/8	5/8	4/4	2	1	V43		C	VI		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
115	115	456	456	0.5	0	0	4/4	2	1	I6(#11)		C	VI		I6(#11)	I		6	#11				M	0	0	4, 1, 0	6	0	4
115	115	913/2	913/2	1.5	1/8	1/8	4/4	2	1	I6		C	VI		I6	I		6					M	0	0	4, 1, 0		0	4
115	115	458	458	0.5	1/2	1/2	4/4	2	1	viio6(112)		C	VI		viio6(112)	vii	o	6	112				o	0	0	2, -1, 0	4	5	2
115	115	917/2	917/2	0.5	5/8	5/8	4/4	2	1	viio6(2)		C	VI		viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
115	115	459	459	1.0	3/4	3/4	4/4	2	1	V43		C	VI		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
116	116	460	460	0.5	0	0	4/4	2	1	V65(6)/IV		C	VI		V65(6)/IV	V		65	6	IV			Mm7	0	0	4, 3, -2, 0		0	4
116	116	921/2	921/2	1.5	1/8	1/8	4/4	2	1	V65/IV		C	VI		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
116	116	462	462	1.0	1/2	1/2	4/4	2	1	ii43		C	VI		ii43	ii		43					mm7	0	0	3, 0, 2, -1		2	3
116	116	463	463	1.0	3/4	3/4	4/4	2	1	IV		C	VI		IV	IV							M	0	0	-1, 3, 0		-1	-1
117	117	464	464	0.5	0	0	4/4	2	1	I.ii%7(#9)/ii		C	I		ii%7(#9)/ii	ii	%	7	#9	ii			%7	0	0	4, 1, -2, 2	6	4	4
117	117	929/2	929/2	0.5	1/8	1/8	4/4	2	1	ii%7/ii		C	I		ii%7/ii	ii	%	7		ii			%7	0	0	4, 1, -2, 2		4	4
117	117	465	465	1.0	1/4	1/4	4/4	2	1	V43/ii		C	I		V43/ii	V		43		ii			Mm7	0	0	4, 1, 3, 7		3	4
117	117	466	466	0.5	1/2	1/2	4/4	2	1	V65(#4)/V		C	I		V65(#4)/V	V		65	#4	V			Mm7	0	0	6, 8, 0, 2		2	6
117	117	933/2	933/2	0.5	5/8	5/8	4/4	2	1	V65/V		C	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
117	117	467	467	1.0	3/4	3/4	4/4	2	1	vii%7/V		C	I		vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
118	118	468	468	0.5	0	0	4/4	2	1	V[V7(4)		C	I	V	V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
118	118	937/2	937/2	0.5	1/8	1/8	4/4	2	1	#viio43/vi		C	I	V	#viio43/vi	#vii	o	43		vi			o7	0	0	2, -1, 8, 5		8	2
118	118	469	469	1.0	1/4	1/4	4/4	2	1	viio43/V		C	I	V	viio43/V	vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
118	118	470	470	1.0	1/2	1/2	4/4	2	1	V7(96)		C	I	V	V7(96)	V		7	96				Mm7	0	0	1, 5, 4, -1	3	1	1
118	118	471	471	0.6666666666666856	3/4	3/4	4/4	2	1	V7		C	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
118	118	1415/3	1415/3	0.3333333333333144	11/12	11/12	4/4	2	1	viio2/V		C	I	V	viio2/V	vii	o	2		V			o7	0	0	-3, 6, 3, 0		6	-3
119	119	472	472	0.5	0	0	4/4	2	1	V7(4)		C	I	V	V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
119	119	945/2	945/2	0.5	1/8	1/8	4/4	2	1	#viio43/vi		C	I	V	#viio43/vi	#vii	o	43		vi			o7	0	0	2, -1, 8, 5		8	2
119	119	473	473	1.0	1/4	1/4	4/4	2	1	viio43/V		C	I	V	viio43/V	vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
119	119	474	474	1.0	1/2	1/2	4/4	2	1	V7(96)		C	I	V	V7(96)	V		7	96				Mm7	0	0	1, 5, 4, -1	3	1	1
119	119	475	475	0.6666666666666856	3/4	3/4	4/4	2	1	V7		C	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
119	119	1427/3	1427/3	0.3333333333333144	11/12	11/12	4/4	2	1	viio2/V		C	I	V	viio2/V	vii	o	2		V			o7	0	0	-3, 6, 3, 0		6	-3
120	120	476	476	0.5	0	0	4/4	2	1	V7(4)		C	I	V	V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
120	120	953/2	953/2	0.5	1/8	1/8	4/4	2	1	#viio43/vi		C	I	V	#viio43/vi	#vii	o	43		vi			o7	0	0	2, -1, 8, 5		8	2
120	120	477	477	1.0	1/4	1/4	4/4	2	1	viio43/V		C	I	V	viio43/V	vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
120	120	478	478	0.5	1/2	1/2	4/4	2	1	V7(4)		C	I	V	V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
120	120	957/2	957/2	0.5	5/8	5/8	4/4	2	1	#viio43/vi		C	I	V	#viio43/vi	#vii	o	43		vi			o7	0	0	2, -1, 8, 5		8	2
120	120	479	479	0.6666666666666856	3/4	3/4	4/4	2	1	V2/ii		C	I	V	V2/ii	V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
120	120	1439/3	1439/3	0.3333333333333144	11/12	11/12	4/4	2	1	ii7]		C	I	V	ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
121	121	480	480	0.6666666666666856	0	0	4/4	2	1	IV		C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
121	121	1442/3	1442/3	0.3333333333333144	1/6	1/6	4/4	2	1	ii6		C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
121	121	481	481	1.0	1/4	1/4	4/4	2	1	V7(9)		C	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
121	121	482	482	1.0	1/2	1/2	4/4	2	1	V(64)		C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
121	121	483	483	1.0	3/4	3/4	4/4	2	1	viio65/V		C	I		viio65/V	vii	o	65		V			o7	0	0	3, 0, -3, 6		6	3
122	122	484	484	0.5	0	0	4/4	2	1	bIII.I64		C	bIII		I64	I		64					M	0	0	1, 0, 4		0	1
122	122	969/2	969/2	0.5	1/8	1/8	4/4	2	1	V2		C	bIII		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
122	122	485	485	0.5	1/4	1/4	4/4	2	1	I6		C	bIII		I6	I		6					M	0	0	4, 1, 0		0	4
122	122	971/2	971/2	0.5	3/8	3/8	4/4	2	1	V64		C	bIII		V64	V		64					M	0	0	2, 1, 5		1	2
122	122	486	486	0.5	1/2	1/2	4/4	2	1	vi65		C	bIII		vi65	vi		65					mm7	0	0	0, 4, 1, 3		3	0
122	122	973/2	973/2	0.5	5/8	5/8	4/4	2	1	V6		C	bIII		V6	V		6					M	0	0	5, 2, 1		1	5
122	122	487	487	0.5	3/4	3/4	4/4	2	1	vi7		C	bIII		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
122	122	975/2	975/2	0.5	7/8	7/8	4/4	2	1	V7		C	bIII		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
123	123	488	488	0.5	0	0	4/4	2	1	IV		C	bIII		IV	IV							M	0	0	-1, 3, 0		-1	-1
123	123	977/2	977/2	0.5	1/8	1/8	4/4	2	1	V7		C	bIII		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
123	123	489	489	0.5	1/4	1/4	4/4	2	1	vi		C	bIII		vi	vi							m	0	0	3, 0, 4		3	3
123	123	979/2	979/2	0.5	3/8	3/8	4/4	2	1	ii6		C	bIII		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
123	123	490	490	0.5	1/2	1/2	4/4	2	1	I64		C	bIII		I64	I		64					M	0	0	1, 0, 4		0	1
123	123	981/2	981/2	0.5	5/8	5/8	4/4	2	1	IV6		C	bIII		IV6	IV		6					M	0	0	3, 0, -1		-1	3
123	123	491	491	0.5	3/4	3/4	4/4	2	1	viio6		C	bIII		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
123	123	983/2	983/2	0.5	7/8	7/8	4/4	2	1	I6		C	bIII		I6	I		6					M	0	0	4, 1, 0		0	4
124	124	492	492	1.0	0	0	4/4	2	1	ii65		C	bIII		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
124	124	493	493	0.5	1/4	1/4	4/4	2	1	ii		C	bIII		ii	ii							m	0	0	2, -1, 3		2	2
124	124	987/2	987/2	0.25	3/8	3/8	4/4	2	1	ii6		C	bIII		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
124	124	1975/4	1975/4	0.25	7/16	7/16	4/4	2	1	viio64		C	bIII		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
124	124	494	494	0.5	1/2	1/2	4/4	2	1	I6		C	bIII		I6	I		6					M	0	0	4, 1, 0		0	4
124	124	989/2	989/2	0.5	5/8	5/8	4/4	2	1	ii7		C	bIII		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
124	124	495	495	0.5	3/4	3/4	4/4	2	1	I		C	bIII		I	I							M	0	0	0, 4, 1		0	0
124	124	991/2	991/2	0.5	7/8	7/8	4/4	2	1	viio		C	bIII		viio	vii	o						o	0	0	5, 2, -1		5	5
125	125	496	496	0.5	0	0	4/4	2	1	vii%65/V		C	bIII		vii%65/V	vii	%	65		V			%7	0	0	3, 0, 4, 6		6	3
125	125	993/2	993/2	0.5	1/8	1/8	4/4	2	1	V(64)		C	bIII		V(64)	V			64				M	0	0	1, 0, 4		1	1
125	125	497	497	0.5	1/4	1/4	4/4	2	1	IV(9)		C	bIII		IV(9)	IV			9				M	0	0	-1, 3, 0	1	-1	-1
125	125	995/2	995/2	0.5	3/8	3/8	4/4	2	1	vii%7/V		C	bIII		vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
125	125	498	498	0.5	1/2	1/2	4/4	2	1	V7		C	bIII		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
125	125	997/2	997/2	0.5	5/8	5/8	4/4	2	1	V6/V		C	bIII		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
125	125	499	499	1.0	3/4	3/4	4/4	2	1	ii6		C	bIII		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
126	126	500	500	0.5	0	0	4/4	2	1	IVM65(4)/IV		C	bIII		IVM65(4)/IV	IV	M	65	4	IV			MM7	0	0	4, -1, 3, -2		-2	4
126	126	1001/2	1001/2	0.5	1/8	1/8	4/4	2	1	iv6/IV		C	bIII		iv6/IV	iv		6		IV			m	0	0	-5, -1, -2		-2	-5
126	126	501	501	0.5	1/4	1/4	4/4	2	1	V65(4)		C	bIII		V65(4)	V		65	4				Mm7	0	0	0, 2, -1, 1		1	0
126	126	1003/2	1003/2	0.16666666666668561	3/8	3/8	4/4	2	1	V65		C	bIII		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
126	126	1505/3	1505/3	0.3333333333333144	5/12	5/12	4/4	2	1	#viio65/vi		C	bIII		#viio65/vi	#vii	o	65		vi			o7	0	0	5, 2, -1, 8		8	5
126	126	502	502	0.5	1/2	1/2	4/4	2	1	IV64(#4)		C	bIII		IV64(#4)	IV		64	#4				M	0	0	12, -1, 3		-1	12
126	126	1005/2	1005/2	0.5	5/8	5/8	4/4	2	1	IV+64		C	bIII		IV+64	IV	+	64					+	0	0	7, -1, 3		-1	7
126	126	503	503	0.5	3/4	3/4	4/4	2	1	ii		C	bIII		ii	ii							m	0	0	2, -1, 3		2	2
126	126	1007/2	1007/2	0.5	7/8	7/8	4/4	2	1	I6		C	bIII		I6	I		6					M	0	0	4, 1, 0		0	4
127	127	504	504	0.5	0	0	4/4	2	1	ii6(2)		C	bIII		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
127	127	1009/2	1009/2	0.5	1/8	1/8	4/4	2	1	V6/V		C	bIII		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
127	127	505	505	0.5	1/4	1/4	4/4	2	1	v7		C	bIII		v7	v		7					mm7	0	0	1, -2, 2, -1		1	1
127	127	1011/2	1011/2	0.5	3/8	3/8	4/4	2	1	#viio7/vi		C	bIII		#viio7/vi	#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
127	127	506	506	0.5	1/2	1/2	4/4	2	1	IV6		C	bIII		IV6	IV		6					M	0	0	3, 0, -1		-1	3
127	127	1013/2	1013/2	0.5	5/8	5/8	4/4	2	1	viio6(+2)/IV		C	bIII		viio6(+2)/IV	vii	o	6	+2	IV			o	0	0	1, -2, 4	-1	4	1
127	127	507	507	0.5	3/4	3/4	4/4	2	1	IV		C	bIII		IV	IV							M	0	0	-1, 3, 0		-1	-1
127	127	1015/2	1015/2	0.5	7/8	7/8	4/4	2	1	I6		C	bIII		I6	I		6					M	0	0	4, 1, 0		0	4
128	128	508	508	1.0	0	0	4/4	2	1	ii7		C	bIII		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
128	128	509	509	1.0	1/4	1/4	4/4	2	1	V/V		C	bIII		V/V	V				V			M	0	0	2, 6, 3		2	2
128	128	510	510	1.0	1/2	1/2	4/4	2	1	iii7		C	bIII		iii7	iii		7					mm7	0	0	4, 1, 5, 2		4	4
128	128	511	511	0.5	3/4	3/4	4/4	2	1	V+6/IV		C	bIII		V+6/IV	V	+	6		IV			+	0	0	4, 8, 0		0	4
128	128	1023/2	1023/2	0.5	7/8	7/8	4/4	2	1	V/vi		C	bIII		V/vi	V				vi			M	0	0	4, 8, 5		4	4
129	129	512	512	0.5	0	0	4/4	2	1	vii%7/V		C	bIII		vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
129	129	1025/2	1025/2	0.5	1/8	1/8	4/4	2	1	vi64		C	bIII		vi64	vi		64					m	0	0	4, 3, 0		3	4
129	129	513	513	0.5	1/4	1/4	4/4	2	1	V/V		C	bIII		V/V	V				V			M	0	0	2, 6, 3		2	2
129	129	1027/2	1027/2	0.5	3/8	3/8	4/4	2	1	viio64/V		C	bIII		viio64/V	vii	o	64		V			o	0	0	0, 6, 3		6	0
129	129	514	514	0.5	1/2	1/2	4/4	2	1	V6		C	bIII		V6	V		6					M	0	0	5, 2, 1		1	5
129	129	1029/2	1029/2	0.5	5/8	5/8	4/4	2	1	viio6/V		C	bIII		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
129	129	515	515	0.5	3/4	3/4	4/4	2	1	V		C	bIII		V	V							M	0	0	1, 5, 2		1	1
129	129	1031/2	1031/2	0.5	7/8	7/8	4/4	2	1	vii%65/V		C	bIII		vii%65/V	vii	%	65		V			%7	0	0	3, 0, 4, 6		6	3
130	130	516	516	0.5	0	0	4/4	2	1	V		C	bIII		V	V							M	0	0	1, 5, 2		1	1
130	130	1033/2	1033/2	0.5	1/8	1/8	4/4	2	1	vii%65/V		C	bIII		vii%65/V	vii	%	65		V			%7	0	0	3, 0, 4, 6		6	3
130	130	517	517	1.5	1/4	1/4	4/4	2	1	vii%43/V		C	bIII		vii%43/V	vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
130	130	1037/2	1037/2	0.5	5/8	5/8	4/4	2	1	#viio65/iii		C	bIII		#viio65/iii	#vii	o	65		iii			o7	0	0	6, 3, 0, 9		9	6
130	130	519	519	1.0	3/4	3/4	4/4	2	1	#viio43/iii		C	bIII		#viio43/iii	#vii	o	43		iii			o7	0	0	3, 0, 9, 6		9	3
131	131	520	520	0.5	0	0	4/4	2	1	viio6/V		C	bIII		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
131	131	1041/2	1041/2	0.5	1/8	1/8	4/4	2	1	V		C	bIII		V	V							M	0	0	1, 5, 2		1	1
131	131	521	521	0.5	1/4	1/4	4/4	2	1	vii%7/V		C	bIII		vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
131	131	1043/2	1043/2	0.5	3/8	3/8	4/4	2	1	V		C	bIII		V	V							M	0	0	1, 5, 2		1	1
131	131	522	522	0.5	1/2	1/2	4/4	2	1	vii%7/V		C	bIII		vii%7/V	vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
131	131	1045/2	1045/2	0.5	5/8	5/8	4/4	2	1	#viio7/vi		C	bIII		#viio7/vi	#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
131	131	523	523	1.5	3/4	3/4	4/4	2	1	#viio65/vi		C	bIII		#viio65/vi	#vii	o	65		vi			o7	0	0	5, 2, -1, 8		8	5
132	132	1049/2	1049/2	0.5	1/8	1/8	4/4	2	1	vi6		C	bIII		vi6	vi		6					m	0	0	0, 4, 3		3	0
132	132	525	525	0.5	1/4	1/4	4/4	2	1	#viio7(#4)/ii		C	bIII		#viio7(#4)/ii	#vii	o	7	#4	ii			o7	0	0	7, 4, 6, -2		7	7
132	132	1051/2	1051/2	0.25	3/8	3/8	4/4	2	1	V7(4)/V		C	bIII		V7(4)/V	V		7	4	V			Mm7	0	0	2, 1, 3, 0		2	2
132	132	2103/4	2103/4	0.25	7/16	7/16	4/4	2	1	V65/iii		C	bIII		V65/iii	V		65		iii			Mm7	0	0	9, 6, 3, 5		5	9
132	132	526	526	0.5	1/2	1/2	4/4	2	1	I		C	bIII		I	I							M	0	0	0, 4, 1		0	0
132	132	1053/2	1053/2	0.25	5/8	5/8	4/4	2	1	V7/V		C	bIII		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
132	132	2107/4	2107/4	0.25	11/16	11/16	4/4	2	1	#viio7/iii		C	bIII		#viio7/iii	#vii	o	7		iii			o7	0	0	9, 6, 3, 0		9	9
132	132	527	527	0.5	3/4	3/4	4/4	2	1	iii		C	bIII		iii	iii							m	0	0	4, 1, 5		4	4
132	132	1055/2	1055/2	0.25	7/8	7/8	4/4	2	1	vi64		C	bIII		vi64	vi		64					m	0	0	4, 3, 0		3	4
