mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
3	2	6	6	0.5		1/4	1/4	2/2	1	1	1/8		1/8	1		0	72	C5	5	19
3	2	13/2	13/2	0.5		3/8	3/8	2/2	1	1	1/8		1/8	1		2	74	D5	5	20
3	2	7	7	0.5		1/2	1/2	2/2	1	1	1/8		1/8	1		-3	75	Eb5	5	21
3	2	15/2	15/2	0.5		5/8	5/8	2/2	1	1	1/8		1/8	1		4	76	E5	5	22
3	2	8	8	1.0		3/4	3/4	2/2	4	1	1/4		1/4	1		0	48	C3	3	30
3	2	8	8	1.0		3/4	3/4	2/2	3	1	1/4		1/4	1		1	55	G3	3	28
3	2	8	8	1.0		3/4	3/4	2/2	3	1	1/4		1/4	1		-3	63	Eb4	4	28
3	2	8	8	1.0		3/4	3/4	2/2	2	1	1/4		1/4	1		0	72	C5	5	26
3	2	8	8	0.5		3/4	3/4	2/2	1	1	1/8		1/8	1		-1	77	F5	5	23
3	2	17/2	17/2	0.5		7/8	7/8	2/2	1	1	1/8		1/8	1		6	78	F#5	5	24
4	3	9	9	1.0		0	0	2/2	4	1	1/4		1/4	1		5	47	B2	2	43
4	3	9	9	1.0		0	0	2/2	3	1	1/4		1/4	1		1	55	G3	3	39
4	3	9	9	1.0		0	0	2/2	3	1	1/4		1/4	1		-1	65	F4	4	39
4	3	9	9	1.0		0	0	2/2	2	1	1/4		1/4	1		2	74	D5	5	35
4	3	9	9	1.0		0	0	2/2	1	1	1/4		1/4	1		1	79	G5	5	31
4	3	10	10	1.0		1/4	1/4	2/2	4	1	1/4		1/4	1		0	48	C3	3	44
4	3	10	10	1.0		1/4	1/4	2/2	3	1	1/4		1/4	1		1	55	G3	3	40
4	3	10	10	1.0		1/4	1/4	2/2	3	1	1/4		1/4	1		-3	63	Eb4	4	40
4	3	10	10	1.0		1/4	1/4	2/2	2	1	1/4		1/4	1		0	72	C5	5	36
4	3	10	10	1.0		1/4	1/4	2/2	1	1	1/4		1/4	1		1	79	G5	5	32
4	3	11	11	1.0		1/2	1/2	2/2	4	1	1/4		1/4	1		1	43	G2	2	45
4	3	11	11	1.0		1/2	1/2	2/2	3	1	1/4		1/4	1		1	55	G3	3	41
4	3	11	11	1.0		1/2	1/2	2/2	3	1	1/4		1/4	1		2	62	D4	4	41
4	3	11	11	1.0		1/2	1/2	2/2	2	1	1/4		1/4	1		5	71	B4	4	37
4	3	11	11	1.0		1/2	1/2	2/2	1	1	1/4		1/4	1		1	79	G5	5	33
4	3	12	12	1.0		3/4	3/4	2/2	4	1	1/4		1/4	1		0	48	C3	3	46
4	3	12	12	1.0		3/4	3/4	2/2	3	1	1/4		1/4	1		1	55	G3	3	42
4	3	12	12	1.0		3/4	3/4	2/2	3	1	1/4		1/4	1		-3	63	Eb4	4	42
4	3	12	12	1.0		3/4	3/4	2/2	2	1	1/4		1/4	1		0	72	C5	5	38
4	3	12	12	1.0		3/4	3/4	2/2	1	1	1/4		1/4	1		1	79	G5	5	34
5	4	13	13	3.0		0	0	2/2	4	1	3/4		1/2	3/2		1	43	G2	2	52
5	4	13	13	3.0		0	0	2/2	3	1	3/4		1/2	3/2		1	55	G3	3	51
5	4	13	13	3.0		0	0	2/2	3	1	3/4		1/2	3/2		2	62	D4	4	51
5	4	13	13	3.0		0	0	2/2	2	1	3/4		1/2	3/2		5	71	B4	4	50
5	4	13	13	3.0		0	0	2/2	1	1	3/4		1/2	3/2		1	79	G5	5	47
5	4	16	16	0.5		3/4	3/4	2/2	1	1	1/8		1/8	1		-3	75	Eb5	5	48
