mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
12	10	30	10b	101	37	2.0	0	0	2/2	1	1		VII7	c	i		VII7		VII		7						Mm7	1	1	-2, 2, -1, -4		-2	-2
12	10	30	10b	103	39	2.0	1/2	1/2	2/2	1	1		III	c	i		III		III								M	1	1	-3, 1, -2		-3	-3
13	11	31	11b	105	41	2.0	0	0	2/2	1	1		iv6(9)	c	i		iv6(9)		iv		6	9					m	1	1	-4, 0, -1	1	-1	-4
13	11	31	11b	107	43	1.0	1/2	1/2	2/2	1	1		ii%43	c	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4
13	11	31	11b	108	44	1.0	3/4	3/4	2/2	1	1		.It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
14	12	32	12b	109	45	4.0	0	0	2/2	1	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
15	13	33	13b	113	49	4.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
16	14	34	14b	117	53	1.0	0	0	2/2	1	1		i6	c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
16	14	34	14b	118	54	1.0	1/4	1/4	2/2	1	1		V2/iv	c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
16	14	34	14b	119	55	1.0	1/2	1/2	2/2	1	1		iv65	c	i		iv65		iv		65						mm7	1	1	-4, 0, -3, -1		-1	-4
16	14	34	14b	120	56	1.0	3/4	3/4	2/2	1	1		V64/iv	c	i		V64/iv		V		64		iv				M	1	1	1, 0, 4		0	1
17	15	35	15b	121	57	1.0	0	0	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
17	15	35	15b	122	58	1.0	1/4	1/4	2/2	1	1		.It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
17	15	35	15b	123	59	1.0	1/2	1/2	2/2	1	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
17	15	35	15b	124	60	1.0	3/4	3/4	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
18	16	36	16b	125	61	4.0	0	0	2/2	1	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
20	17	38	17a	129	65	4.0	0	0	2/2	1	1		VI.I	c	VI		I		I								M	1	0	0, 4, 1		0	0
21	18	39	18a	133	69	4.0	0	0	2/2	1	1		V43	c	VI		V43		V		43						Mm7	1	0	2, -1, 1, 5		1	2
22	19	40	19a	137	73	2.0	0	0	2/2	1	1		I6	c	VI		I6		I		6						M	1	0	4, 1, 0		0	4
22	19	40	19a	139	75	2.0	1/2	1/2	2/2	1	1		#viio6/V	c	VI		#viio6/V		#vii	o	6		V				o	1	0	3, 0, 6		6	3
23	20	41	20a	141	77	2.0	0	0	2/2	1	1		V(4)	c	VI		V(4)		V			4					M	1	0	1, 0, 2		1	1
23	20	41	20a	143	79	2.0	1/2	1/2	2/2	1	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
24	21	42	21a	145	81	2.0	0	0	2/2	1	1		#viio43/ii	c	VI		#viio43/ii		#vii	o	43		ii				o7	1	0	1, -2, 7, 4		7	1
24	21	42	21a	147	83	2.0	1/2	1/2	2/2	1	1		ii6	c	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
25	22	43	22a	149	85	2.0	0	0	2/2	1	1		viio43	c	VI		viio43		vii	o	43						o7	1	0	-1, -4, 5, 2		5	-1
25	22	43	22a	151	87	2.0	1/2	1/2	2/2	1	1		I6	c	VI		I6		I		6						M	1	0	4, 1, 0		0	4
26	23	44	23a	153	89	1.0	0	0	2/2	1	1		ii6(94)	c	VI		ii6(94)		ii		6	94					m	1	0	1, 3, 2	4	2	1
26	23	44	23a	154	90	1.0	1/4	1/4	2/2	1	1		ii6	c	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
26	23	44	23a	155	91	1.0	1/2	1/2	2/2	1	1		V(64)	c	VI		V(64)		V			64					M	1	0	1, 0, 4		1	1
26	23	44	23a	156	92	1.0	3/4	3/4	2/2	1	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
27	24	45	24a	157	93	2.0	0	0	2/2	1	1		I(974)	c	VI		I(974)		I			974					M	1	0	0, -1, 1	2, 5	0	0
27	24	45	24a	159	95	2.0	1/2	1/2	2/2	1	1		I\\	c	VI		I		I							\\	M	1	0	0, 4, 1		0	0
20	17	47	17b	161	65	4.0	0	0	2/2	1	1		VI.I	c	VI		I		I								M	1	0	0, 4, 1		0	0
21	18	48	18b	165	69	4.0	0	0	2/2	1	1		V43	c	VI		V43		V		43						Mm7	1	0	2, -1, 1, 5		1	2
22	19	49	19b	169	73	2.0	0	0	2/2	1	1		I6	c	VI		I6		I		6						M	1	0	4, 1, 0		0	4
22	19	49	19b	171	75	2.0	1/2	1/2	2/2	1	1		#viio6/V	c	VI		#viio6/V		#vii	o	6		V				o	1	0	3, 0, 6		6	3
23	20	50	20b	173	77	2.0	0	0	2/2	1	1		V(4)	c	VI		V(4)		V			4					M	1	0	1, 0, 2		1	1
23	20	50	20b	175	79	2.0	1/2	1/2	2/2	1	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
24	21	51	21b	177	81	2.0	0	0	2/2	1	1		#viio43/ii	c	VI		#viio43/ii		#vii	o	43		ii				o7	1	0	1, -2, 7, 4		7	1
24	21	51	21b	179	83	2.0	1/2	1/2	2/2	1	1		ii6	c	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
25	22	52	22b	181	85	2.0	0	0	2/2	1	1		viio43	c	VI		viio43		vii	o	43						o7	1	0	-1, -4, 5, 2		5	-1
25	22	52	22b	183	87	2.0	1/2	1/2	2/2	1	1		I6	c	VI		I6		I		6						M	1	0	4, 1, 0		0	4
26	23	53	23b	185	89	1.0	0	0	2/2	1	1		ii6(94)	c	VI		ii6(94)		ii		6	94					m	1	0	1, 3, 2	4	2	1
26	23	53	23b	186	90	1.0	1/4	1/4	2/2	1	1		ii6	c	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
26	23	53	23b	187	91	1.0	1/2	1/2	2/2	1	1		V(64)	c	VI		V(64)		V			64					M	1	0	1, 0, 4		1	1
26	23	53	23b	188	92	1.0	3/4	3/4	2/2	1	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
27	24	54	24b	189	93	2.0	0	0	2/2	1	1		I(974)	c	VI		I(974)		I			974					M	1	0	0, -1, 1	2, 5	0	0
27	24	54	24b	191	95	2.0	1/2	1/2	2/2	1	1		I\\	c	VI		I		I							\\	M	1	0	0, 4, 1		0	0
29	25	56	25a	193	97	4.0	0	0	2/2	1	1		V	c	VI		V		V								M	1	0	1, 5, 2		1	1
30	26	57	26a	197	101	4.0	0	0	2/2	1	1		V7/V	c	VI		V7/V		V		7		V				Mm7	1	0	2, 6, 3, 0		2	2
31	27	58	27a	201	105	0.0	0	0	2/2	1	1		V	c	VI		V		V								M	1	0	1, 5, 2		1	1
31	27	58	27a	201	105	4.0	0	0	2/2	1	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
32	28	59	28a	205	109	4.0	0	0	2/2	1	1		I	c	VI		I		I								M	1	0	0, 4, 1		0	0
33	29	60	29a	209	113	4.0	0	0	2/2	1	1		V	c	VI		V		V								M	1	0	1, 5, 2		1	1
34	30	61	30a	213	117	4.0	0	0	2/2	1	1		V7/V	c	VI		V7/V		V		7		V				Mm7	1	0	2, 6, 3, 0		2	2
35	31	62	31a	217	121	2.0	0	0	2/2	1	1		V	c	VI		V		V								M	1	0	1, 5, 2		1	1
35	31	62	31a	219	123	2.0	1/2	1/2	2/2	1	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
36	32	63	32a	221	125	2.0	0	0	2/2	1	1		vi7	c	VI		vi7		vi		7						mm7	1	0	3, 0, 4, 1		3	3
36	32	63	32a	223	127	1.0	1/2	1/2	2/2	1	1		V6	c	VI		V6		V		6						M	1	0	5, 2, 1		1	5
36	32	63	32a	224	128	1.0	3/4	3/4	2/2	1	1		V65	c	VI		V65		V		65						Mm7	1	0	5, 2, -1, 1		1	5
37	33	64	33a	225	129	4.0	0	0	2/2	1	1		I	c	VI		I		I								M	1	0	0, 4, 1		0	0
38	34	65	34a	229	133	4.0	0	0	2/2	1	1		V43	c	VI		V43		V		43						Mm7	1	0	2, -1, 1, 5		1	2
39	35	66	35a	233	137	2.0	0	0	2/2	1	1		I6	c	VI		I6		I		6						M	1	0	4, 1, 0		0	4
39	35	66	35a	235	139	2.0	1/2	1/2	2/2	1	1		#viio6/V	c	VI		#viio6/V		#vii	o	6		V				o	1	0	3, 0, 6		6	3
40	36	67	36a	237	141	2.0	0	0	2/2	1	1		V(4)	c	VI		V(4)		V			4					M	1	0	1, 0, 2		1	1
40	36	67	36a	239	143	2.0	1/2	1/2	2/2	1	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
41	37	68	37a	241	145	2.0	0	0	2/2	1	1		V2/ii	c	VI		V2/ii		V		2		ii				Mm7	1	0	1, 3, 7, 4		3	1
41	37	68	37a	243	147	2.0	1/2	1/2	2/2	1	1		ii6	c	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
42	38	69	38a	245	149	1.0	0	0	2/2	1	1		viio64	c	VI		viio64		vii	o	64						o	1	0	-1, 5, 2		5	-1
42	38	69	38a	246	150	1.0	1/4	1/4	2/2	1	1		V2	c	VI		V2		V		2						Mm7	1	0	-1, 1, 5, 2		1	-1
42	38	69	38a	247	151	1.0	1/2	1/2	2/2	1	1		I6	c	VI		I6		I		6						M	1	0	4, 1, 0		0	4
42	38	69	38a	248	152	1.0	3/4	3/4	2/2	1	1		I+6	c	VI		I+6		I	+	6						+	1	0	4, 8, 0		0	4
43	39	70	39a	249	153	1.0	0	0	2/2	1	1		IV	c	VI		IV		IV								M	1	0	-1, 3, 0		-1	-1
43	39	70	39a	250	154	1.0	1/4	1/4	2/2	1	1		ii6	c	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
43	39	70	39a	251	155	2.0	1/2	1/2	2/2	1	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
44	40	71	40a	253	157	2.0	0	0	2/2	1	1	1	I(94)	c	VI		I(94)		I			94					M	1	0	0, -1, 1	2	0	0
44	40	71	40a	255	159	2.0	1/2	1/2	2/2	1	1	1	I\\	c	VI		I		I							\\	M	1	0	0, 4, 1		0	0
29	25	72	25b	257	97	4.0	0	0	2/2	1	1		V	c	VI		V		V								M	1	0	1, 5, 2		1	1
30	26	73	26b	261	101	4.0	0	0	2/2	1	1		V7/V	c	VI		V7/V		V		7		V				Mm7	1	0	2, 6, 3, 0		2	2
31	27	74	27b	265	105	0.0	0	0	2/2	1	1		V	c	VI		V		V								M	1	0	1, 5, 2		1	1
31	27	74	27b	265	105	4.0	0	0	2/2	1	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
32	28	75	28b	269	109	4.0	0	0	2/2	1	1		I	c	VI		I		I								M	1	0	0, 4, 1		0	0
33	29	76	29b	273	113	4.0	0	0	2/2	1	1		V	c	VI		V		V								M	1	0	1, 5, 2		1	1
34	30	77	30b	277	117	4.0	0	0	2/2	1	1		V7/V	c	VI		V7/V		V		7		V				Mm7	1	0	2, 6, 3, 0		2	2
35	31	78	31b	281	121	2.0	0	0	2/2	1	1		V	c	VI		V		V								M	1	0	1, 5, 2		1	1
35	31	78	31b	283	123	2.0	1/2	1/2	2/2	1	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
36	32	79	32b	285	125	2.0	0	0	2/2	1	1		vi7	c	VI		vi7		vi		7						mm7	1	0	3, 0, 4, 1		3	3
36	32	79	32b	287	127	1.0	1/2	1/2	2/2	1	1		V6	c	VI		V6		V		6						M	1	0	5, 2, 1		1	5
36	32	79	32b	288	128	1.0	3/4	3/4	2/2	1	1		V65	c	VI		V65		V		65						Mm7	1	0	5, 2, -1, 1		1	5
37	33	80	33b	289	129	4.0	0	0	2/2	1	1		I	c	VI		I		I								M	1	0	0, 4, 1		0	0
38	34	81	34b	293	133	4.0	0	0	2/2	1	1		V43	c	VI		V43		V		43						Mm7	1	0	2, -1, 1, 5		1	2
39	35	82	35b	297	137	2.0	0	0	2/2	1	1		I6	c	VI		I6		I		6						M	1	0	4, 1, 0		0	4
39	35	82	35b	299	139	2.0	1/2	1/2	2/2	1	1		#viio6/V	c	VI		#viio6/V		#vii	o	6		V				o	1	0	3, 0, 6		6	3
40	36	83	36b	301	141	2.0	0	0	2/2	1	1		V(4)	c	VI		V(4)		V			4					M	1	0	1, 0, 2		1	1
40	36	83	36b	303	143	2.0	1/2	1/2	2/2	1	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
41	37	84	37b	305	145	2.0	0	0	2/2	1	1		V2/ii	c	VI		V2/ii		V		2		ii				Mm7	1	0	1, 3, 7, 4		3	1
41	37	84	37b	307	147	2.0	1/2	1/2	2/2	1	1		ii6	c	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
42	38	85	38b	309	149	1.0	0	0	2/2	1	1		viio64	c	VI		viio64		vii	o	64						o	1	0	-1, 5, 2		5	-1
42	38	85	38b	310	150	1.0	1/4	1/4	2/2	1	1		V2	c	VI		V2		V		2						Mm7	1	0	-1, 1, 5, 2		1	-1
42	38	85	38b	311	151	1.0	1/2	1/2	2/2	1	1		I6	c	VI		I6		I		6						M	1	0	4, 1, 0		0	4
42	38	85	38b	312	152	1.0	3/4	3/4	2/2	1	1		I+6	c	VI		I+6		I	+	6						+	1	0	4, 8, 0		0	4
43	39	86	39b	313	153	1.0	0	0	2/2	1	1		IV	c	VI		IV		IV								M	1	0	-1, 3, 0		-1	-1
43	39	86	39b	314	154	1.0	1/4	1/4	2/2	1	1		ii6	c	VI		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
43	39	86	39b	315	155	6.0	1/2	1/2	2/2	1	1		V7	c	VI		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
46	42	88	42a	321	165	8.0	0	0	2/2	1	1		i.i	c	i		i		i								m	1	1	0, -3, 1		0	0
48	44	90	44a	329	173	1.0	0	0	2/2	1	1		V65	c	i		V65		V		65						Mm7	1	1	5, 2, -1, 1		1	5
48	44	90	44a	330	174	1.0	1/4	1/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
48	44	90	44a	331	175	1.0	1/2	1/2	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
48	44	90	44a	332	176	1.0	3/4	3/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
49	45	91	45a	333	177	4.0	0	0	2/2	1	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
50	46	92	46a	337	181	4.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
51	47	93	47a	341	185	3.0	0	0	2/2	1	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
51	47	93	47a	344	188	1.0	3/4	3/4	2/2	1	1		#viio7/V	c	v		#viio7/V		#vii	o	7		V				o7	1	1	6, 3, 0, -3		6	6
52	48	94	48a	345	189	1.0	0	0	2/2	1	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
52	48	94	48a	346	190	1.0	1/4	1/4	2/2	1	1		.It6	c	v		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
52	48	94	48a	347	191	1.0	1/2	1/2	2/2	1	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
52	48	94	48a	348	192	1.0	3/4	3/4	2/2	1	1		V	c	v		V		V								M	1	1	1, 5, 2		1	1
53	49	95	49a	349	193	4.0	0	0	2/2	1	1		i\\	c	v		i		i							\\	m	1	1	0, -3, 1		0	0
54	50	96	50a	353	197	8.0	0	0	2/2	1	1		i.i	c	i		i		i								m	1	1	0, -3, 1		0	0
56	52	98	52a	361	205	1.0	0	0	2/2	1	1		V65	c	i		V65		V		65						Mm7	1	1	5, 2, -1, 1		1	5
56	52	98	52a	362	206	1.0	1/4	1/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
56	52	98	52a	363	207	1.0	1/2	1/2	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
56	52	98	52a	364	208	1.0	3/4	3/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
57	53	99	53a	365	209	4.0	0	0	2/2	1	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
58	54	100	54a	369	213	4.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
59	55	101	55a	373	217	2.0	0	0	2/2	1	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
59	55	101	55a	375	219	2.0	1/2	1/2	2/2	1	1		#viio7/V	c	v		#viio7/V		#vii	o	7		V				o7	1	1	6, 3, 0, -3		6	6
60	56	102	56a	377	221	1.0	0	0	2/2	1	1		i64	c	v		i64		i		64						m	1	1	1, 0, -3		0	1
60	56	102	56a	378	222	1.0	1/4	1/4	2/2	1	1		VI	c	v		VI		VI								M	1	1	-4, 0, -3		-4	-4
60	56	102	56a	379	223	1.0	1/2	1/2	2/2	1	1		V65/V	c	v		V65/V		V		65		V				Mm7	1	1	6, 3, 0, 2		2	6
60	56	102	56a	380	224	1.0	3/4	3/4	2/2	1	1		V7	c	v		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
61	57	103	57a	381	225	4.0	0	0	2/2	1	1		i\\	c	v		i		i							\\	m	1	1	0, -3, 1		0	0
62	58	104	58a	385	229	1.0	0	0	2/2	1	1		i.V6/iv	c	i		V6/iv		V		6		iv				M	1	1	4, 1, 0		0	4
62	58	104	58a	386	230	1.0	1/4	1/4	2/2	1	1		V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
62	58	104	58a	387	231	2.0	1/2	1/2	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
63	59	105	59a	389	233	2.0	0	0	2/2	1	1		VII7	c	i		VII7		VII		7						Mm7	1	1	-2, 2, -1, -4		-2	-2
63	59	105	59a	391	235	2.0	1/2	1/2	2/2	1	1		III	c	i		III		III								M	1	1	-3, 1, -2		-3	-3
64	60	106	60a	393	237	2.0	0	0	2/2	1	1		iv6	c	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
64	60	106	60a	395	239	1.0	1/2	1/2	2/2	1	1		ii%43	c	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4
64	60	106	60a	396	240	1.0	3/4	3/4	2/2	1	1		.It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
65	61	107	61a	397	241	4.0	0	0	2/2	1	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
66	62	108	62a	401	245	4.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
67	63	109	63a	405	249	1.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
67	63	109	63a	406	250	1.0	1/4	1/4	2/2	1	1		V2/iv	c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
67	63	109	63a	407	251	1.0	1/2	1/2	2/2	1	1		iv65	c	i		iv65		iv		65						mm7	1	1	-4, 0, -3, -1		-1	-4
67	63	109	63a	408	252	1.0	3/4	3/4	2/2	1	1		V64/iv	c	i		V64/iv		V		64		iv				M	1	1	1, 0, 4		0	1
68	64	110	64a	409	253	1.0	0	0	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
68	64	110	64a	410	254	1.0	1/4	1/4	2/2	1	1		.It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
68	64	110	64a	411	255	1.0	1/2	1/2	2/2	1	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
68	64	110	64a	412	256	1.0	3/4	3/4	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
69	65	111	65a	413	257	4.0	0	0	2/2	1	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
70	66	112	66a	417	261	2.0	0	0	2/2	1	1		V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
