mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
107	107	172	107a	637	4.0	-3	2/2	1	0							108
108	108	173	108a	641	4.0	-3	2/2	1	0							109
109	109	174	109a	645	4.0	-3	2/2	1	0							110
110	110	175	110a	649	4.0	-3	2/2	1	0							111
111	111	176	111a	653	4.0	-3	2/2	1	0							112
112	112	177	112a	657	4.0	-3	2/2	1	0							113
113	113	178	113a	661	4.0	-3	2/2	1	0							114
114	114	179	114a	665	4.0	-3	2/2	1	0							115
115	115	180	115a	669	4.0	-3	2/2	1	0							116
116	116	181	116a	673	4.0	-3	2/2	1	0							117
117	117	182	117a	677	4.0	-3	2/2	1	0							118
118	118	183	118a	681	4.0	-3	2/2	1	0							119
119	119	184	119a	685	4.0	-3	2/2	1	0							120
120	120	185	120a	689	4.0	-3	2/2	1	0							121
121	121	186	121a	693	4.0	-3	2/2	1	0							122
122	122	187	122a	697	4.0	-3	2/2	1	0							123
123	123	188	123a	701	4.0	-3	2/2	1	0							124
124	124	189	124a	705	4.0	-3	2/2	1	0							125
125	125	190	125a	709	4.0	-3	2/2	1	0							126
126	126	191	126a	713	4.0	-3	2/2	1	0							127
127	127	192	127a	717	4.0	-3	2/2	1	0							128
128	128	193	128a	721	4.0	-3	2/2	1	0							129
129	129	194	129a	725	4.0	-3	2/2	1	0							130
130	130	195	130a	729	4.0	-3	2/2	1	0							131
131	131	196	131a	733	4.0	-3	2/2	1	0							132
132	132	197	132a	737	4.0	-3	2/2	1	0							133
133	133	198	133a	741	4.0	-3	2/2	1	0							134
134	134	199	134a	745	4.0	-3	2/2	1	0							135
135	135	200	135a	749	4.0	-3	2/2	1	0							136
136	136	201	136a	753	4.0	-3	2/2	1	0							137
137	137	202	137a	757	4.0	-3	2/2	1	0							138
138	138	203	138a	761	4.0	-3	2/2	1	0							139
139	139	204	139a	765	4.0	-3	2/2	1	0							140
140	140	205	140a	769	4.0	-3	2/2	1	0							141
141	141	206	141a	773	4.0	-3	2/2	1	0							142
142	142	207	142a	777	4.0	-3	2/2	1	0							143
143	143	208	143a	781	4.0	-3	2/2	1	0							144
144	144	209	144a	785	4.0	-3	2/2	1	0							145
145	145	210	145a	789	4.0	-3	2/2	1	0							146
146	146	211	146a	793	4.0	-3	2/2	1	0							147
147	147	212	147a	797	4.0	-3	2/2	1	0							148
