mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	crescendo_hairpin	decrescendo_hairpin
3	3	3	3a	13/2	13/2	0.25	3/8	3/8	Chord	9/8	1	1	1/16			1/16	1	29									3
3	3	3	3a	27/4	27/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	30									3
3	3	3	3a	7	7	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	31									3
3	3	3	3a	29/4	29/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	32									3
3	3	3	3a	15/2	15/2	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	33									3
3	3	3	3a	31/4	31/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	34									3
3	3	3	3a	8	8	0.25	3/4	3/4	Chord	9/8	1	1	1/16			1/16	1	35									3
3	3	3	3a	33/4	33/4	0.25	13/16	13/16	Chord	9/8	1	1	1/16			1/16	1	36									3
3	3	3	3a	17/2	17/2	0.5	7/8	7/8	Chord	9/8	1	1	1/8			1/8	1	37
3	3	3	3a	9	9	0.0	1	1	Dynamic	9/8	2	1	0						f
3	3	3	3a	9	9	0.125	1	1	Chord	9/8	2	1	1/32			1/32	1	38									4
3	3	3	3a	73/8	73/8	0.125	33/32	33/32	Chord	9/8	2	1	1/32			1/32	1	39									4
3	3	3	3a	37/4	37/4	0.125	17/16	17/16	Chord	9/8	2	1	1/32			1/32	1	40									4
3	3	3	3a	75/8	75/8	0.125	35/32	35/32	Chord	9/8	2	1	1/32			1/32	1	41
4	4	4	4a	19/2	19/2	0.25	0	0	Chord	9/8	1	1	1/16			1/16	1	42									5
4	4	4	4a	39/4	39/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	43									5
4	4	4	4a	10	10	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	44									5
4	4	4	4a	41/4	41/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	45									5
4	4	4	4a	21/2	21/2	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	46									5
4	4	4	4a	43/4	43/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	47									5
4	4	4	4a	11	11	0.25	3/8	3/8	Chord	9/8	1	1	1/16			1/16	1	48									5
4	4	4	4a	45/4	45/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	49									5
4	4	4	4a	23/2	23/2	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	50									5
4	4	4	4a	47/4	47/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	51									5
4	4	4	4a	12	12	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	52									5
4	4	4	4a	49/4	49/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	53									5
4	4	4	4a	25/2	25/2	0.25	3/4	3/4	Chord	9/8	1	1	1/16			1/16	1	54									5
4	4	4	4a	51/4	51/4	0.25	13/16	13/16	Chord	9/8	1	1	1/16			1/16	1	55									5
4	4	4	4a	13	13	0.5	7/8	7/8	Chord	9/8	1	1	1/8			1/8	1	56
4	4	4	4a	27/2	27/2	0.0	1	1	Dynamic	9/8	2	1	0						f
4	4	4	4a	27/2	27/2	0.125	1	1	Chord	9/8	2	1	1/32			1/32	1	57									6
4	4	4	4a	109/8	109/8	0.125	33/32	33/32	Chord	9/8	2	1	1/32			1/32	1	58									6
4	4	4	4a	55/4	55/4	0.125	17/16	17/16	Chord	9/8	2	1	1/32			1/32	1	59									6
4	4	4	4a	111/8	111/8	0.125	35/32	35/32	Chord	9/8	2	1	1/32			1/32	1	60
5	5	5	5a	14	14	0.25	0	0	Chord	9/8	1	1	1/16			1/16	1	61									7
5	5	5	5a	57/4	57/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	62									7
5	5	5	5a	29/2	29/2	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	63									7
5	5	5	5a	59/4	59/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	64									7
5	5	5	5a	15	15	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	65									7
5	5	5	5a	61/4	61/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	66									7
5	5	5	5a	31/2	31/2	0.25	3/8	3/8	Chord	9/8	1	1	1/16			1/16	1	67									7
5	5	5	5a	63/4	63/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	68									7
5	5	5	5a	16	16	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	69									7
5	5	5	5a	65/4	65/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	70									7
5	5	5	5a	33/2	33/2	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	71									7
5	5	5	5a	67/4	67/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	72									7
5	5	5	5a	17	17	0.25	3/4	3/4	Chord	9/8	1	1	1/16			1/16	1	73									7
5	5	5	5a	69/4	69/4	0.25	13/16	13/16	Chord	9/8	1	1	1/16			1/16	1	74									7
5	5	5	5a	35/2	35/2	0.5	7/8	7/8	Chord	9/8	1	1	1/8			1/8	1	75
5	5	5	5a	18	18	0.0	1	1	Dynamic	9/8	2	1	0						f
5	5	5	5a	18	18	0.125	1	1	Chord	9/8	2	1	1/32			1/32	1	76									8
5	5	5	5a	145/8	145/8	0.125	33/32	33/32	Chord	9/8	2	1	1/32			1/32	1	77									8
5	5	5	5a	73/4	73/4	0.125	17/16	17/16	Chord	9/8	2	1	1/32			1/32	1	78									8
5	5	5	5a	147/8	147/8	0.125	35/32	35/32	Chord	9/8	2	1	1/32			1/32	1	79
6	6	6	6a	37/2	37/2	0.0	0	0	StaffText	9/8	1	1	0								"<font size=""8.185""/><i>sempre </i>"
6	6	6	6a	37/2	37/2	0.0	0	0	Dynamic	9/8	1	1	0						f
6	6	6	6a	37/2	37/2	0.25	0	0	Chord	9/8	1	1	1/16			1/16	1	80									9
6	6	6	6a	75/4	75/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	81									9
6	6	6	6a	19	19	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	82									9
6	6	6	6a	77/4	77/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	83									9
6	6	6	6a	39/2	39/2	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	84									9
6	6	6	6a	79/4	79/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	85									9
6	6	6	6a	20	20	0.25	3/8	3/8	Chord	9/8	1	1	1/16			1/16	1	86									9
6	6	6	6a	81/4	81/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	87									9
6	6	6	6a	41/2	41/2	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	88									9
6	6	6	6a	83/4	83/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	89									9
6	6	6	6a	21	21	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	90									9
6	6	6	6a	85/4	85/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	91									9
6	6	6	6a	43/2	43/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8			1/8	1	92									9
6	6	6	6a	45/2	45/2	0.125	1	1	Chord	9/8	1	1	1/32			1/32	1	93									10
6	6	6	6a	181/8	181/8	0.125	33/32	33/32	Chord	9/8	1	1	1/32			1/32	1	94									10
6	6	6	6a	91/4	91/4	0.125	17/16	17/16	Chord	9/8	1	1	1/32			1/32	1	95									10
6	6	6	6a	183/8	183/8	0.125	35/32	35/32	Chord	9/8	1	1	1/32			1/32	1	96									10
6	6	6	6a	20	20	0.0	3/8	3/8	Dynamic	9/8	2	1	0						p
6	6	6	6a	20	20	0.75	3/8	3/8	Chord	9/8	2	1	3/16			1/8	3/2	97		articStaccatissimoAbove
6	6	6	6a	83/4	83/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16			1/16	1	98		articStaccatissimoAbove
6	6	6	6a	21	21	0.5	5/8	5/8	Chord	9/8	2	1	1/8			1/8	1	99		articStaccatissimoAbove
6	6	6	6a	43/2	43/2	0.75	3/4	3/4	Chord	9/8	2	1	3/16			1/8	3/2	100		articStaccatissimoAbove
6	6	6	6a	89/4	89/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16			1/16	1	101		articStaccatissimoAbove
6	6	6	6a	45/2	45/2	0.5	1	1	Chord	9/8	2	1	1/8			1/8	1	102		articStaccatissimoAbove
7	7	7	7a	23	23	0.25	0	0	Chord	9/8	1	1	1/16			1/16	1	103									10
7	7	7	7a	93/4	93/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	104									10
7	7	7	7a	47/2	47/2	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	105									10
7	7	7	7a	95/4	95/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	106									10
7	7	7	7a	24	24	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	107									10
7	7	7	7a	97/4	97/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	108									10
7	7	7	7a	49/2	49/2	0.25	3/8	3/8	Chord	9/8	1	1	1/16			1/16	1	109									10
7	7	7	7a	99/4	99/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	110									10
7	7	7	7a	25	25	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	111									10
7	7	7	7a	101/4	101/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	112									10
7	7	7	7a	51/2	51/2	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	113									10
7	7	7	7a	103/4	103/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	114									10
7	7	7	7a	26	26	0.5	3/4	3/4	Chord	9/8	1	1	1/8			1/8	1	115
7	7	7	7a	27	27	0.125	1	1	Chord	9/8	1	1	1/32			1/32	1	116									11
7	7	7	7a	217/8	217/8	0.125	33/32	33/32	Chord	9/8	1	1	1/32			1/32	1	117									11
7	7	7	7a	109/4	109/4	0.125	17/16	17/16	Chord	9/8	1	1	1/32			1/32	1	118									11
7	7	7	7a	219/8	219/8	0.125	35/32	35/32	Chord	9/8	1	1	1/32			1/32	1	119									11
7	7	7	7a	49/2	49/2	0.0	3/8	3/8	StaffText	9/8	2	1	0								"<font size=""8.185""/><i>cresc.</i>"
7	7	7	7a	49/2	49/2	0.0	3/8	3/8	Spanner	9/8	2	1	0																0
7	7	7	7a	49/2	49/2	0.75	3/8	3/8	Chord	9/8	2	1	3/16			1/8	3/2	120		articStaccatissimoAbove									0
7	7	7	7a	101/4	101/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16			1/16	1	121		articStaccatissimoAbove									0
7	7	7	7a	51/2	51/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8			1/8	1	122		articStaccatissimoAbove									0
7	7	7	7a	26	26	0.75	3/4	3/4	Chord	9/8	2	1	3/16			1/8	3/2	123		articStaccatissimoAbove									0
7	7	7	7a	107/4	107/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16			1/16	1	124		articStaccatissimoAbove									0
7	7	7	7a	27	27	0.5	1	1	Chord	9/8	2	1	1/8			1/8	1	125		articStaccatissimoAbove									0
8	8	8	8a	55/2	55/2	0.25	0	0	Chord	9/8	1	1	1/16			1/16	1	126									11
8	8	8	8a	111/4	111/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	127									11
8	8	8	8a	28	28	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	128									11
8	8	8	8a	113/4	113/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	129									11
8	8	8	8a	57/2	57/2	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	130									11
8	8	8	8a	115/4	115/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	131									11
8	8	8	8a	29	29	0.25	3/8	3/8	Chord	9/8	1	1	1/16			1/16	1	132									11
8	8	8	8a	117/4	117/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	133									11
8	8	8	8a	59/2	59/2	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	134									11
8	8	8	8a	119/4	119/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	135									11
8	8	8	8a	30	30	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	136									11
8	8	8	8a	121/4	121/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	137									11
8	8	8	8a	61/2	61/2	0.5	3/4	3/4	Chord	9/8	1	1	1/8			1/8	1	138
8	8	8	8a	63/2	63/2	0.125	1	1	Chord	9/8	1	1	1/32			1/32	1	139									12
8	8	8	8a	253/8	253/8	0.125	33/32	33/32	Chord	9/8	1	1	1/32			1/32	1	140									12
8	8	8	8a	127/4	127/4	0.125	17/16	17/16	Chord	9/8	1	1	1/32			1/32	1	141									12
8	8	8	8a	255/8	255/8	0.125	35/32	35/32	Chord	9/8	1	1	1/32			1/32	1	142									12
8	8	8	8a	29	29	0.75	3/8	3/8	Chord	9/8	2	1	3/16			1/8	3/2	143		articStaccatissimoAbove									0
8	8	8	8a	119/4	119/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16			1/16	1	144		articStaccatissimoAbove									0
8	8	8	8a	30	30	0.5	5/8	5/8	Chord	9/8	2	1	1/8			1/8	1	145		articStaccatissimoAbove									0
8	8	8	8a	61/2	61/2	0.75	3/4	3/4	Chord	9/8	2	1	3/16			1/8	3/2	146		articStaccatissimoAbove									0
8	8	8	8a	125/4	125/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16			1/16	1	147		articStaccatissimoAbove									0
8	8	8	8a	63/2	63/2	0.5	1	1	Chord	9/8	2	1	1/8			1/8	1	148		articStaccatissimoAbove									0
9	9	9	9a	32	32	0.25	0	0	Chord	9/8	1	1	1/16			1/16	1	149									12
9	9	9	9a	129/4	129/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	150									12
9	9	9	9a	65/2	65/2	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	151									12
9	9	9	9a	131/4	131/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	152									12
9	9	9	9a	33	33	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	153									12
9	9	9	9a	133/4	133/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	154									12
9	9	9	9a	67/2	67/2	0.25	3/8	3/8	Chord	9/8	1	1	1/16			1/16	1	155									12
9	9	9	9a	135/4	135/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	156									12
9	9	9	9a	34	34	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	157									12
9	9	9	9a	137/4	137/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	158									12
9	9	9	9a	69/2	69/2	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	159									12
9	9	9	9a	139/4	139/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	160									12
9	9	9	9a	35	35	0.5	3/4	3/4	Chord	9/8	1	1	1/8			1/8	1	161
9	9	9	9a	67/2	67/2	0.0	3/8	3/8	StaffText	9/8	2	1	0								"<font size=""8.185""/><i>più cresc.</i>"
9	9	9	9a	67/2	67/2	0.0	3/8	3/8	Spanner	9/8	2	1	0
9	9	9	9a	67/2	67/2	0.0	3/8	3/8	Spanner	9/8	2	1	0																1
9	9	9	9a	67/2	67/2	0.75	3/8	3/8	Chord	9/8	2	1	3/16			1/8	3/2	162		articStaccatissimoAbove									1
9	9	9	9a	137/4	137/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16			1/16	1	163		articStaccatissimoAbove									1
9	9	9	9a	69/2	69/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8			1/8	1	164		articStaccatissimoAbove									1
9	9	9	9a	35	35	0.75	3/4	3/4	Chord	9/8	2	1	3/16			1/8	3/2	165		articStaccatissimoAbove									1
9	9	9	9a	143/4	143/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16			1/16	1	166		articStaccatissimoAbove									1
9	9	9	9a	36	36	0.5	1	1	Chord	9/8	2	1	1/8			1/8	1	167		articStaccatissimoAbove									1
10	10	10	10a	147/4	147/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	168									13
10	10	10	10a	37	37	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	169									13
10	10	10	10a	149/4	149/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	170									13
10	10	10	10a	75/2	75/2	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	171									13
10	10	10	10a	151/4	151/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	172									13
10	10	10	10a	153/4	153/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	173									14
10	10	10	10a	77/2	77/2	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	174									14
10	10	10	10a	155/4	155/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	175									14
10	10	10	10a	39	39	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	176									14
10	10	10	10a	157/4	157/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	177
10	10	10	10a	159/4	159/4	0.25	13/16	13/16	Chord	9/8	1	1	1/16			1/16	1	178									15
10	10	10	10a	40	40	0.25	7/8	7/8	Chord	9/8	1	1	1/16			1/16	1	179									15
10	10	10	10a	161/4	161/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16			1/16	1	180									15
10	10	10	10a	81/2	81/2	0.25	1	1	Chord	9/8	1	1	1/16			1/16	1	181									15
10	10	10	10a	163/4	163/4	0.25	17/16	17/16	Chord	9/8	1	1	1/16			1/16	1	182
10	10	10	10a	73/2	73/2	0.0	0	0	Dynamic	9/8	2	1	0						f										1
10	10	10	10a	73/2	73/2	1.5	0	0	Chord	9/8	2	1	3/8			1/4	3/2	183											1
10	10	10	10a	38	38	0.0	3/8	3/8	Dynamic	9/8	2	1	0						f
10	10	10	10a	38	38	0.0	3/8	3/8	Spanner	9/8	2	1	0
10	10	10	10a	38	38	0.75	3/8	3/8	Chord	9/8	2	1	3/16			1/8	3/2	184		articStaccatissimoAbove
10	10	10	10a	155/4	155/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16			1/16	1	185		articStaccatissimoAbove
10	10	10	10a	39	39	0.5	5/8	5/8	Chord	9/8	2	1	1/8			1/8	1	186		articStaccatissimoAbove
10	10	10	10a	79/2	79/2	0.75	3/4	3/4	Chord	9/8	2	1	3/16			1/8	3/2	187		articStaccatissimoAbove
10	10	10	10a	161/4	161/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16			1/16	1	188		articStaccatissimoAbove
10	10	10	10a	81/2	81/2	0.5	1	1	Chord	9/8	2	1	1/8			1/8	1	189		articStaccatissimoAbove
11	11	11	11a	165/4	165/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	190									16
11	11	11	11a	83/2	83/2	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	191									16
11	11	11	11a	167/4	167/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	192									16
11	11	11	11a	42	42	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	193									16
11	11	11	11a	169/4	169/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	194
11	11	11	11a	171/4	171/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	195									17
11	11	11	11a	43	43	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	196									17
11	11	11	11a	173/4	173/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	197									17
11	11	11	11a	87/2	87/2	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	198									17
11	11	11	11a	175/4	175/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	199
11	11	11	11a	177/4	177/4	0.25	13/16	13/16	Chord	9/8	1	1	1/16			1/16	1	200									18
11	11	11	11a	89/2	89/2	0.25	7/8	7/8	Chord	9/8	1	1	1/16			1/16	1	201									18
11	11	11	11a	179/4	179/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16			1/16	1	202									18
11	11	11	11a	45	45	0.25	1	1	Chord	9/8	1	1	1/16			1/16	1	203									18
11	11	11	11a	181/4	181/4	0.25	17/16	17/16	Chord	9/8	1	1	1/16			1/16	1	204
11	11	11	11a	41	41	1.5	0	0	Chord	9/8	2	1	3/8			1/4	3/2	205
11	11	11	11a	85/2	85/2	0.75	3/8	3/8	Chord	9/8	2	1	3/16			1/8	3/2	206		articStaccatissimoAbove
11	11	11	11a	173/4	173/4	0.25	9/16	9/16	Chord	9/8	2	1	1/16			1/16	1	207		articStaccatissimoAbove
11	11	11	11a	87/2	87/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8			1/8	1	208		articStaccatissimoAbove
11	11	11	11a	44	44	0.75	3/4	3/4	Chord	9/8	2	1	3/16			1/8	3/2	209		articStaccatissimoAbove
11	11	11	11a	179/4	179/4	0.25	15/16	15/16	Chord	9/8	2	1	1/16			1/16	1	210		articStaccatissimoAbove
11	11	11	11a	45	45	0.5	1	1	Chord	9/8	2	1	1/8			1/8	1	211		articStaccatissimoAbove
12	12	12	12a	183/4	183/4	0.25	1/16	1/16	Chord	9/8	1	1	1/16			1/16	1	212									19
12	12	12	12a	46	46	0.25	1/8	1/8	Chord	9/8	1	1	1/16			1/16	1	213									19
12	12	12	12a	185/4	185/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16			1/16	1	214									19
12	12	12	12a	93/2	93/2	0.25	1/4	1/4	Chord	9/8	1	1	1/16			1/16	1	215									19
12	12	12	12a	187/4	187/4	0.25	5/16	5/16	Chord	9/8	1	1	1/16			1/16	1	216
12	12	12	12a	189/4	189/4	0.25	7/16	7/16	Chord	9/8	1	1	1/16			1/16	1	217									20
12	12	12	12a	95/2	95/2	0.25	1/2	1/2	Chord	9/8	1	1	1/16			1/16	1	218									20
12	12	12	12a	191/4	191/4	0.25	9/16	9/16	Chord	9/8	1	1	1/16			1/16	1	219									20
12	12	12	12a	48	48	0.25	5/8	5/8	Chord	9/8	1	1	1/16			1/16	1	220									20
12	12	12	12a	193/4	193/4	0.25	11/16	11/16	Chord	9/8	1	1	1/16			1/16	1	221
12	12	12	12a	195/4	195/4	0.25	13/16	13/16	Chord	9/8	1	1	1/16			1/16	1	222									21
12	12	12	12a	49	49	0.25	7/8	7/8	Chord	9/8	1	1	1/16			1/16	1	223									21
12	12	12	12a	197/4	197/4	0.25	15/16	15/16	Chord	9/8	1	1	1/16			1/16	1	224									21
12	12	12	12a	99/2	99/2	0.25	1	1	Chord	9/8	1	1	1/16			1/16	1	225									21
12	12	12	12a	199/4	199/4	0.25	17/16	17/16	Chord	9/8	1	1	1/16			1/16	1	226
12	12	12	12a	91/2	91/2	0.0	0	0	StaffText	9/8	2	1	0								"<font size=""8.185""/><i>più </i>"
12	12	12	12a	91/2	91/2	0.0	0	0	Dynamic	9/8	2	1	0						f
12	12	12	12a	91/2	91/2	1.5	0	0	Chord	9/8	2	1	3/8			1/4	3/2	227
12	12	12	12a	47	47	0.75	3/8	3/8	Chord	9/8	2	1	3/16			1/8	3/2	228		articStaccatissimoAbove
